Area (µm^2);Equivalent circular diameter (µm);Class;;3-D diameter (µm);;;;;;;;;
22290,04223;168,4653175;Others;;273,105686;;;;;;;;;
201405,2187;506,3961779;Others;;820,9385622;;;;;;;;;
184374,9353;484,5136311;Others;;785,4639135;;;;;;;;;
500409,72;798,2114032;Others;;1294,011587;;;;;;;;;
283425,6625;600,7235316;Others;;973,8563083;;;;;;;;;
48851,47859;249,3985452;Others;;404,3096928;;;;;;;;;
38719,01288;222,0328317;Others;;359,946069;;;;;;;;;
108250,1213;371,2523875;Others;;601,8517013;;;;;;;;;
78495,50684;316,1385509;Others;;512,5045148;;;;;;;;;
199387,0196;503,8525955;Others;;816,8150618;;;;;;;;;
105782,6655;366,9968295;Others;;594,9528505;;;;;;;;;
117995,5352;387,6036396;Others;;628,3593528;;;;;;;;;
551376,1608;837,8746517;Others;;1358,311223;;;;;;;;;
119412,4216;389,9238608;Others;;632,1207538;;;;;;;;;
59958,48568;276,2996833;Others;;447,9201753;;;;;;;;;
45050,07604;239,4985142;Others;;388,260367;;;;;;;;;
54885,34118;264,3523914;Others;;428,5519551;;;;;;;;;
46446,22752;243,1813594;Others;;394,2307709;;;;;;;;;
27777,88518;188,0635581;Others;;304,8771569;;;;;;;;;
86699,6247;332,248989;Others;;538,6217733;;;;;;;;;
42527,32707;232,6960992;Others;;377,2327071;;;;;;;;;
42872,90912;233,6396441;Others;;378,7623246;;;;;;;;;
84066,28948;327,1643687;Others;;530,3788973;;;;;;;;;
43418,92876;235,1227277;Others;;381,1666092;;;;;;;;;
36334,49674;215,0872337;Others;;348,6862896;;;;;;;;;
64084,73535;285,6487691;Others;;463,0763422;;;;;;;;;
178672,8315;476,9625925;Others;;773,2226308;;;;;;;;;
98166,03712;353,5376648;Others;;573,1336745;;;;;;;;;
19449,35777;157,3648355;Others;;255,1102623;;;;;;;;;
44331,26537;237,5801341;Others;;385,1504064;;;;;;;;;
34910,69869;210,8309325;Others;;341,7862341;;;;;;;;;
89657,80705;337,8695983;Others;;547,7335618;;;;;;;;;
78543,88832;316,2359635;Others;;512,6624341;;;;;;;;;
16000,44892;142,7319316;Others;;231,388292;;;;;;;;;
56405,9022;267,989226;Others;;434,4477693;;;;;;;;;
43895,83199;236,4104675;Others;;383,2542143;;;;;;;;;
15253,99169;139,3627835;Others;;225,9264349;;;;;;;;;
30293,7225;196,3954313;Others;;318,384281;;;;;;;;;
