Bruker AXS Handheld Inc. S1PXRF Spectrum 
Label,"L1-4G 0phi 1"
212,"211"
213,"208"
214,"198"
215,"214"
216,"225"
217,"255"
218,"255"
219,"261"
220,"287"
221,"342"
222,"337"
223,"384"
224,"356"
225,"355"
226,"323"
227,"301"
228,"276"
229,"288"
230,"292"
231,"277"
232,"262"
233,"271"
234,"260"
235,"281"
236,"269"
237,"276"
238,"297"
239,"331"
240,"358"
241,"336"
242,"348"
243,"360"
244,"339"
245,"344"
246,"374"
247,"332"
248,"306"
249,"320"
250,"294"
251,"295"
252,"322"
253,"285"
254,"310"
255,"312"
256,"289"
257,"326"
258,"321"
259,"262"
260,"278"
261,"273"
262,"256"
263,"266"
264,"252"
265,"269"
266,"284"
267,"304"
268,"385"
269,"358"
270,"435"
271,"401"
272,"399"
273,"382"
274,"386"
275,"372"
276,"440"
277,"384"
278,"406"
279,"383"
280,"413"
281,"399"
282,"386"
283,"392"
284,"400"
285,"403"
286,"358"
287,"364"
288,"341"
289,"361"
290,"324"
291,"339"
292,"316"
293,"353"
294,"334"
295,"326"
296,"328"
297,"330"
298,"340"
299,"362"
300,"352"
301,"341"
302,"356"
303,"354"
304,"347"
305,"368"
306,"345"
307,"374"
308,"394"
309,"400"
310,"424"
311,"456"
312,"552"
313,"592"
314,"717"
315,"751"
316,"824"
317,"870"
318,"943"
319,"899"
320,"856"
321,"794"
322,"634"
323,"582"
324,"564"
325,"519"
326,"519"
327,"457"
328,"468"
329,"486"
330,"456"
331,"461"
332,"428"
333,"492"
334,"449"
335,"500"
336,"462"
337,"486"
338,"444"
339,"478"
340,"460"
341,"523"
342,"463"
343,"470"
344,"477"
345,"449"
346,"450"
347,"501"
348,"500"
349,"535"
350,"535"
351,"628"
352,"561"
353,"562"
354,"646"
355,"668"
356,"691"
357,"684"
358,"695"
359,"772"
360,"808"
361,"823"
362,"872"
363,"914"
364,"970"
365,"943"
366,"1033"
367,"1121"
368,"1065"
369,"1177"
370,"1203"
371,"1264"
372,"1134"
373,"1104"
374,"945"
375,"790"
376,"697"
377,"563"
378,"490"
379,"468"
380,"395"
381,"385"
382,"393"
383,"393"
384,"336"
385,"377"
386,"361"
387,"379"
388,"381"
389,"375"
390,"356"
391,"378"
392,"395"
393,"409"
394,"465"
395,"480"
396,"539"
397,"551"
398,"591"
399,"640"
400,"640"
401,"661"
402,"633"
403,"578"
404,"528"
405,"519"
406,"505"
407,"482"
408,"497"
409,"500"
410,"554"
411,"527"
412,"486"
413,"532"
414,"519"
415,"550"
416,"483"
417,"540"
418,"524"
419,"541"
420,"594"
421,"575"
422,"596"
423,"566"
424,"600"
425,"572"
426,"539"
427,"539"
428,"534"
429,"533"
430,"478"
431,"507"
432,"510"
433,"441"
434,"498"
435,"474"
436,"422"
437,"437"
438,"443"
439,"449"
440,"427"
441,"402"
442,"402"
443,"424"
444,"488"
445,"419"
446,"473"
447,"454"
448,"425"
449,"417"
450,"442"
451,"447"
452,"458"
453,"450"
454,"467"
455,"454"
456,"495"
457,"442"
458,"493"
459,"441"
460,"473"
461,"545"
462,"491"
463,"486"
464,"507"
465,"449"
466,"459"
467,"432"
468,"453"
469,"481"
470,"462"
471,"429"
472,"442"
473,"459"
474,"447"
475,"437"
476,"438"
477,"429"
478,"433"
479,"419"
480,"468"
481,"422"
482,"412"
483,"437"
484,"425"
485,"421"
486,"442"
487,"451"
488,"430"
489,"454"
490,"468"
491,"439"
492,"417"
493,"488"
494,"422"
495,"434"
496,"440"
497,"415"
498,"456"
499,"424"
500,"479"
501,"441"
502,"464"
503,"480"
504,"440"
505,"456"
506,"474"
507,"484"
508,"445"
509,"469"
510,"476"
511,"470"
512,"473"
513,"495"
514,"490"
515,"493"
516,"506"
517,"517"
518,"522"
519,"486"
520,"487"
521,"511"
522,"536"
523,"462"
524,"519"
525,"474"
526,"510"
527,"491"
528,"451"
529,"463"
530,"408"
531,"395"
532,"446"
533,"400"
534,"405"
535,"393"
536,"430"
537,"432"
538,"439"
539,"387"
540,"401"
541,"396"
542,"396"
543,"377"
544,"437"
545,"423"
546,"412"
547,"427"
548,"430"
549,"426"
550,"413"
551,"411"
552,"401"
553,"425"
554,"470"
555,"455"
556,"416"
557,"441"
558,"443"
559,"461"
560,"461"
561,"459"
562,"441"
563,"429"
564,"425"
565,"426"
566,"437"
567,"432"
568,"462"
569,"460"
570,"485"
571,"452"
572,"434"
573,"465"
574,"450"
575,"459"
576,"466"
577,"457"
578,"505"
579,"516"
580,"463"
581,"462"
582,"432"
583,"498"
584,"464"
585,"451"
586,"455"
587,"490"
588,"464"
589,"450"
590,"448"
591,"447"
592,"427"
593,"413"
594,"470"
595,"406"
596,"429"
597,"436"
598,"427"
599,"463"
600,"462"
601,"385"
602,"454"
603,"410"
604,"424"
605,"429"
606,"441"
607,"445"
608,"460"
609,"430"
610,"448"
611,"480"
612,"460"
613,"493"
614,"427"
615,"441"
616,"464"
617,"424"
618,"473"
619,"431"
620,"451"
621,"465"
622,"470"
623,"413"
624,"444"
625,"486"
626,"461"
627,"471"
628,"486"
629,"450"
630,"398"
631,"433"
632,"415"
633,"417"
634,"412"
635,"436"
636,"442"
637,"453"
638,"433"
639,"448"
640,"433"
641,"440"
642,"434"
643,"429"
644,"489"
645,"448"
646,"439"
647,"421"
648,"475"
649,"475"
650,"432"
651,"438"
652,"443"
653,"486"
654,"490"
655,"516"
656,"545"
657,"545"
658,"578"
659,"569"
660,"653"
661,"615"
662,"633"
663,"663"
664,"610"
665,"662"
666,"636"
667,"627"
668,"614"
669,"583"
670,"525"
671,"523"
672,"483"
673,"417"
674,"466"
675,"451"
676,"447"
677,"445"
678,"430"
679,"429"
680,"405"
681,"439"
682,"453"
683,"435"
684,"403"
685,"422"
686,"390"
687,"430"
688,"440"
689,"450"
690,"420"
691,"418"
692,"445"
693,"463"
694,"523"
695,"437"
696,"522"
697,"552"
698,"593"
699,"649"
700,"681"
701,"588"
702,"730"
703,"712"
704,"675"
705,"617"
706,"660"
707,"602"
708,"544"
709,"487"
710,"456"
711,"489"
712,"456"
713,"468"
714,"445"
715,"422"
716,"414"
717,"405"
718,"378"
719,"402"
720,"387"
721,"440"
722,"418"
723,"405"
724,"377"
725,"370"
726,"370"
727,"397"
728,"366"
729,"378"
730,"392"
731,"410"
732,"386"
733,"400"
734,"396"
735,"388"
736,"414"
737,"407"
738,"442"
739,"433"
740,"426"
741,"444"
742,"399"
743,"455"
744,"430"
745,"393"
746,"417"
747,"393"
748,"443"
749,"380"
750,"413"
751,"368"
752,"394"
753,"379"
754,"423"
755,"383"
756,"374"
757,"390"
758,"353"
759,"377"
760,"385"
761,"391"
762,"372"
763,"408"
764,"383"
765,"375"
766,"366"
767,"391"
768,"387"
769,"320"
770,"399"
771,"361"
772,"389"
773,"403"
774,"396"
775,"434"
776,"408"
777,"391"
778,"428"
779,"404"
780,"407"
781,"482"
782,"468"
783,"479"
784,"474"
785,"489"
786,"465"
787,"453"
788,"455"
789,"456"
790,"429"
791,"431"
792,"441"
793,"406"
794,"417"
795,"397"
796,"380"
797,"367"
798,"375"
799,"395"
800,"393"
801,"373"
802,"369"
803,"384"
804,"360"
805,"370"
806,"401"
807,"352"
808,"379"
809,"373"
810,"343"
811,"339"
812,"357"
813,"327"
814,"325"
815,"375"
816,"363"
817,"380"
818,"339"
819,"342"
820,"388"
821,"362"
822,"352"
823,"353"
824,"370"
825,"368"
826,"348"
827,"362"
828,"357"
829,"363"
830,"355"
831,"407"
832,"395"
833,"373"
834,"372"
835,"346"
836,"362"
837,"346"
838,"389"
839,"370"
840,"387"
841,"349"
842,"371"
843,"352"
844,"374"
845,"382"
846,"360"
847,"399"
848,"369"
849,"363"
850,"339"
851,"357"
852,"346"
853,"371"
854,"376"
855,"344"
856,"346"
857,"357"
858,"386"
859,"394"
860,"334"
861,"386"
862,"363"
863,"356"
864,"338"
865,"417"
866,"374"
867,"373"
868,"407"
869,"406"
870,"326"
871,"407"
872,"397"
873,"367"
874,"403"
875,"390"
876,"435"
877,"446"
878,"378"
879,"371"
880,"387"
881,"399"
882,"390"
883,"419"
884,"373"
885,"414"
886,"354"
887,"402"
888,"403"
889,"384"
890,"419"
891,"406"
892,"455"
893,"418"
894,"423"
895,"417"
896,"434"
897,"442"
898,"475"
899,"474"
900,"409"
901,"497"
902,"439"
903,"446"
904,"504"
905,"480"
906,"510"
907,"481"
908,"533"
909,"514"
910,"548"
911,"527"
912,"534"
913,"602"
914,"579"
915,"672"
916,"635"
917,"661"
918,"728"
919,"731"
920,"711"
921,"786"
922,"863"
923,"818"
924,"938"
925,"963"
926,"954"
927,"1034"
928,"1030"
929,"1071"
930,"1101"
931,"1127"
932,"1165"
933,"1167"
934,"1246"
935,"1264"
936,"1217"
937,"1230"
938,"1225"
939,"1320"
940,"1256"
941,"1219"
942,"1304"
943,"1256"
944,"1238"
945,"1219"
946,"1089"
947,"1189"
948,"1043"
949,"1061"
950,"1027"
951,"966"
952,"1006"
953,"894"
954,"847"
955,"855"
956,"821"
957,"779"
958,"681"
959,"734"
960,"655"
961,"667"
962,"612"
963,"636"
964,"596"
965,"631"
966,"558"
967,"573"
968,"522"
969,"496"
970,"477"
971,"471"
972,"442"
973,"441"
974,"422"
975,"439"
976,"400"
977,"412"
978,"374"
979,"422"
980,"395"
981,"365"
982,"380"
983,"363"
984,"363"
985,"353"
986,"382"
987,"392"
988,"373"
989,"405"
990,"402"
991,"463"
992,"448"
993,"498"
994,"539"
995,"537"
996,"625"
997,"614"
998,"677"
999,"699"
1000,"758"
1001,"759"
1002,"780"
1003,"742"
1004,"790"
1005,"718"
1006,"721"
1007,"694"
1008,"632"
1009,"581"
1010,"567"
1011,"480"
1012,"411"
1013,"417"
1014,"354"
1015,"346"
1016,"346"
1017,"329"
1018,"316"
1019,"332"
1020,"328"
1021,"313"
1022,"339"
1023,"321"
1024,"308"
1025,"343"
1026,"289"
1027,"287"
1028,"333"
1029,"335"
1030,"336"
1031,"345"
1032,"376"
1033,"407"
1034,"351"
1035,"393"
1036,"393"
1037,"446"
1038,"399"
1039,"412"
1040,"448"
1041,"462"
1042,"477"
1043,"499"
1044,"548"
1045,"563"
1046,"557"
1047,"580"
1048,"596"
1049,"618"
1050,"596"
1051,"575"
1052,"613"
1053,"590"
1054,"561"
1055,"507"
1056,"550"
1057,"464"
1058,"419"
1059,"459"
1060,"402"
1061,"428"
1062,"387"
1063,"399"
1064,"361"
1065,"374"
1066,"370"
1067,"381"
1068,"337"
1069,"333"
1070,"309"
1071,"316"
1072,"306"
1073,"313"
1074,"299"
1075,"315"
1076,"305"
1077,"312"
1078,"279"
1079,"255"
1080,"269"
1081,"295"
1082,"282"
1083,"256"
1084,"271"
1085,"286"
1086,"265"
1087,"249"
1088,"247"
1089,"288"
1090,"265"
1091,"235"
1092,"256"
1093,"231"
1094,"255"
1095,"234"
1096,"237"
1097,"216"
1098,"225"
1099,"239"
1100,"223"
1101,"243"
1102,"236"
1103,"218"
1104,"237"
1105,"230"
1106,"249"
1107,"229"
1108,"220"
1109,"253"
1110,"224"
1111,"221"
1112,"217"
1113,"217"
1114,"220"
1115,"213"
1116,"206"
1117,"213"
1118,"217"
1119,"226"
1120,"217"
1121,"206"
1122,"251"
1123,"240"
1124,"264"
1125,"247"
1126,"263"
1127,"230"
1128,"268"
1129,"288"
1130,"293"
1131,"225"
1132,"256"
1133,"282"
1134,"232"
1135,"246"
1136,"253"
1137,"207"
1138,"233"
1139,"205"
1140,"191"
1141,"216"
1142,"199"
1143,"207"
1144,"163"
1145,"168"
1146,"194"
1147,"206"
1148,"199"
1149,"201"
1150,"196"
1151,"214"
1152,"218"
1153,"201"
1154,"181"
1155,"201"
1156,"169"
1157,"205"
1158,"202"
1159,"204"
1160,"189"
1161,"186"
1162,"208"
1163,"178"
1164,"182"
1165,"193"
1166,"190"
1167,"195"
1168,"191"
1169,"174"
1170,"192"
1171,"178"
1172,"184"
1173,"194"
1174,"179"
1175,"183"
1176,"202"
1177,"185"
1178,"184"
1179,"198"
1180,"213"
1181,"207"
1182,"206"
1183,"204"
1184,"207"
1185,"212"
1186,"193"
1187,"189"
1188,"184"
1189,"175"
1190,"211"
1191,"196"
1192,"174"
1193,"214"
1194,"196"
1195,"166"
1196,"211"
1197,"166"
1198,"193"
1199,"180"
1200,"160"
1201,"179"
1202,"154"
1203,"149"
1204,"181"
1205,"174"
1206,"153"
1207,"158"
1208,"141"
1209,"197"
1210,"170"
1211,"176"
1212,"191"
1213,"164"
1214,"177"
1215,"151"
1216,"145"
1217,"160"
1218,"157"
1219,"148"
1220,"163"
1221,"150"
1222,"172"
1223,"138"
1224,"132"
1225,"173"
1226,"150"
1227,"162"
1228,"166"
1229,"173"
1230,"169"
1231,"146"
1232,"141"
1233,"139"
1234,"145"
1235,"145"
1236,"141"
1237,"139"
1238,"156"
1239,"149"
1240,"144"
1241,"181"
1242,"160"
1243,"167"
1244,"151"
1245,"175"
1246,"143"
1247,"161"
1248,"152"
1249,"161"
1250,"166"
1251,"123"
1252,"162"
1253,"145"
1254,"160"
1255,"162"
1256,"164"
1257,"139"
1258,"158"
1259,"162"
1260,"133"
1261,"153"
1262,"150"
1263,"147"
1264,"142"
1265,"154"
1266,"157"
1267,"145"
1268,"143"
1269,"147"
1270,"145"
1271,"134"
1272,"154"
1273,"133"
1274,"143"
1275,"158"
1276,"153"
1277,"139"
1278,"145"
1279,"145"
1280,"126"
1281,"135"
1282,"141"
1283,"120"
1284,"144"
1285,"143"
1286,"158"
1287,"124"
1288,"138"
1289,"134"
1290,"138"
1291,"145"
1292,"156"
1293,"133"
1294,"125"
1295,"134"
1296,"114"
1297,"135"
1298,"116"
1299,"144"
1300,"122"
1301,"166"
1302,"136"
1303,"151"
1304,"117"
1305,"141"
1306,"133"
1307,"130"
1308,"135"
1309,"134"
1310,"134"
1311,"114"
1312,"147"
1313,"149"
1314,"119"
1315,"118"
1316,"108"
1317,"143"
1318,"146"
1319,"137"
1320,"131"
1321,"136"
1322,"132"
1323,"133"
1324,"137"
1325,"122"
1326,"113"
1327,"134"
1328,"111"
1329,"123"
1330,"120"
1331,"125"
1332,"124"
1333,"103"
1334,"113"
1335,"111"
1336,"103"
1337,"118"
1338,"108"
1339,"105"
1340,"120"
1341,"138"
1342,"122"
1343,"116"
1344,"100"
1345,"118"
1346,"116"
1347,"118"
1348,"113"
1349,"122"
1350,"119"
1351,"124"
1352,"93"
1353,"130"
1354,"115"
1355,"127"
1356,"122"
1357,"119"
1358,"87"
1359,"99"
1360,"90"
1361,"115"
1362,"100"
1363,"104"
1364,"109"
1365,"103"
1366,"101"
1367,"111"
1368,"117"
1369,"107"
1370,"104"
1371,"110"
1372,"100"
1373,"101"
1374,"104"
1375,"87"
1376,"109"
1377,"107"
1378,"111"
1379,"113"
1380,"97"
1381,"104"
1382,"115"
1383,"101"
1384,"118"
1385,"113"
1386,"90"
1387,"120"
1388,"106"
1389,"89"
1390,"99"
1391,"98"
1392,"88"
1393,"98"
1394,"112"
1395,"103"
1396,"98"
1397,"93"
1398,"85"
1399,"104"
1400,"106"
1401,"107"
1402,"108"
1403,"102"
1404,"103"
1405,"111"
1406,"102"
1407,"111"
1408,"101"
1409,"103"
1410,"94"
1411,"113"
1412,"99"
1413,"91"
1414,"97"
1415,"81"
1416,"98"
1417,"85"
1418,"89"
1419,"91"
1420,"87"
1421,"96"
1422,"104"
1423,"79"
1424,"96"
1425,"92"
1426,"111"
1427,"84"
1428,"89"
1429,"99"
1430,"83"
1431,"102"
1432,"74"
1433,"82"
1434,"106"
1435,"96"
1436,"80"
1437,"79"
1438,"99"
1439,"91"
1440,"83"
1441,"96"
1442,"70"
1443,"104"
1444,"66"
1445,"73"
1446,"78"
1447,"91"
1448,"79"
1449,"75"
1450,"92"
1451,"92"
1452,"96"
1453,"94"
1454,"84"
1455,"81"
1456,"92"
1457,"78"
1458,"73"
1459,"76"
1460,"96"
1461,"64"
1462,"67"
1463,"62"
1464,"83"
1465,"69"
1466,"65"
1467,"64"
1468,"72"
1469,"71"
1470,"65"
1471,"74"
1472,"64"
1473,"71"
1474,"80"
1475,"88"
1476,"67"
1477,"79"
1478,"94"
1479,"70"
1480,"72"
1481,"67"
1482,"76"
1483,"71"
1484,"71"
1485,"74"
1486,"72"
1487,"81"
1488,"70"
1489,"53"
1490,"59"
1491,"59"
1492,"67"
1493,"67"
1494,"58"
1495,"70"
1496,"79"
1497,"83"
1498,"56"
1499,"53"
1500,"58"
1501,"67"
1502,"78"
1503,"64"
1504,"54"
1505,"60"
1506,"50"
1507,"58"
1508,"65"
1509,"58"
1510,"52"
1511,"57"
1512,"73"
1513,"73"
1514,"79"
1515,"61"
1516,"61"
1517,"73"
1518,"56"
1519,"66"
1520,"70"
1521,"46"
1522,"53"
1523,"55"
1524,"66"
1525,"68"
1526,"50"
1527,"52"
1528,"62"
1529,"59"
1530,"57"
1531,"51"
1532,"60"
1533,"62"
1534,"40"
1535,"55"
1536,"51"
1537,"43"
1538,"50"
1539,"53"
1540,"46"
1541,"53"
1542,"41"
1543,"49"
1544,"55"
1545,"58"
1546,"47"
1547,"56"
1548,"45"
1549,"56"
1550,"54"
1551,"46"
1552,"48"
1553,"45"
1554,"50"
1555,"44"
1556,"46"
1557,"59"
1558,"50"
1559,"54"
1560,"39"
1561,"53"
1562,"49"
1563,"43"
1564,"44"
1565,"53"
1566,"59"
1567,"44"
1568,"48"
1569,"53"
1570,"40"
1571,"47"
1572,"41"
1573,"44"
1574,"35"
1575,"43"
1576,"37"
1577,"45"
1578,"51"
1579,"43"
1580,"43"
1581,"49"
1582,"47"
1583,"49"
1584,"44"
1585,"45"
1586,"48"
1587,"32"
1588,"42"
1589,"45"
1590,"37"
1591,"41"
1592,"26"
1593,"40"
1594,"53"
1595,"42"
1596,"34"
1597,"39"
1598,"37"
1599,"51"
1600,"40"
1601,"39"
1602,"31"
1603,"42"
1604,"43"
1605,"39"
1606,"22"
1607,"26"
1608,"36"
1609,"40"
1610,"39"
1611,"28"
1612,"27"
1613,"42"
1614,"35"
1615,"21"
1616,"33"
1617,"33"
1618,"23"
1619,"36"
1620,"26"
1621,"33"
1622,"28"
1623,"24"
1624,"35"
1625,"22"
1626,"31"
1627,"19"
1628,"31"
1629,"29"
1630,"34"
1631,"24"
1632,"33"
1633,"25"
1634,"16"
1635,"37"
1636,"23"
1637,"23"
1638,"29"
1639,"31"
1640,"23"
1641,"37"
1642,"24"
1643,"23"
1644,"24"
1645,"21"
1646,"22"
1647,"17"
1648,"33"
1649,"20"
1650,"22"
1651,"23"
1652,"17"
1653,"16"
1654,"22"
1655,"25"
1656,"20"
1657,"26"
1658,"18"
1659,"26"
1660,"19"
1661,"9"
1662,"19"
1663,"21"
1664,"21"
1665,"19"
1666,"16"
1667,"15"
1668,"12"
1669,"18"
1670,"28"
1671,"19"
1672,"15"
1673,"16"
1674,"20"
1675,"20"
1676,"12"
1677,"19"
1678,"13"
1679,"16"
1680,"20"
1681,"12"
1682,"21"
1683,"16"
1684,"14"
1685,"12"
1686,"16"
1687,"14"
1688,"18"
1689,"21"
1690,"12"
1691,"11"
1692,"6"
1693,"16"
1694,"11"
1695,"16"
1696,"14"
1697,"12"
1698,"15"
1699,"6"
1700,"9"
1701,"14"
1702,"11"
1703,"7"
1704,"13"
1705,"9"
1706,"15"
1707,"6"
1708,"10"
1709,"10"
1710,"7"
1711,"7"
1712,"8"
1713,"7"
1714,"10"
1715,"5"
1716,"9"
1717,"3"
1718,"6"
1719,"7"
1720,"10"
1721,"5"
1722,"5"
1723,"5"
1724,"9"
1725,"10"
1726,"10"
1727,"5"
1728,"3"
1729,"3"
1730,"3"
1731,"12"
1732,"5"
1733,"7"
1734,"5"
1735,"5"
1736,"4"
1737,"7"
1738,"2"
1739,"2"
1740,"7"
1741,"2"
1742,"10"
1743,"3"
1744,"4"
1745,"6"
1746,"8"
1747,"6"
1748,"1"
1749,"1"
1750,"5"
1751,"2"
1752,"1"
1753,"0"
1754,"0"
1755,"3"
1756,"1"
1757,"3"
1758,"3"
1759,"3"
1760,"3"
1761,"1"
1762,"3"
1763,"3"
1764,"2"
1765,"4"
1766,"3"
1767,"2"
1768,"4"
1769,"1"
1770,"4"
1771,"4"
1772,"0"
1773,"3"
1774,"2"
1775,"2"
1776,"4"
1777,"1"
1778,"4"
1779,"1"
1780,"0"
1781,"2"
1782,"2"
1783,"5"
1784,"3"
1785,"0"
1786,"0"
1787,"0"
1788,"4"
1789,"1"
1790,"4"
1791,"1"
1792,"4"
1793,"1"
1794,"3"
1795,"3"
1796,"0"
1797,"2"
1798,"2"
1799,"3"
1800,"1"
1801,"2"
1802,"1"
1803,"4"
1804,"3"
1805,"0"
1806,"1"
1807,"2"
1808,"1"
1809,"1"
1810,"2"
1811,"3"
1812,"3"
1813,"1"
1814,"1"
1815,"0"
1816,"2"
1817,"0"
1818,"2"
1819,"3"
1820,"1"
1821,"6"
1822,"1"
1823,"3"
1824,"5"
1825,"2"
1826,"3"
1827,"1"
1828,"0"
1829,"2"
1830,"1"
1831,"1"
1832,"0"
1833,"2"
1834,"1"
1835,"2"
1836,"2"
1837,"3"
1838,"0"
1839,"0"
1840,"0"
1841,"1"
1842,"3"
1843,"1"
1844,"0"
1845,"2"
1846,"1"
1847,"1"
1848,"0"
1849,"0"
1850,"0"
1851,"0"
1852,"0"
1853,"0"
1854,"2"
1855,"0"
1856,"2"
1857,"1"
1858,"0"
1859,"0"
1860,"1"
1861,"1"
1862,"2"
1863,"0"
1864,"0"
1865,"0"
1866,"0"
1867,"1"
1868,"0"
1869,"0"
1870,"3"
1871,"0"
1872,"0"
1873,"0"
1874,"1"
1875,"0"
1876,"1"
1877,"1"
1878,"0"
1879,"0"
1880,"1"
1881,"1"
1882,"0"
1883,"0"
1884,"0"
1885,"1"
1886,"1"
1887,"1"
1888,"1"
1889,"1"
1890,"0"
1891,"1"
1892,"1"
1893,"1"
1894,"0"
1895,"1"
1896,"1"
1897,"0"
1898,"0"
1899,"2"
1900,"0"
1901,"0"
1902,"1"
1903,"0"
1904,"0"
1905,"0"
1906,"0"
1907,"0"
1908,"0"
1909,"0"
1910,"0"
1911,"1"
1912,"0"
1913,"1"
1914,"0"
1915,"1"
1916,"0"
1917,"1"
1918,"0"
1919,"0"
1920,"1"
1921,"0"
1922,"0"
1923,"2"
1924,"0"
1925,"0"
1926,"0"
1927,"0"
1928,"2"
1929,"0"
1930,"0"
1931,"0"
1932,"0"
1933,"0"
1934,"0"
1935,"0"
1936,"0"
1937,"0"
1938,"0"
1939,"0"
1940,"0"
1941,"0"
1942,"0"
1943,"0"
1944,"0"
1945,"0"
1946,"2"
1947,"0"
1948,"0"
1949,"0"
1950,"0"
1951,"0"
1952,"0"
1953,"0"
1954,"0"
1955,"0"
1956,"0"
1957,"0"
1958,"0"
1959,"0"
1960,"0"
1961,"0"
1962,"0"
1963,"0"
1964,"0"
1965,"0"
1966,"0"
1967,"0"
1968,"0"
1969,"0"
1970,"0"
1971,"0"
1972,"0"
1973,"0"
1974,"0"
1975,"0"
1976,"0"
1977,"0"
1978,"0"
1979,"0"
1980,"0"
1981,"0"
1982,"0"
1983,"0"
1984,"0"
1985,"0"
1986,"1"
1987,"0"
1988,"1"
1989,"0"
1990,"1"
1991,"0"
1992,"0"
1993,"0"
1994,"0"
1995,"0"
1996,"0"
1997,"0"
1998,"0"
1999,"0"
2000,"0"
2001,"0"
2002,"0"
2003,"0"
2004,"0"
2005,"0"
2006,"0"
2007,"0"
2008,"0"
2009,"0"
2010,"0"
2011,"0"
2012,"0"
2013,"0"
2014,"0"
2015,"0"
2016,"0"
2017,"0"
2018,"0"
2019,"0"
2020,"0"
2021,"0"
2022,"0"
2023,"0"
2024,"0"
2025,"0"
2026,"0"
2027,"0"
2028,"0"
2029,"0"
2030,"0"
2031,"0"
2032,"0"
2033,"0"
2034,"0"
2035,"0"
2036,"0"
2037,"0"
2038,"0"
2039,"0"
2040,"0"
2041,"1"
2042,"0"
2043,"0"
2044,"1"
2045,"0"
2046,"0"
2047,"0"


