Bruker AXS Handheld Inc. S1PXRF Spectrum ,
850,340
851,306
852,346
853,322
854,350
855,318
856,316
857,324
858,362
859,312
860,325
861,326
862,329
863,349
864,332
865,363
866,343
867,361
868,329
869,317
870,372
871,354
872,334
873,384
874,368
875,366
876,380
877,404
878,434
879,393
880,417
881,386
882,358
883,337
884,364
885,386
886,426
887,355
888,381
889,401
890,353
891,365
892,370
893,394
894,367
895,379
896,432
897,398
898,395
899,448
900,385
901,416
902,453
903,356
904,437
905,450
906,404
907,494
908,449
909,457
910,492
911,503
912,548
913,491
914,520
915,504
916,567
917,556
918,618
919,579
920,632
921,634
922,687
923,748
924,740
925,760
926,836
927,841
928,849
929,968
930,908
931,942
932,1033
933,990
934,1030
935,1071
936,1033
937,1159
938,1155
939,1158
940,1195
941,1139
942,1117
943,1100
944,1099
945,1156
946,1118
947,1096
948,1067
949,996
950,990
951,956
952,899
953,935
954,881
955,855
956,783
957,755
958,736
959,635
960,671
961,641
962,617
963,567
964,566
965,555
966,505
967,467
968,509
969,469
970,433
971,446
972,441
973,425
974,394
975,413
976,382
977,367
978,368
979,377
980,346
981,338
982,317
983,311
984,305
985,316
986,333
987,335
988,355
989,360
990,380
991,382
992,424
993,441
994,478
995,565
996,548
997,599
998,660
999,694
1000,730
1001,766
1002,743
1003,772
1004,748
1005,800
1006,751
1007,676
1008,631
1009,617
1010,551
1011,473
1012,436
1013,402
1014,395
1015,336
1016,309
1017,297
1018,286
1019,297
1020,292
1021,257
1022,264
1023,291
1024,304
1025,289
1026,283
1027,297
1028,273
1029,332
1030,260
1031,292
1032,275
1033,316
1034,325
1035,340
1036,320
1037,373
1038,367
1039,369
1040,398
1041,419
1042,424
1043,422
1044,434
1045,468
1046,454
1047,506
1048,500
1049,538
1050,496
1051,490
1052,559
1053,550
1054,515
1055,459
1056,468
1057,495
1058,468
1059,445
1060,431
1061,380
1062,370
1063,357
1064,330
1065,346
1066,330
1067,315
1068,303
1069,303
1070,282
1071,309
1072,314
1073,260
1074,293
1075,311
1076,281
1077,258
1078,246
1079,278
1080,252
1081,250
1082,256
1083,234
1084,222
1085,231
1086,247
1087,236
1088,219
1089,232
1090,209
1091,205
1092,219
1093,221
1094,235
1095,236
1096,218
1097,249
1098,212
1099,218
1100,196
1101,174
1102,199
1103,196
1104,194
1105,210
1106,198
1107,183
1108,188
1109,202
1110,196
1111,197
1112,174
1113,193
1114,206
1115,177
1116,200
1117,177
1118,187
1119,188
1120,181
1121,210
1122,231
1123,197
1124,217
1125,249
1126,257
1127,244
1128,250
1129,241
1130,281
1131,244
1132,225
1133,217
1134,232
1135,217
1136,190
1137,207
1138,182
1139,200
1140,186
1141,188
1142,171
1143,176
1144,168
1145,168
1146,146
1147,180
1148,172
1149,169
1150,149
1151,170
1152,198
1153,189
1154,167
1155,190
1156,168
1157,167
1158,172
1159,185
1160,176
1161,129
1162,175
1163,137
1164,180
1165,175
1166,171
1167,158
1168,153
1169,158
1170,166
1171,150
1172,194
1173,160
1174,161
1175,180
1176,162
1177,148
1178,180
1179,182
1180,165
1181,186
1182,187
1183,169
1184,190
1185,196
1186,191
1187,176
1188,168
1189,181
1190,166
1191,178
1192,157
1193,165
1194,161
1195,148
1196,177
1197,146
1198,153
1199,151
1200,158
1201,165
1202,155
1203,165
1204,143
1205,136
1206,121
1207,149
1208,149
1209,140
1210,171
1211,152
1212,140
1213,149
1214,134
1215,147
1216,122
1217,158
1218,154
1219,132
1220,135
1221,133
1222,132
1223,163
1224,142
1225,138
1226,126
1227,135
1228,125
1229,117
1230,129
1231,155
1232,143
1233,138
1234,128
1235,147
1236,146
1237,151
1238,159
1239,130
1240,141
1241,129
1242,144
1243,153
1244,144
1245,145
1246,132
1247,120
1248,171
1249,135
1250,140
1251,145
1252,162
1253,135
1254,158
1255,122
1256,134
1257,128
1258,133
1259,136
1260,140
1261,145
1262,126
1263,140
1264,126
1265,120
1266,117
1267,135
1268,124
1269,133
1270,141
1271,137
1272,105
1273,126
1274,134
1275,144
1276,131
1277,132
1278,129
1279,115
1280,115
1281,114
1282,122
1283,107
1284,137
1285,113
1286,120
1287,108
1288,116
1289,114
1290,123
1291,123
1292,113
1293,121
1294,125
1295,113
1296,118
1297,121
1298,113
1299,133
1300,111
1301,128
1302,115
1303,110
1304,106
1305,112
1306,116
1307,112
1308,122
1309,112
1310,106
1311,116
1312,111
1313,105
1314,126
1315,119
1316,139
1317,120
1318,133
1319,106
1320,103
1321,140
1322,107
1323,118
1324,95
1325,100
1326,109
1327,101
1328,99
1329,108
1330,119
1331,87
1332,92
1333,120
1334,111
1335,117
1336,108
1337,105
1338,112
1339,98
1340,103
1341,98
1342,92
1343,112
1344,116
1345,110
1346,86
1347,87
1348,99
1349,105
1350,99
1351,96
1352,105
1353,97
1354,105
1355,90
1356,107
1357,103
1358,101
1359,89
1360,117
1361,90
1362,118
1363,96
1364,102
1365,89
1366,111
1367,101
1368,101
1369,102
1370,93
1371,104
1372,88
1373,82
1374,103
1375,101
1376,92
1377,71
1378,96
1379,86
1380,86
1381,97
1382,96
1383,70
1384,75
1385,90
1386,83
1387,81
1388,86
1389,87
1390,91
1391,91
1392,75
1393,98
1394,88
1395,79
1396,78
1397,84
1398,92
1399,72
1400,76
1401,80
1402,86
1403,85
1404,78
1405,88
1406,76
1407,78
1408,85
1409,88
1410,63
1411,94
1412,84
1413,83
1414,80
1415,87
1416,96
1417,84
1418,94
1419,94
1420,83
1421,89
1422,63
1423,76
1424,98
1425,83
1426,90
1427,65
1428,83
1429,75
1430,98
1431,83
1432,67
1433,78
1434,82
1435,64
1436,56
1437,67
1438,85
1439,64
1440,68
1441,77
1442,79
1443,72
1444,60
1445,74
1446,66
1447,67
1448,83
1449,74
1450,76
1451,63
1452,74
1453,74
1454,84
1455,73
1456,78
1457,71
1458,67
1459,71
1460,73
1461,63
1462,63
1463,72
1464,68
1465,81
1466,61
1467,68
1468,68
1469,62
1470,75
1471,69
1472,73
1473,88
1474,64
1475,63
1476,62
1477,67
1478,70
1479,72
1480,54
1481,59
1482,72
1483,65
1484,65
1485,81
1486,49
1487,66
1488,67
1489,48
1490,49
1491,53
1492,55
1493,78
1494,63
1495,73
1496,63
1497,51
1498,63
1499,52
1500,66
1501,61
1502,59
1503,70
1504,57
1505,62
1506,72
1507,68
1508,50
1509,54
1510,71
1511,48
1512,41
1513,59
1514,47
1515,66
1516,59
1517,58
1518,48
1519,52
1520,49
1521,44
1522,60
1523,70
1524,47
1525,53
1526,48
1527,54
1528,37
1529,39
1530,60
1531,62
1532,55
1533,48
1534,45
1535,40
1536,34
1537,47
1538,48
1539,40
1540,42
1541,46
1542,48
1543,38
1544,56
1545,45
1546,51
1547,44
1548,45
1549,45
1550,49
1551,44
1552,39
1553,59
1554,44
1555,42
1556,43
1557,45
1558,27
1559,40
1560,44
1561,40
1562,36
1563,45
1564,52
1565,42
1566,43
1567,34
1568,44
1569,41
1570,48
1571,44
1572,39
1573,41
1574,44
1575,28
1576,45
1577,39
1578,34
1579,38
1580,35
1581,31
1582,47
1583,35
1584,37
1585,35
1586,40
1587,32
1588,48
1589,31
1590,30
1591,27
1592,43
1593,33
1594,40
1595,26
1596,28
1597,33
1598,33
1599,37
1600,29
1601,39
1602,34
1603,54
1604,39
1605,34
1606,26
1607,33
1608,21
1609,34
1610,33
1611,28
1612,39
1613,32
1614,22
1615,24
1616,32
1617,19
1618,23
1619,28
1620,35
1621,23
1622,28
1623,29
1624,30
1625,22
1626,23
1627,30
1628,26
1629,24
1630,28
1631,28
1632,21
1633,36
1634,25
1635,35
1636,22
1637,27
1638,26
1639,22
1640,17
1641,26
1642,22
1643,33
1644,16
1645,17
1646,26
1647,26
1648,26
1649,14
1650,20
1651,17
1652,21
1653,16
1654,19
1655,13
1656,8
1657,15
1658,19
1659,28
1660,12
1661,16
1662,17
1663,10
1664,13
1665,17
1666,12
1667,14
1668,5
1669,12
1670,17
1671,8
1672,16
1673,16
1674,9
1675,19
1676,12
1677,17
1678,16
1679,14
1680,16
1681,19
1682,14
1683,15
1684,18
1685,11
1686,13
1687,18
1688,8
1689,13
1690,16
1691,18
1692,8
1693,15
1694,13
1695,8
1696,8
1697,12
1698,13
1699,7
1700,8
1701,14
1702,13
1703,8
1704,7
1705,10
1706,8
1707,12
1708,3
1709,10
1710,13
1711,8
1712,12
1713,15
1714,11
1715,5
1716,8
1717,6
1718,11
1719,11
1720,5
1721,5
1722,9
1723,8
1724,14
1725,12
1726,4
1727,5
1728,2
1729,4
1730,6
1731,5
1732,5
1733,6
1734,4
1735,7
1736,4
1737,3
1738,2
1739,4
1740,2
1741,0
1742,8
1743,0
1744,6
1745,0
1746,5
1747,4
1748,5
1749,3
1750,5
1751,4
1752,3
1753,5
1754,3
1755,6
1756,2
1757,3
1758,4
1759,7
1760,2
1761,2
1762,2
1763,3
1764,1
1765,4
1766,2
1767,2
1768,1
1769,2
1770,2
1771,1
1772,5
1773,2
1774,4
1775,4
1776,1
1777,0
1778,2
1779,1
1780,4
1781,3
1782,1
1783,2
1784,2
1785,4
1786,0
1787,1
1788,3
1789,1
1790,2
1791,1
1792,3
1793,3
1794,1
1795,0
1796,2
1797,2
1798,2
1799,4
1800,1
1801,2
1802,2
1803,0
1804,1
1805,0
1806,2
1807,0
1808,1
1809,1
1810,4
1811,3
1812,5
1813,0
1814,2
1815,0
1816,3
1817,0
1818,1
1819,2
1820,0
1821,3
1822,1
1823,2
1824,3
1825,3
1826,4
1827,1
1828,1
1829,0
1830,4
1831,1
1832,1
1833,0
1834,2
1835,0
1836,3
1837,1
1838,1
1839,1
1840,0
1841,3
1842,1
1843,1
1844,1
1845,0
1846,0
1847,3
1848,1
1849,0
1850,1
1851,1
1852,0
1853,0
1854,0
1855,0
1856,0
1857,1
1858,0
1859,0
1860,1
1861,0
1862,3
1863,2
1864,0
1865,0
1866,1
1867,1
1868,1
1869,0
1870,0
1871,0
1872,0
1873,1
1874,1
1875,0
1876,1
1877,0
1878,2
1879,1
1880,0
1881,1
1882,0
1883,1
1884,1
1885,0
1886,0
1887,0
1888,0
1889,2
1890,0
1891,0
1892,0
1893,0
1894,0
1895,1
1896,0
1897,2
1898,0
1899,0
1900,0
1901,0
1902,0
1903,2
1904,0
1905,0
1906,1
1907,1
1908,0
1909,0
1910,0
1911,1
1912,0
1913,0
1914,0
1915,0
1916,0
1917,0
1918,0
1919,2
1920,2
1921,0
1922,0
1923,0
1924,0
1925,1
1926,0
1927,0
1928,0
1929,1
1930,0
1931,0
1932,1
1933,0
1934,0
1935,0
1936,0
1937,1
1938,0
1939,0
1940,0
1941,0
1942,0
1943,1
1944,0
1945,0
1946,0
1947,0
1948,0
1949,0
1950,0
1951,0
1952,1
1953,1
1954,0
1955,1
1956,0
1957,0
1958,0
1959,0
1960,0
1961,0
1962,0
1963,1
1964,0
1965,0
1966,0
1967,0
1968,0
1969,0
1970,0
1971,0
1972,0
1973,0
1974,0
1975,0
1976,1
1977,0
1978,0
1979,0
1980,0
1981,0
1982,0
1983,0
1984,0
1985,0
1986,0
1987,0
1988,0
1989,0
1990,0
1991,0
1992,0
1993,0
1994,0
1995,0
1996,0
1997,0
1998,0
1999,1
2000,0
2001,0
2002,0
2003,0
2004,0
2005,0
2006,0
2007,0
2008,0
2009,0
2010,0
2011,0
2012,0
2013,0
2014,0
2015,0
2016,0
2017,0
2018,0
2019,0
2020,0
2021,1
2022,0
2023,0
2024,0
2025,0
2026,0
2027,0
2028,0
2029,0
2030,0
2031,0
2032,0
2033,0
2034,0
2035,0
2036,0
2037,1
2038,0
2039,0
2040,1
2041,0
2042,0
2043,0
2044,0
2045,0
2046,0
2047,0
