Bruker AXS Handheld Inc. S1PXRF Spectrum 
Label,"L1-3CDAE -1phi 4"
206,"215"
207,"186"
208,"213"
209,"214"
210,"224"
211,"234"
212,"202"
213,"222"
214,"237"
215,"240"
216,"239"
217,"240"
218,"300"
219,"339"
220,"371"
221,"433"
222,"465"
223,"432"
224,"462"
225,"443"
226,"374"
227,"319"
228,"298"
229,"240"
230,"240"
231,"255"
232,"258"
233,"234"
234,"254"
235,"229"
236,"315"
237,"299"
238,"308"
239,"320"
240,"333"
241,"321"
242,"311"
243,"332"
244,"334"
245,"299"
246,"302"
247,"310"
248,"287"
249,"318"
250,"277"
251,"294"
252,"285"
253,"331"
254,"308"
255,"321"
256,"347"
257,"338"
258,"292"
259,"282"
260,"304"
261,"300"
262,"249"
263,"249"
264,"293"
265,"294"
266,"307"
267,"298"
268,"286"
269,"292"
270,"333"
271,"305"
272,"367"
273,"383"
274,"385"
275,"401"
276,"422"
277,"429"
278,"410"
279,"419"
280,"399"
281,"380"
282,"392"
283,"389"
284,"389"
285,"397"
286,"390"
287,"351"
288,"386"
289,"368"
290,"430"
291,"425"
292,"445"
293,"452"
294,"421"
295,"395"
296,"427"
297,"375"
298,"395"
299,"385"
300,"401"
301,"375"
302,"365"
303,"345"
304,"370"
305,"415"
306,"381"
307,"377"
308,"393"
309,"416"
310,"502"
311,"470"
312,"583"
313,"723"
314,"950"
315,"1200"
316,"1339"
317,"1486"
318,"1471"
319,"1458"
320,"1302"
321,"1101"
322,"837"
323,"780"
324,"604"
325,"522"
326,"498"
327,"469"
328,"435"
329,"415"
330,"410"
331,"447"
332,"408"
333,"428"
334,"375"
335,"412"
336,"407"
337,"446"
338,"417"
339,"417"
340,"414"
341,"410"
342,"453"
343,"453"
344,"501"
345,"458"
346,"515"
347,"530"
348,"563"
349,"567"
350,"580"
351,"605"
352,"606"
353,"626"
354,"580"
355,"581"
356,"611"
357,"649"
358,"631"
359,"698"
360,"755"
361,"780"
362,"807"
363,"866"
364,"900"
365,"877"
366,"1000"
367,"1098"
368,"1188"
369,"1304"
370,"1393"
371,"1256"
372,"1322"
373,"1201"
374,"1034"
375,"942"
376,"754"
377,"657"
378,"515"
379,"509"
380,"472"
381,"443"
382,"434"
383,"400"
384,"427"
385,"421"
386,"406"
387,"395"
388,"435"
389,"386"
390,"460"
391,"455"
392,"481"
393,"519"
394,"511"
395,"589"
396,"571"
397,"609"
398,"652"
399,"680"
400,"730"
401,"696"
402,"645"
403,"605"
404,"561"
405,"536"
406,"559"
407,"508"
408,"548"
409,"516"
410,"527"
411,"503"
412,"490"
413,"476"
414,"444"
415,"462"
416,"478"
417,"425"
418,"421"
419,"429"
420,"429"
421,"455"
422,"406"
423,"450"
424,"483"
425,"493"
426,"455"
427,"497"
428,"481"
429,"464"
430,"492"
431,"460"
432,"429"
433,"456"
434,"477"
435,"439"
436,"439"
437,"471"
438,"421"
439,"411"
440,"461"
441,"462"
442,"438"
443,"455"
444,"483"
445,"447"
446,"472"
447,"447"
448,"449"
449,"404"
450,"435"
451,"384"
452,"421"
453,"418"
454,"425"
455,"425"
456,"392"
457,"393"
458,"432"
459,"410"
460,"383"
461,"430"
462,"406"
463,"431"
464,"404"
465,"439"
466,"438"
467,"418"
468,"415"
469,"423"
470,"412"
471,"456"
472,"433"
473,"432"
474,"463"
475,"408"
476,"461"
477,"434"
478,"465"
479,"446"
480,"466"
481,"489"
482,"448"
483,"454"
484,"452"
485,"426"
486,"483"
487,"454"
488,"444"
489,"465"
490,"442"
491,"430"
492,"453"
493,"442"
494,"421"
495,"440"
496,"440"
497,"430"
498,"427"
499,"471"
500,"437"
501,"424"
502,"443"
503,"441"
504,"471"
505,"440"
506,"470"
507,"440"
508,"444"
509,"494"
510,"416"
511,"440"
512,"518"
513,"465"
514,"490"
515,"471"
516,"492"
517,"487"
518,"481"
519,"505"
520,"501"
521,"485"
522,"508"
523,"528"
524,"537"
525,"478"
526,"514"
527,"417"
528,"466"
529,"465"
530,"450"
531,"414"
532,"408"
533,"420"
534,"399"
535,"421"
536,"424"
537,"413"
538,"382"
539,"442"
540,"429"
541,"410"
542,"473"
543,"404"
544,"413"
545,"415"
546,"402"
547,"432"
548,"460"
549,"379"
550,"456"
551,"446"
552,"467"
553,"425"
554,"418"
555,"410"
556,"446"
557,"408"
558,"422"
559,"422"
560,"441"
561,"459"
562,"451"
563,"433"
564,"437"
565,"440"
566,"427"
567,"471"
568,"456"
569,"463"
570,"427"
571,"470"
572,"467"
573,"453"
574,"433"
575,"441"
576,"463"
577,"453"
578,"375"
579,"415"
580,"417"
581,"447"
582,"432"
583,"423"
584,"438"
585,"386"
586,"430"
587,"433"
588,"400"
589,"386"
590,"398"
591,"444"
592,"427"
593,"402"
594,"411"
595,"405"
596,"401"
597,"460"
598,"418"
599,"422"
600,"425"
601,"436"
602,"431"
603,"433"
604,"457"
605,"399"
606,"434"
607,"401"
608,"460"
609,"474"
610,"439"
611,"422"
612,"430"
613,"414"
614,"452"
615,"424"
616,"391"
617,"407"
618,"410"
619,"424"
620,"392"
621,"438"
622,"365"
623,"412"
624,"451"
625,"435"
626,"417"
627,"440"
628,"400"
629,"423"
630,"439"
631,"446"
632,"442"
633,"421"
634,"416"
635,"404"
636,"435"
637,"428"
638,"433"
639,"446"
640,"470"
641,"453"
642,"426"
643,"420"
644,"439"
645,"441"
646,"404"
647,"436"
648,"470"
649,"460"
650,"445"
651,"420"
652,"450"
653,"453"
654,"470"
655,"414"
656,"446"
657,"474"
658,"534"
659,"551"
660,"546"
661,"549"
662,"661"
663,"591"
664,"614"
665,"677"
666,"646"
667,"638"
668,"572"
669,"516"
670,"537"
671,"522"
672,"482"
673,"446"
674,"438"
675,"445"
676,"393"
677,"380"
678,"430"
679,"382"
680,"430"
681,"429"
682,"375"
683,"379"
684,"417"
685,"407"
686,"412"
687,"381"
688,"435"
689,"406"
690,"438"
691,"422"
692,"437"
693,"444"
694,"474"
695,"475"
696,"522"
697,"557"
698,"574"
699,"615"
700,"639"
701,"661"
702,"659"
703,"673"
704,"655"
705,"694"
706,"643"
707,"587"
708,"612"
709,"507"
710,"510"
711,"459"
712,"472"
713,"431"
714,"416"
715,"359"
716,"386"
717,"420"
718,"394"
719,"386"
720,"413"
721,"363"
722,"409"
723,"376"
724,"395"
725,"432"
726,"379"
727,"399"
728,"381"
729,"406"
730,"370"
731,"373"
732,"420"
733,"397"
734,"388"
735,"380"
736,"338"
737,"379"
738,"432"
739,"416"
740,"388"
741,"434"
742,"428"
743,"407"
744,"417"
745,"405"
746,"399"
747,"409"
748,"404"
749,"377"
750,"366"
751,"378"
752,"386"
753,"366"
754,"370"
755,"395"
756,"349"
757,"387"
758,"375"
759,"364"
760,"364"
761,"339"
762,"343"
763,"355"
764,"359"
765,"369"
766,"367"
767,"413"
768,"340"
769,"351"
770,"382"
771,"389"
772,"394"
773,"353"
774,"402"
775,"383"
776,"373"
777,"395"
778,"438"
779,"411"
780,"473"
781,"425"
782,"453"
783,"467"
784,"492"
785,"466"
786,"473"
787,"437"
788,"432"
789,"403"
790,"429"
791,"379"
792,"430"
793,"409"
794,"393"
795,"367"
796,"383"
797,"370"
798,"334"
799,"372"
800,"346"
801,"330"
802,"330"
803,"324"
804,"334"
805,"380"
806,"319"
807,"381"
808,"333"
809,"331"
810,"375"
811,"309"
812,"362"
813,"326"
814,"344"
815,"350"
816,"348"
817,"341"
818,"349"
819,"354"
820,"372"
821,"335"
822,"340"
823,"334"
824,"378"
825,"388"
826,"367"
827,"366"
828,"345"
829,"373"
830,"352"
831,"343"
832,"337"
833,"395"
834,"356"
835,"337"
836,"329"
837,"354"
838,"303"
839,"337"
840,"338"
841,"332"
842,"329"
843,"371"
844,"361"
845,"365"
846,"337"
847,"381"
848,"320"
849,"360"
850,"301"
851,"320"
852,"360"
853,"363"
854,"340"
855,"369"
856,"334"
857,"389"
858,"341"
859,"366"
860,"312"
861,"349"
862,"334"
863,"337"
864,"340"
865,"361"
866,"365"
867,"344"
868,"357"
869,"383"
870,"344"
871,"365"
872,"365"
873,"352"
874,"354"
875,"395"
876,"366"
877,"375"
878,"363"
879,"394"
880,"398"
881,"376"
882,"362"
883,"370"
884,"401"
885,"393"
886,"372"
887,"407"
888,"392"
889,"425"
890,"391"
891,"406"
892,"389"
893,"388"
894,"428"
895,"454"
896,"418"
897,"405"
898,"395"
899,"423"
900,"434"
901,"418"
902,"415"
903,"488"
904,"486"
905,"439"
906,"450"
907,"487"
908,"489"
909,"510"
910,"535"
911,"547"
912,"547"
913,"538"
914,"547"
915,"633"
916,"642"
917,"651"
918,"665"
919,"729"
920,"750"
921,"741"
922,"774"
923,"811"
924,"898"
925,"903"
926,"905"
927,"956"
928,"1021"
929,"1023"
930,"1042"
931,"1078"
932,"1163"
933,"1152"
934,"1160"
935,"1179"
936,"1262"
937,"1185"
938,"1258"
939,"1170"
940,"1292"
941,"1205"
942,"1235"
943,"1180"
944,"1203"
945,"1142"
946,"1106"
947,"1113"
948,"1117"
949,"1042"
950,"995"
951,"956"
952,"925"
953,"870"
954,"859"
955,"851"
956,"793"
957,"733"
958,"716"
959,"724"
960,"679"
961,"647"
962,"588"
963,"591"
964,"535"
965,"538"
966,"557"
967,"510"
968,"471"
969,"486"
970,"506"
971,"446"
972,"414"
973,"449"
974,"397"
975,"425"
976,"432"
977,"392"
978,"416"
979,"374"
980,"378"
981,"354"
982,"371"
983,"346"
984,"342"
985,"350"
986,"346"
987,"381"
988,"404"
989,"368"
990,"396"
991,"440"
992,"478"
993,"461"
994,"531"
995,"585"
996,"591"
997,"687"
998,"628"
999,"694"
1000,"777"
1001,"795"
1002,"754"
1003,"796"
1004,"779"
1005,"725"
1006,"677"
1007,"646"
1008,"625"
1009,"578"
1010,"518"
1011,"471"
1012,"394"
1013,"366"
1014,"373"
1015,"335"
1016,"356"
1017,"311"
1018,"310"
1019,"309"
1020,"322"
1021,"309"
1022,"306"
1023,"331"
1024,"296"
1025,"319"
1026,"316"
1027,"310"
1028,"341"
1029,"340"
1030,"341"
1031,"344"
1032,"369"
1033,"375"
1034,"348"
1035,"378"
1036,"377"
1037,"417"
1038,"425"
1039,"380"
1040,"463"
1041,"461"
1042,"467"
1043,"524"
1044,"524"
1045,"550"
1046,"546"
1047,"562"
1048,"588"
1049,"579"
1050,"549"
1051,"580"
1052,"554"
1053,"557"
1054,"571"
1055,"541"
1056,"498"
1057,"505"
1058,"470"
1059,"436"
1060,"425"
1061,"356"
1062,"386"
1063,"363"
1064,"347"
1065,"324"
1066,"354"
1067,"359"
1068,"357"
1069,"298"
1070,"322"
1071,"306"
1072,"304"
1073,"299"
1074,"293"
1075,"294"
1076,"277"
1077,"283"
1078,"272"
1079,"257"
1080,"252"
1081,"279"
1082,"275"
1083,"249"
1084,"251"
1085,"275"
1086,"247"
1087,"242"
1088,"218"
1089,"255"
1090,"238"
1091,"239"
1092,"247"
1093,"233"
1094,"211"
1095,"214"
1096,"234"
1097,"248"
1098,"245"
1099,"236"
1100,"230"
1101,"225"
1102,"229"
1103,"239"
1104,"205"
1105,"194"
1106,"198"
1107,"214"
1108,"229"
1109,"261"
1110,"218"
1111,"174"
1112,"222"
1113,"229"
1114,"225"
1115,"194"
1116,"178"
1117,"231"
1118,"205"
1119,"238"
1120,"232"
1121,"230"
1122,"237"
1123,"254"
1124,"222"
1125,"244"
1126,"262"
1127,"308"
1128,"268"
1129,"280"
1130,"260"
1131,"249"
1132,"253"
1133,"257"
1134,"259"
1135,"226"
1136,"232"
1137,"229"
1138,"237"
1139,"197"
1140,"198"
1141,"217"
1142,"205"
1143,"185"
1144,"187"
1145,"213"
1146,"196"
1147,"211"
1148,"214"
1149,"211"
1150,"185"
1151,"189"
1152,"206"
1153,"221"
1154,"203"
1155,"174"
1156,"191"
1157,"182"
1158,"195"
1159,"192"
1160,"207"
1161,"204"
1162,"196"
1163,"173"
1164,"188"
1165,"188"
1166,"179"
1167,"175"
1168,"186"
1169,"180"
1170,"175"
1171,"218"
1172,"183"
1173,"200"
1174,"181"
1175,"182"
1176,"185"
1177,"182"
1178,"198"
1179,"195"
1180,"205"
1181,"200"
1182,"199"
1183,"220"
1184,"214"
1185,"199"
1186,"195"
1187,"200"
1188,"204"
1189,"204"
1190,"191"
1191,"201"
1192,"181"
1193,"182"
1194,"175"
1195,"164"
1196,"185"
1197,"159"
1198,"167"
1199,"171"
1200,"156"
1201,"161"
1202,"164"
1203,"183"
1204,"178"
1205,"199"
1206,"176"
1207,"167"
1208,"189"
1209,"218"
1210,"152"
1211,"165"
1212,"164"
1213,"199"
1214,"163"
1215,"155"
1216,"183"
1217,"155"
1218,"156"
1219,"175"
1220,"158"
1221,"159"
1222,"181"
1223,"164"
1224,"174"
1225,"159"
1226,"160"
1227,"159"
1228,"177"
1229,"147"
1230,"157"
1231,"151"
1232,"167"
1233,"155"
1234,"129"
1235,"156"
1236,"173"
1237,"152"
1238,"160"
1239,"155"
1240,"153"
1241,"132"
1242,"133"
1243,"148"
1244,"151"
1245,"147"
1246,"177"
1247,"143"
1248,"139"
1249,"169"
1250,"168"
1251,"144"
1252,"135"
1253,"158"
1254,"148"
1255,"169"
1256,"156"
1257,"175"
1258,"145"
1259,"174"
1260,"139"
1261,"167"
1262,"140"
1263,"144"
1264,"184"
1265,"141"
1266,"152"
1267,"128"
1268,"148"
1269,"123"
1270,"152"
1271,"141"
1272,"142"
1273,"124"
1274,"163"
1275,"145"
1276,"144"
1277,"146"
1278,"159"
1279,"147"
1280,"119"
1281,"122"
1282,"137"
1283,"134"
1284,"143"
1285,"131"
1286,"141"
1287,"149"
1288,"133"
1289,"163"
1290,"154"
1291,"136"
1292,"138"
1293,"151"
1294,"125"
1295,"135"
1296,"150"
1297,"145"
1298,"109"
1299,"134"
1300,"145"
1301,"154"
1302,"136"
1303,"118"
1304,"150"
1305,"141"
1306,"134"
1307,"120"
1308,"121"
1309,"120"
1310,"120"
1311,"133"
1312,"131"
1313,"115"
1314,"107"
1315,"132"
1316,"120"
1317,"132"
1318,"134"
1319,"119"
1320,"108"
1321,"118"
1322,"113"
1323,"118"
1324,"113"
1325,"136"
1326,"128"
1327,"131"
1328,"115"
1329,"106"
1330,"141"
1331,"129"
1332,"118"
1333,"124"
1334,"110"
1335,"128"
1336,"142"
1337,"106"
1338,"120"
1339,"122"
1340,"129"
1341,"117"
1342,"119"
1343,"114"
1344,"107"
1345,"104"
1346,"102"
1347,"112"
1348,"124"
1349,"115"
1350,"102"
1351,"127"
1352,"126"
1353,"112"
1354,"115"
1355,"121"
1356,"119"
1357,"106"
1358,"105"
1359,"107"
1360,"107"
1361,"119"
1362,"94"
1363,"112"
1364,"93"
1365,"102"
1366,"120"
1367,"107"
1368,"117"
1369,"108"
1370,"114"
1371,"124"
1372,"123"
1373,"105"
1374,"105"
1375,"96"
1376,"99"
1377,"95"
1378,"121"
1379,"110"
1380,"113"
1381,"112"
1382,"100"
1383,"114"
1384,"110"
1385,"92"
1386,"124"
1387,"112"
1388,"117"
1389,"126"
1390,"96"
1391,"101"
1392,"124"
1393,"101"
1394,"87"
1395,"87"
1396,"102"
1397,"100"
1398,"84"
1399,"91"
1400,"109"
1401,"104"
1402,"85"
1403,"108"
1404,"102"
1405,"91"
1406,"99"
1407,"90"
1408,"99"
1409,"94"
1410,"92"
1411,"88"
1412,"108"
1413,"97"
1414,"81"
1415,"95"
1416,"85"
1417,"79"
1418,"84"
1419,"107"
1420,"90"
1421,"92"
1422,"91"
1423,"86"
1424,"82"
1425,"89"
1426,"87"
1427,"101"
1428,"94"
1429,"77"
1430,"89"
1431,"98"
1432,"89"
1433,"78"
1434,"94"
1435,"83"
1436,"97"
1437,"94"
1438,"71"
1439,"82"
1440,"77"
1441,"91"
1442,"86"
1443,"77"
1444,"90"
1445,"62"
1446,"67"
1447,"93"
1448,"82"
1449,"78"
1450,"81"
1451,"84"
1452,"95"
1453,"79"
1454,"81"
1455,"79"
1456,"88"
1457,"69"
1458,"89"
1459,"90"
1460,"82"
1461,"81"
1462,"91"
1463,"72"
1464,"75"
1465,"82"
1466,"87"
1467,"77"
1468,"87"
1469,"77"
1470,"74"
1471,"82"
1472,"71"
1473,"79"
1474,"81"
1475,"70"
1476,"74"
1477,"73"
1478,"81"
1479,"80"
1480,"67"
1481,"60"
1482,"65"
1483,"79"
1484,"77"
1485,"66"
1486,"66"
1487,"62"
1488,"79"
1489,"74"
1490,"56"
1491,"60"
1492,"71"
1493,"71"
1494,"63"
1495,"69"
1496,"57"
1497,"67"
1498,"63"
1499,"56"
1500,"75"
1501,"76"
1502,"69"
1503,"83"
1504,"71"
1505,"58"
1506,"62"
1507,"71"
1508,"66"
1509,"60"
1510,"64"
1511,"75"
1512,"55"
1513,"69"
1514,"67"
1515,"81"
1516,"46"
1517,"67"
1518,"52"
1519,"59"
1520,"62"
1521,"61"
1522,"53"
1523,"52"
1524,"54"
1525,"67"
1526,"52"
1527,"59"
1528,"62"
1529,"55"
1530,"61"
1531,"58"
1532,"47"
1533,"63"
1534,"51"
1535,"58"
1536,"56"
1537,"61"
1538,"40"
1539,"52"
1540,"59"
1541,"47"
1542,"54"
1543,"42"
1544,"54"
1545,"53"
1546,"61"
1547,"51"
1548,"49"
1549,"66"
1550,"58"
1551,"48"
1552,"48"
1553,"62"
1554,"58"
1555,"51"
1556,"40"
1557,"42"
1558,"55"
1559,"46"
1560,"48"
1561,"49"
1562,"43"
1563,"43"
1564,"36"
1565,"55"
1566,"48"
1567,"53"
1568,"43"
1569,"46"
1570,"39"
1571,"45"
1572,"54"
1573,"37"
1574,"52"
1575,"43"
1576,"54"
1577,"33"
1578,"45"
1579,"43"
1580,"55"
1581,"40"
1582,"47"
1583,"37"
1584,"39"
1585,"39"
1586,"44"
1587,"34"
1588,"42"
1589,"40"
1590,"39"
1591,"41"
1592,"49"
1593,"31"
1594,"45"
1595,"40"
1596,"40"
1597,"41"
1598,"37"
1599,"35"
1600,"39"
1601,"26"
1602,"39"
1603,"31"
1604,"45"
1605,"31"
1606,"27"
1607,"45"
1608,"44"
1609,"39"
1610,"28"
1611,"31"
1612,"28"
1613,"32"
1614,"35"
1615,"26"
1616,"30"
1617,"27"
1618,"33"
1619,"18"
1620,"29"
1621,"33"
1622,"29"
1623,"31"
1624,"40"
1625,"29"
1626,"23"
1627,"21"
1628,"23"
1629,"31"
1630,"31"
1631,"29"
1632,"29"
1633,"20"
1634,"24"
1635,"33"
1636,"21"
1637,"24"
1638,"22"
1639,"26"
1640,"25"
1641,"24"
1642,"18"
1643,"30"
1644,"24"
1645,"26"
1646,"19"
1647,"24"
1648,"23"
1649,"21"
1650,"15"
1651,"21"
1652,"25"
1653,"19"
1654,"23"
1655,"28"
1656,"18"
1657,"12"
1658,"19"
1659,"29"
1660,"18"
1661,"10"
1662,"18"
1663,"14"
1664,"33"
1665,"21"
1666,"27"
1667,"17"
1668,"22"
1669,"18"
1670,"21"
1671,"28"
1672,"19"
1673,"20"
1674,"18"
1675,"12"
1676,"17"
1677,"21"
1678,"20"
1679,"10"
1680,"12"
1681,"14"
1682,"15"
1683,"15"
1684,"11"
1685,"17"
1686,"16"
1687,"11"
1688,"9"
1689,"11"
1690,"16"
1691,"9"
1692,"16"
1693,"13"
1694,"5"
1695,"6"
1696,"10"
1697,"9"
1698,"13"
1699,"12"
1700,"13"
1701,"6"
1702,"9"
1703,"8"
1704,"11"
1705,"10"
1706,"6"
1707,"11"
1708,"7"
1709,"14"
1710,"4"
1711,"7"
1712,"10"
1713,"8"
1714,"8"
1715,"5"
1716,"15"
1717,"5"
1718,"7"
1719,"6"
1720,"7"
1721,"7"
1722,"6"
1723,"6"
1724,"9"
1725,"9"
1726,"4"
1727,"9"
1728,"0"
1729,"8"
1730,"9"
1731,"3"
1732,"7"
1733,"3"
1734,"5"
1735,"5"
1736,"6"
1737,"2"
1738,"4"
1739,"7"
1740,"6"
1741,"5"
1742,"2"
1743,"7"
1744,"1"
1745,"5"
1746,"2"
1747,"5"
1748,"3"
1749,"0"
1750,"5"
1751,"10"
1752,"2"
1753,"0"
1754,"2"
1755,"1"
1756,"2"
1757,"2"
1758,"3"
1759,"2"
1760,"7"
1761,"4"
1762,"2"
1763,"3"
1764,"2"
1765,"2"
1766,"2"
1767,"5"
1768,"6"
1769,"4"
1770,"2"
1771,"1"
1772,"2"
1773,"5"
1774,"4"
1775,"3"
1776,"4"
1777,"0"
1778,"2"
1779,"4"
1780,"1"
1781,"0"
1782,"1"
1783,"1"
1784,"3"
1785,"4"
1786,"1"
1787,"3"
1788,"2"
1789,"1"
1790,"1"
1791,"4"
1792,"2"
1793,"2"
1794,"5"
1795,"2"
1796,"1"
1797,"1"
1798,"1"
1799,"4"
1800,"4"
1801,"0"
1802,"3"
1803,"3"
1804,"2"
1805,"1"
1806,"3"
1807,"1"
1808,"1"
1809,"4"
1810,"1"
1811,"2"
1812,"2"
1813,"2"
1814,"2"
1815,"2"
1816,"0"
1817,"1"
1818,"2"
1819,"2"
1820,"2"
1821,"1"
1822,"1"
1823,"1"
1824,"1"
1825,"2"
1826,"1"
1827,"2"
1828,"2"
1829,"0"
1830,"2"
1831,"1"
1832,"1"
1833,"2"
1834,"1"
1835,"2"
1836,"2"
1837,"2"
1838,"3"
1839,"0"
1840,"0"
1841,"0"
1842,"0"
1843,"0"
1844,"1"
1845,"1"
1846,"0"
1847,"2"
1848,"2"
1849,"2"
1850,"0"
1851,"0"
1852,"0"
1853,"2"
1854,"2"
1855,"1"
1856,"1"
1857,"1"
1858,"0"
1859,"0"
1860,"2"
1861,"2"
1862,"0"
1863,"0"
1864,"1"
1865,"1"
1866,"1"
1867,"1"
1868,"0"
1869,"0"
1870,"0"
1871,"3"
1872,"0"
1873,"0"
1874,"0"
1875,"0"
1876,"1"
1877,"0"
1878,"1"
1879,"0"
1880,"0"
1881,"2"
1882,"1"
1883,"1"
1884,"1"
1885,"1"
1886,"1"
1887,"1"
1888,"0"
1889,"0"
1890,"2"
1891,"0"
1892,"0"
1893,"2"
1894,"0"
1895,"1"
1896,"0"
1897,"1"
1898,"0"
1899,"0"
1900,"0"
1901,"0"
1902,"2"
1903,"0"
1904,"0"
1905,"1"
1906,"1"
1907,"1"
1908,"0"
1909,"0"
1910,"0"
1911,"0"
1912,"2"
1913,"0"
1914,"3"
1915,"0"
1916,"0"
1917,"0"
1918,"0"
1919,"1"
1920,"0"
1921,"0"
1922,"0"
1923,"0"
1924,"1"
1925,"0"
1926,"1"
1927,"0"
1928,"1"
1929,"0"
1930,"0"
1931,"0"
1932,"0"
1933,"0"
1934,"0"
1935,"0"
1936,"1"
1937,"0"
1938,"0"
1939,"0"
1940,"0"
1941,"1"
1942,"0"
1943,"0"
1944,"0"
1945,"0"
1946,"1"
1947,"0"
1948,"0"
1949,"0"
1950,"0"
1951,"0"
1952,"0"
1953,"0"
1954,"0"
1955,"1"
1956,"0"
1957,"0"
1958,"0"
1959,"0"
1960,"0"
1961,"0"
1962,"1"
1963,"0"
1964,"0"
1965,"0"
1966,"0"
1967,"0"
1968,"0"
1969,"0"
1970,"1"
1971,"0"
1972,"0"
1973,"0"
1974,"0"
1975,"0"
1976,"0"
1977,"0"
1978,"0"
1979,"0"
1980,"0"
1981,"0"
1982,"0"
1983,"0"
1984,"0"
1985,"0"
1986,"0"
1987,"0"
1988,"0"
1989,"0"
1990,"0"
1991,"0"
1992,"1"
1993,"0"
1994,"0"
1995,"0"
1996,"0"
1997,"0"
1998,"0"
1999,"0"
2000,"1"
2001,"0"
2002,"0"
2003,"0"
2004,"0"
2005,"0"
2006,"0"
2007,"0"
2008,"0"
2009,"0"
2010,"0"
2011,"0"
2012,"0"
2013,"0"
2014,"0"
2015,"1"
2016,"0"
2017,"0"
2018,"0"
2019,"0"
2020,"0"
2021,"0"
2022,"0"
2023,"0"
2024,"0"
2025,"0"
2026,"0"
2027,"0"
2028,"0"
2029,"0"
2030,"0"
2031,"0"
2032,"0"
2033,"0"
2034,"0"
2035,"0"
2036,"0"
2037,"0"
2038,"0"
2039,"0"
2040,"0"
2041,"0"
2042,"0"
2043,"0"
2044,"0"
2045,"0"
2046,"0"
2047,"0"


