Bruker AXS Handheld Inc. S1PXRF Spectrum 
Label,"L1-4G -1phi 1"
656,"513"
657,"553"
658,"612"
659,"678"
660,"702"
661,"717"
662,"766"
663,"785"
664,"823"
665,"797"
666,"784"
667,"783"
668,"705"
669,"725"
670,"635"
671,"596"
672,"575"
673,"576"
674,"555"
675,"509"
676,"504"
677,"463"
678,"465"
679,"493"
680,"431"
681,"491"
682,"480"
683,"478"
684,"480"
685,"466"
686,"530"
687,"427"
688,"485"
689,"474"
690,"506"
691,"480"
692,"457"
693,"507"
694,"524"
695,"594"
696,"584"
697,"704"
698,"706"
699,"717"
700,"760"
701,"869"
702,"839"
703,"809"
704,"809"
705,"776"
706,"757"
707,"690"
708,"661"
709,"653"
710,"567"
711,"518"
712,"474"
713,"520"
714,"478"
715,"464"
716,"445"
717,"459"
718,"424"
719,"451"
720,"426"
721,"426"
722,"421"
723,"424"
724,"411"
725,"421"
726,"463"
727,"454"
728,"384"
729,"436"
730,"459"
731,"397"
732,"421"
733,"435"
734,"473"
735,"446"
736,"447"
737,"471"
738,"419"
739,"477"
740,"506"
741,"475"
742,"457"
743,"463"
744,"523"
745,"478"
746,"453"
747,"444"
748,"467"
749,"443"
750,"399"
751,"443"
752,"455"
753,"450"
754,"423"
755,"393"
756,"413"
757,"408"
758,"410"
759,"447"
760,"431"
761,"432"
762,"458"
763,"435"
764,"434"
765,"396"
766,"437"
767,"437"
768,"414"
769,"435"
770,"448"
771,"444"
772,"483"
773,"472"
774,"422"
775,"472"
776,"450"
777,"489"
778,"498"
779,"480"
780,"510"
781,"516"
782,"520"
783,"568"
784,"584"
785,"519"
786,"533"
787,"553"
788,"521"
789,"493"
790,"479"
791,"420"
792,"454"
793,"473"
794,"469"
795,"447"
796,"450"
797,"409"
798,"449"
799,"411"
800,"458"
801,"438"
802,"430"
803,"409"
804,"443"
805,"414"
806,"419"
807,"415"
808,"421"
809,"423"
810,"413"
811,"436"
812,"425"
813,"399"
814,"402"
815,"404"
816,"415"
817,"426"
818,"431"
819,"404"
820,"414"
821,"401"
822,"436"
823,"435"
824,"424"
825,"397"
826,"375"
827,"399"
828,"403"
829,"393"
830,"423"
831,"402"
832,"402"
833,"408"
834,"411"
835,"397"
836,"409"
837,"440"
838,"390"
839,"404"
840,"402"
841,"420"
842,"420"
843,"389"
844,"399"
845,"405"
846,"420"
847,"431"
848,"424"
849,"415"
850,"395"
851,"429"
852,"416"
853,"443"
854,"358"
855,"445"
856,"410"
857,"426"
858,"436"
859,"421"
860,"447"
861,"426"
862,"422"
863,"364"
864,"439"
865,"445"
866,"415"
867,"426"
868,"456"
869,"388"
870,"483"
871,"461"
872,"416"
873,"432"
874,"444"
875,"439"
876,"431"
877,"457"
878,"430"
879,"447"
880,"457"
881,"455"
882,"498"
883,"440"
884,"436"
885,"494"
886,"438"
887,"439"
888,"483"
889,"456"
890,"451"
891,"472"
892,"479"
893,"501"
894,"467"
895,"484"
896,"478"
897,"499"
898,"465"
899,"531"
900,"495"
901,"576"
902,"539"
903,"522"
904,"544"
905,"565"
906,"514"
907,"589"
908,"643"
909,"600"
910,"621"
911,"627"
912,"652"
913,"649"
914,"671"
915,"670"
916,"740"
917,"754"
918,"732"
919,"855"
920,"794"
921,"898"
922,"864"
923,"991"
924,"940"
925,"1013"
926,"1083"
927,"1146"
928,"1198"
929,"1224"
930,"1253"
931,"1260"
932,"1284"
933,"1393"
934,"1332"
935,"1354"
936,"1431"
937,"1476"
938,"1530"
939,"1449"
940,"1449"
941,"1435"
942,"1518"
943,"1406"
944,"1469"
945,"1406"
946,"1316"
947,"1415"
948,"1322"
949,"1265"
950,"1212"
951,"1161"
952,"1169"
953,"1111"
954,"1096"
955,"1066"
956,"1027"
957,"978"
958,"907"
959,"880"
960,"820"
961,"772"
962,"774"
963,"751"
964,"740"
965,"629"
966,"672"
967,"624"
968,"605"
969,"599"
970,"534"
971,"561"
972,"514"
973,"512"
974,"493"
975,"486"
976,"491"
977,"487"
978,"434"
979,"436"
980,"423"
981,"449"
982,"445"
983,"472"
984,"452"
985,"458"
986,"454"
987,"437"
988,"447"
989,"517"
990,"495"
991,"532"
992,"569"
993,"601"
994,"644"
995,"716"
996,"704"
997,"831"
998,"868"
999,"888"
1000,"858"
1001,"937"
1002,"928"
1003,"937"
1004,"920"
1005,"907"
1006,"816"
1007,"857"
1008,"752"
1009,"660"
1010,"702"
1011,"601"
1012,"525"
1013,"492"
1014,"438"
1015,"423"
1016,"401"
1017,"416"
1018,"363"
1019,"364"
1020,"393"
1021,"375"
1022,"333"
1023,"409"
1024,"382"
1025,"388"
1026,"386"
1027,"386"
1028,"394"
1029,"384"
1030,"376"
1031,"403"
1032,"433"
1033,"433"
1034,"464"
1035,"497"
1036,"449"
1037,"454"
1038,"502"
1039,"526"
1040,"523"
1041,"581"
1042,"572"
1043,"614"
1044,"649"
1045,"674"
1046,"629"
1047,"726"
1048,"671"
1049,"692"
1050,"731"
1051,"753"
1052,"667"
1053,"647"
1054,"716"
1055,"677"
1056,"604"
1057,"594"
1058,"558"
1059,"515"
1060,"537"
1061,"514"
1062,"478"
1063,"448"
1064,"475"
1065,"414"
1066,"399"
1067,"453"
1068,"398"
1069,"411"
1070,"389"
1071,"409"
1072,"387"
1073,"351"
1074,"368"
1075,"393"
1076,"366"
1077,"321"
1078,"336"
1079,"323"
1080,"321"
1081,"372"
1082,"339"
1083,"330"
1084,"306"
1085,"312"
1086,"302"
1087,"293"
1088,"342"
1089,"291"
1090,"283"
1091,"298"
1092,"283"
1093,"327"
1094,"285"
1095,"291"
1096,"290"
1097,"296"
1098,"282"
1099,"266"
1100,"274"
1101,"268"
1102,"265"
1103,"268"
1104,"285"
1105,"229"
1106,"275"
1107,"286"
1108,"289"
1109,"273"
1110,"259"
1111,"252"
1112,"270"
1113,"293"
1114,"271"
1115,"256"
1116,"268"
1117,"274"
1118,"271"
1119,"251"
1120,"290"
1121,"285"
1122,"280"
1123,"307"
1124,"318"
1125,"321"
1126,"315"
1127,"373"
1128,"329"
1129,"354"
1130,"274"
1131,"325"
1132,"312"
1133,"303"
1134,"309"
1135,"260"
1136,"268"
1137,"279"
1138,"249"
1139,"263"
1140,"260"
1141,"257"
1142,"236"
1143,"235"
1144,"216"
1145,"282"
1146,"246"
1147,"219"
1148,"254"
1149,"230"
1150,"261"
1151,"240"
1152,"224"
1153,"235"
1154,"269"
1155,"257"
1156,"246"
1157,"239"
1158,"240"
1159,"218"
1160,"208"
1161,"265"
1162,"218"
1163,"201"
1164,"223"
1165,"214"
1166,"210"
1167,"194"
1168,"227"
1169,"233"
1170,"223"
1171,"224"
1172,"227"
1173,"206"
1174,"210"
1175,"220"
1176,"207"
1177,"220"
1178,"236"
1179,"250"
1180,"262"
1181,"247"
1182,"249"
1183,"239"
1184,"238"
1185,"243"
1186,"214"
1187,"251"
1188,"245"
1189,"242"
1190,"231"
1191,"231"
1192,"228"
1193,"214"
1194,"228"
1195,"193"
1196,"221"
1197,"193"
1198,"222"
1199,"205"
1200,"182"
1201,"224"
1202,"183"
1203,"209"
1204,"219"
1205,"227"
1206,"216"
1207,"205"
1208,"209"
1209,"211"
1210,"186"
1211,"208"
1212,"175"
1213,"224"
1214,"208"
1215,"180"
1216,"217"
1217,"197"
1218,"181"
1219,"201"
1220,"217"
1221,"183"
1222,"181"
1223,"186"
1224,"163"
1225,"175"
1226,"194"
1227,"188"
1228,"192"
1229,"194"
1230,"184"
1231,"191"
1232,"179"
1233,"189"
1234,"195"
1235,"172"
1236,"211"
1237,"198"
1238,"165"
1239,"205"
1240,"174"
1241,"195"
1242,"166"
1243,"176"
1244,"183"
1245,"176"
1246,"186"
1247,"192"
1248,"183"
1249,"191"
1250,"205"
1251,"187"
1252,"180"
1253,"206"
1254,"184"
1255,"180"
1256,"218"
1257,"186"
1258,"183"
1259,"179"
1260,"176"
1261,"180"
1262,"201"
1263,"186"
1264,"167"
1265,"175"
1266,"176"
1267,"175"
1268,"164"
1269,"181"
1270,"199"
1271,"168"
1272,"171"
1273,"192"
1274,"149"
1275,"173"
1276,"174"
1277,"223"
1278,"158"
1279,"167"
1280,"191"
1281,"175"
1282,"177"
1283,"146"
1284,"177"
1285,"179"
1286,"174"
1287,"181"
1288,"191"
1289,"157"
1290,"161"
1291,"168"
1292,"163"
1293,"179"
1294,"160"
1295,"179"
1296,"192"
1297,"161"
1298,"158"
1299,"170"
1300,"165"
1301,"147"
1302,"163"
1303,"160"
1304,"166"
1305,"163"
1306,"156"
1307,"175"
1308,"166"
1309,"152"
1310,"178"
1311,"167"
1312,"160"
1313,"152"
1314,"147"
1315,"153"
1316,"145"
1317,"145"
1318,"158"
1319,"152"
1320,"152"
1321,"169"
1322,"150"
1323,"163"
1324,"165"
1325,"171"
1326,"151"
1327,"159"
1328,"138"
1329,"176"
1330,"131"
1331,"131"
1332,"134"
1333,"154"
1334,"145"
1335,"143"
1336,"136"
1337,"149"
1338,"135"
1339,"139"
1340,"157"
1341,"139"
1342,"144"
1343,"122"
1344,"143"
1345,"130"
1346,"153"
1347,"144"
1348,"154"
1349,"146"
1350,"132"
1351,"132"
1352,"156"
1353,"123"
1354,"139"
1355,"147"
1356,"141"
1357,"114"
1358,"127"
1359,"114"
1360,"145"
1361,"127"
1362,"145"
1363,"135"
1364,"148"
1365,"138"
1366,"139"
1367,"139"
1368,"138"
1369,"132"
1370,"141"
1371,"120"
1372,"132"
1373,"111"
1374,"114"
1375,"116"
1376,"129"
1377,"137"
1378,"119"
1379,"134"
1380,"128"
1381,"118"
1382,"137"
1383,"119"
1384,"143"
1385,"123"
1386,"129"
1387,"121"
1388,"128"
1389,"130"
1390,"126"
1391,"123"
1392,"115"
1393,"126"
1394,"138"
1395,"119"
1396,"115"
1397,"109"
1398,"104"
1399,"130"
1400,"125"
1401,"111"
1402,"122"
1403,"127"
1404,"128"
1405,"111"
1406,"136"
1407,"122"
1408,"112"
1409,"111"
1410,"111"
1411,"119"
1412,"144"
1413,"137"
1414,"114"
1415,"108"
1416,"125"
1417,"110"
1418,"133"
1419,"118"
1420,"94"
1421,"129"
1422,"118"
1423,"106"
1424,"125"
1425,"84"
1426,"118"
1427,"110"
1428,"93"
1429,"113"
1430,"93"
1431,"101"
1432,"104"
1433,"110"
1434,"108"
1435,"89"
1436,"101"
1437,"106"
1438,"93"
1439,"139"
1440,"121"
1441,"103"
1442,"116"
1443,"113"
1444,"100"
1445,"90"
1446,"102"
1447,"104"
1448,"92"
1449,"131"
1450,"101"
1451,"113"
1452,"97"
1453,"103"
1454,"116"
1455,"106"
1456,"101"
1457,"98"
1458,"93"
1459,"112"
1460,"76"
1461,"99"
1462,"83"
1463,"103"
1464,"88"
1465,"97"
1466,"107"
1467,"101"
1468,"113"
1469,"89"
1470,"73"
1471,"94"
1472,"90"
1473,"69"
1474,"69"
1475,"96"
1476,"88"
1477,"89"
1478,"101"
1479,"90"
1480,"81"
1481,"83"
1482,"90"
1483,"93"
1484,"70"
1485,"79"
1486,"80"
1487,"102"
1488,"88"
1489,"90"
1490,"90"
1491,"83"
1492,"90"
1493,"91"
1494,"76"
1495,"73"
1496,"98"
1497,"81"
1498,"84"
1499,"92"
1500,"57"
1501,"77"
1502,"80"
1503,"82"
1504,"77"
1505,"76"
1506,"94"
1507,"77"
1508,"81"
1509,"80"
1510,"76"
1511,"82"
1512,"84"
1513,"105"
1514,"63"
1515,"61"
1516,"78"
1517,"74"
1518,"83"
1519,"85"
1520,"75"
1521,"75"
1522,"69"
1523,"72"
1524,"67"
1525,"79"
1526,"87"
1527,"82"
1528,"103"
1529,"72"
1530,"71"
1531,"58"
1532,"66"
1533,"52"
1534,"66"
1535,"77"
1536,"77"
1537,"76"
1538,"69"
1539,"66"
1540,"55"
1541,"62"
1542,"67"
1543,"54"
1544,"60"
1545,"43"
1546,"74"
1547,"48"
1548,"67"
1549,"55"
1550,"68"
1551,"70"
1552,"66"
1553,"59"
1554,"62"
1555,"59"
1556,"51"
1557,"50"
1558,"56"
1559,"47"
1560,"42"
1561,"47"
1562,"55"
1563,"68"
1564,"70"
1565,"65"
1566,"54"
1567,"52"
1568,"59"
1569,"49"
1570,"50"
1571,"47"
1572,"49"
1573,"57"
1574,"52"
1575,"48"
1576,"66"
1577,"52"
1578,"64"
1579,"69"
1580,"57"
1581,"48"
1582,"59"
1583,"54"
1584,"67"
1585,"51"
1586,"46"
1587,"39"
1588,"56"
1589,"48"
1590,"51"
1591,"45"
1592,"40"
1593,"52"
1594,"46"
1595,"56"
1596,"54"
1597,"58"
1598,"58"
1599,"43"
1600,"44"
1601,"39"
1602,"53"
1603,"50"
1604,"40"
1605,"36"
1606,"43"
1607,"41"
1608,"42"
1609,"52"
1610,"43"
1611,"37"
1612,"32"
1613,"36"
1614,"42"
1615,"32"
1616,"51"
1617,"35"
1618,"43"
1619,"31"
1620,"43"
1621,"38"
1622,"35"
1623,"39"
1624,"25"
1625,"42"
1626,"35"
1627,"37"
1628,"48"
1629,"29"
1630,"41"
1631,"29"
1632,"33"
1633,"41"
1634,"33"
1635,"28"
1636,"31"
1637,"33"
1638,"38"
1639,"27"
1640,"30"
1641,"24"
1642,"23"
1643,"32"
1644,"38"
1645,"28"
1646,"27"
1647,"29"
1648,"37"
1649,"29"
1650,"29"
1651,"34"
1652,"29"
1653,"30"
1654,"28"
1655,"23"
1656,"17"
1657,"28"
1658,"29"
1659,"25"
1660,"28"
1661,"28"
1662,"25"
1663,"28"
1664,"26"
1665,"26"
1666,"23"
1667,"22"
1668,"20"
1669,"26"
1670,"19"
1671,"28"
1672,"26"
1673,"23"
1674,"26"
1675,"28"
1676,"31"
1677,"14"
1678,"25"
1679,"18"
1680,"17"
1681,"15"
1682,"15"
1683,"23"
1684,"20"
1685,"16"
1686,"20"
1687,"21"
1688,"17"
1689,"14"
1690,"24"
1691,"10"
1692,"14"
1693,"15"
1694,"17"
1695,"16"
1696,"17"
1697,"22"
1698,"12"
1699,"12"
1700,"10"
1701,"15"
1702,"15"
1703,"12"
1704,"7"
1705,"9"
1706,"13"
1707,"17"
1708,"11"
1709,"11"
1710,"14"
1711,"9"
1712,"16"
1713,"13"
1714,"15"
1715,"10"
1716,"10"
1717,"8"
1718,"9"
1719,"11"
1720,"8"
1721,"10"
1722,"10"
1723,"11"
1724,"15"
1725,"8"
1726,"4"
1727,"8"
1728,"14"
1729,"13"
1730,"9"
1731,"6"
1732,"10"
1733,"9"
1734,"9"
1735,"8"
1736,"4"
1737,"5"
1738,"10"
1739,"8"
1740,"9"
1741,"5"
1742,"5"
1743,"4"
1744,"6"
1745,"8"
1746,"2"
1747,"8"
1748,"6"
1749,"5"
1750,"2"
1751,"5"
1752,"6"
1753,"5"
1754,"4"
1755,"6"
1756,"5"
1757,"7"
1758,"4"
1759,"5"
1760,"5"
1761,"5"
1762,"3"
1763,"2"
1764,"4"
1765,"7"
1766,"4"
1767,"3"
1768,"5"
1769,"3"
1770,"1"
1771,"3"
1772,"4"
1773,"2"
1774,"3"
1775,"1"
1776,"3"
1777,"3"
1778,"4"
1779,"3"
1780,"4"
1781,"2"
1782,"3"
1783,"4"
1784,"5"
1785,"3"
1786,"3"
1787,"4"
1788,"2"
1789,"2"
1790,"4"
1791,"1"
1792,"0"
1793,"4"
1794,"3"
1795,"2"
1796,"5"
1797,"6"
1798,"3"
1799,"2"
1800,"2"
1801,"3"
1802,"4"
1803,"2"
1804,"3"
1805,"3"
1806,"2"
1807,"2"
1808,"3"
1809,"2"
1810,"2"
1811,"1"
1812,"1"
1813,"2"
1814,"1"
1815,"3"
1816,"3"
1817,"6"
1818,"2"
1819,"2"
1820,"2"
1821,"1"
1822,"3"
1823,"2"
1824,"1"
1825,"2"
1826,"1"
1827,"3"
1828,"4"
1829,"1"
1830,"0"
1831,"1"
1832,"3"
1833,"2"
1834,"2"
1835,"0"
1836,"2"
1837,"2"
1838,"2"
1839,"0"
1840,"4"
1841,"2"
1842,"0"
1843,"2"
1844,"3"
1845,"0"
1846,"3"
1847,"2"
1848,"1"
1849,"0"
1850,"1"
1851,"1"
1852,"1"
1853,"0"
1854,"0"
1855,"1"
1856,"0"
1857,"2"
1858,"0"
1859,"0"
1860,"2"
1861,"0"
1862,"0"
1863,"0"
1864,"2"
1865,"0"
1866,"2"
1867,"1"
1868,"0"
1869,"0"
1870,"0"
1871,"1"
1872,"1"
1873,"3"
1874,"0"
1875,"1"
1876,"2"
1877,"2"
1878,"0"
1879,"1"
1880,"1"
1881,"1"
1882,"1"
1883,"0"
1884,"0"
1885,"1"
1886,"1"
1887,"1"
1888,"0"
1889,"0"
1890,"2"
1891,"1"
1892,"0"
1893,"0"
1894,"1"
1895,"2"
1896,"1"
1897,"0"
1898,"0"
1899,"1"
1900,"2"
1901,"0"
1902,"2"
1903,"1"
1904,"1"
1905,"1"
1906,"0"
1907,"1"
1908,"0"
1909,"0"
1910,"1"
1911,"0"
1912,"1"
1913,"0"
1914,"0"
1915,"0"
1916,"1"
1917,"0"
1918,"1"
1919,"3"
1920,"0"
1921,"0"
1922,"0"
1923,"0"
1924,"0"
1925,"0"
1926,"1"
1927,"0"
1928,"1"
1929,"0"
1930,"0"
1931,"0"
1932,"0"
1933,"0"
1934,"0"
1935,"0"
1936,"0"
1937,"1"
1938,"0"
1939,"0"
1940,"0"
1941,"1"
1942,"0"
1943,"0"
1944,"0"
1945,"0"
1946,"0"
1947,"0"
1948,"0"
1949,"1"
1950,"1"
1951,"0"
1952,"0"
1953,"1"
1954,"0"
1955,"0"
1956,"2"
1957,"0"
1958,"0"
1959,"0"
1960,"0"
1961,"0"
1962,"0"
1963,"0"
1964,"0"
1965,"0"
1966,"0"
1967,"1"
1968,"0"
1969,"0"
1970,"0"
1971,"0"
1972,"0"
1973,"0"
1974,"1"
1975,"0"
1976,"1"
1977,"0"
1978,"0"
1979,"0"
1980,"0"
1981,"0"
1982,"0"
1983,"0"
1984,"0"
1985,"1"
1986,"0"
1987,"1"
1988,"0"
1989,"1"
1990,"0"
1991,"0"
1992,"1"
1993,"0"
1994,"0"
1995,"1"
1996,"0"
1997,"0"
1998,"0"
1999,"0"
2000,"0"
2001,"0"
2002,"0"
2003,"0"
2004,"1"
2005,"1"
2006,"1"
2007,"0"
2008,"0"
2009,"0"
2010,"0"
2011,"1"
2012,"0"
2013,"0"
2014,"0"
2015,"0"
2016,"0"
2017,"0"
2018,"0"
2019,"0"
2020,"0"
2021,"0"
2022,"0"
2023,"0"
2024,"0"
2025,"0"
2026,"0"
2027,"0"
2028,"0"
2029,"0"
2030,"0"
2031,"1"
2032,"0"
2033,"0"
2034,"1"
2035,"0"
2036,"0"
2037,"0"
2038,"0"
2039,"0"
2040,"0"
2041,"0"
2042,"1"
2043,"0"
2044,"0"
2045,"0"
2046,"0"
2047,"0"


