Bruker AXS Handheld Inc. S1PXRF Spectrum 
Label,"L1-4E -1phi 0"
361,"775"
362,"866"
363,"834"
364,"852"
365,"901"
366,"930"
367,"982"
368,"1043"
369,"1116"
370,"1150"
371,"1107"
372,"1138"
373,"1044"
374,"896"
375,"815"
376,"751"
377,"699"
378,"615"
379,"551"
380,"555"
381,"573"
382,"544"
383,"527"
384,"464"
385,"484"
386,"523"
387,"505"
388,"509"
389,"519"
390,"458"
391,"507"
392,"536"
393,"538"
394,"600"
395,"596"
396,"561"
397,"625"
398,"687"
399,"707"
400,"748"
401,"694"
402,"702"
403,"705"
404,"718"
405,"719"
406,"844"
407,"867"
408,"924"
409,"1001"
410,"1057"
411,"1051"
412,"1025"
413,"1028"
414,"993"
415,"861"
416,"862"
417,"772"
418,"754"
419,"676"
420,"569"
421,"602"
422,"581"
423,"578"
424,"568"
425,"561"
426,"543"
427,"512"
428,"519"
429,"498"
430,"534"
431,"457"
432,"509"
433,"467"
434,"432"
435,"519"
436,"489"
437,"471"
438,"539"
439,"496"
440,"523"
441,"502"
442,"494"
443,"508"
444,"517"
445,"552"
446,"514"
447,"468"
448,"527"
449,"489"
450,"470"
451,"453"
452,"494"
453,"445"
454,"501"
455,"459"
456,"469"
457,"494"
458,"531"
459,"547"
460,"514"
461,"531"
462,"587"
463,"520"
464,"491"
465,"561"
466,"552"
467,"582"
468,"529"
469,"512"
470,"558"
471,"618"
472,"634"
473,"649"
474,"634"
475,"666"
476,"680"
477,"657"
478,"688"
479,"687"
480,"681"
481,"628"
482,"636"
483,"606"
484,"598"
485,"569"
486,"563"
487,"565"
488,"525"
489,"569"
490,"498"
491,"545"
492,"532"
493,"526"
494,"518"
495,"489"
496,"519"
497,"564"
498,"512"
499,"528"
500,"534"
501,"506"
502,"486"
503,"495"
504,"526"
505,"475"
506,"500"
507,"516"
508,"496"
509,"501"
510,"514"
511,"541"
512,"469"
513,"541"
514,"477"
515,"510"
516,"520"
517,"492"
518,"522"
519,"466"
520,"509"
521,"513"
522,"499"
523,"500"
524,"544"
525,"528"
526,"497"
527,"538"
528,"536"
529,"464"
530,"511"
531,"487"
532,"550"
533,"481"
534,"544"
535,"532"
536,"510"
537,"537"
538,"540"
539,"474"
540,"577"
541,"540"
542,"540"
543,"553"
544,"557"
545,"512"
546,"579"
547,"588"
548,"520"
549,"527"
550,"563"
551,"537"
552,"541"
553,"551"
554,"548"
555,"606"
556,"571"
557,"593"
558,"540"
559,"504"
560,"525"
561,"508"
562,"535"
563,"512"
564,"548"
565,"521"
566,"514"
567,"515"
568,"509"
569,"518"
570,"452"
571,"491"
572,"467"
573,"504"
574,"499"
575,"486"
576,"533"
577,"460"
578,"494"
579,"509"
580,"465"
581,"457"
582,"487"
583,"458"
584,"462"
585,"500"
586,"514"
587,"491"
588,"512"
589,"454"
590,"482"
591,"511"
592,"472"
593,"490"
594,"481"
595,"476"
596,"516"
597,"551"
598,"487"
599,"503"
600,"474"
601,"535"
602,"491"
603,"505"
604,"508"
605,"516"
606,"477"
607,"493"
608,"519"
609,"511"
610,"492"
611,"502"
612,"511"
613,"505"
614,"528"
615,"512"
616,"481"
617,"522"
618,"517"
619,"521"
620,"482"
621,"517"
622,"556"
623,"560"
624,"539"
625,"553"
626,"572"
627,"523"
628,"561"
629,"600"
630,"556"
631,"559"
632,"576"
633,"529"
634,"570"
635,"530"
636,"514"
637,"557"
638,"529"
639,"587"
640,"554"
641,"556"
642,"518"
643,"538"
644,"557"
645,"550"
646,"536"
647,"531"
648,"559"
649,"564"
650,"562"
651,"578"
652,"522"
653,"533"
654,"538"
655,"522"
656,"526"
657,"533"
658,"610"
659,"543"
660,"620"
661,"592"
662,"631"
663,"604"
664,"630"
665,"616"
666,"600"
667,"637"
668,"594"
669,"574"
670,"566"
671,"536"
672,"567"
673,"577"
674,"546"
675,"550"
676,"523"
677,"580"
678,"543"
679,"550"
680,"504"
681,"536"
682,"494"
683,"535"
684,"537"
685,"546"
686,"526"
687,"571"
688,"521"
689,"547"
690,"524"
691,"497"
692,"566"
693,"491"
694,"533"
695,"533"
696,"547"
697,"570"
698,"556"
699,"563"
700,"586"
701,"530"
702,"578"
703,"591"
704,"558"
705,"537"
706,"526"
707,"550"
708,"518"
709,"498"
710,"538"
711,"489"
712,"477"
713,"492"
714,"518"
715,"511"
716,"483"
717,"474"
718,"514"
719,"478"
720,"498"
721,"464"
722,"475"
723,"481"
724,"521"
725,"521"
726,"462"
727,"462"
728,"506"
729,"480"
730,"446"
731,"499"
732,"513"
733,"461"
734,"464"
735,"460"
736,"491"
737,"502"
738,"499"
739,"470"
740,"485"
741,"472"
742,"498"
743,"481"
744,"516"
745,"505"
746,"469"
747,"479"
748,"462"
749,"479"
750,"466"
751,"475"
752,"478"
753,"464"
754,"455"
755,"493"
756,"486"
757,"520"
758,"475"
759,"476"
760,"478"
761,"504"
762,"460"
763,"470"
764,"494"
765,"499"
766,"478"
767,"463"
768,"458"
769,"471"
770,"466"
771,"459"
772,"493"
773,"511"
774,"491"
775,"509"
776,"523"
777,"528"
778,"567"
779,"571"
780,"591"
781,"555"
782,"590"
783,"600"
784,"548"
785,"581"
786,"561"
787,"539"
788,"526"
789,"537"
790,"486"
791,"467"
792,"461"
793,"437"
794,"491"
795,"469"
796,"418"
797,"440"
798,"440"
799,"411"
800,"468"
801,"462"
802,"457"
803,"450"
804,"454"
805,"455"
806,"435"
807,"447"
808,"434"
809,"458"
810,"466"
811,"426"
812,"435"
813,"407"
814,"436"
815,"464"
816,"455"
817,"461"
818,"474"
819,"454"
820,"476"
821,"489"
822,"492"
823,"477"
824,"466"
825,"449"
826,"465"
827,"498"
828,"461"
829,"473"
830,"453"
831,"457"
832,"482"
833,"447"
834,"520"
835,"442"
836,"430"
837,"478"
838,"441"
839,"486"
840,"455"
841,"456"
842,"414"
843,"463"
844,"465"
845,"472"
846,"460"
847,"439"
848,"435"
849,"450"
850,"448"
851,"471"
852,"464"
853,"479"
854,"473"
855,"451"
856,"474"
857,"446"
858,"454"
859,"443"
860,"456"
861,"471"
862,"480"
863,"456"
864,"459"
865,"476"
866,"435"
867,"487"
868,"462"
869,"449"
870,"451"
871,"469"
872,"504"
873,"471"
874,"483"
875,"498"
876,"498"
877,"511"
878,"511"
879,"571"
880,"561"
881,"523"
882,"507"
883,"518"
884,"494"
885,"478"
886,"527"
887,"520"
888,"487"
889,"516"
890,"504"
891,"522"
892,"515"
893,"574"
894,"538"
895,"524"
896,"532"
897,"569"
898,"571"
899,"583"
900,"632"
901,"591"
902,"568"
903,"606"
904,"636"
905,"603"
906,"624"
907,"612"
908,"619"
909,"656"
910,"643"
911,"721"
912,"720"
913,"751"
914,"730"
915,"807"
916,"809"
917,"795"
918,"874"
919,"920"
920,"905"
921,"925"
922,"991"
923,"1004"
924,"1125"
925,"1171"
926,"1219"
927,"1227"
928,"1298"
929,"1433"
930,"1410"
931,"1440"
932,"1460"
933,"1568"
934,"1580"
935,"1531"
936,"1561"
937,"1578"
938,"1576"
939,"1641"
940,"1716"
941,"1663"
942,"1601"
943,"1631"
944,"1637"
945,"1555"
946,"1512"
947,"1454"
948,"1451"
949,"1417"
950,"1347"
951,"1319"
952,"1279"
953,"1276"
954,"1190"
955,"1182"
956,"1067"
957,"1045"
958,"1007"
959,"930"
960,"978"
961,"906"
962,"904"
963,"888"
964,"789"
965,"716"
966,"771"
967,"668"
968,"732"
969,"632"
970,"626"
971,"616"
972,"618"
973,"577"
974,"588"
975,"563"
976,"550"
977,"597"
978,"554"
979,"497"
980,"500"
981,"476"
982,"464"
983,"471"
984,"505"
985,"462"
986,"479"
987,"462"
988,"462"
989,"530"
990,"511"
991,"568"
992,"602"
993,"623"
994,"645"
995,"699"
996,"755"
997,"803"
998,"838"
999,"877"
1000,"918"
1001,"1024"
1002,"946"
1003,"996"
1004,"1012"
1005,"966"
1006,"915"
1007,"821"
1008,"779"
1009,"728"
1010,"632"
1011,"564"
1012,"549"
1013,"509"
1014,"471"
1015,"454"
1016,"422"
1017,"427"
1018,"417"
1019,"420"
1020,"401"
1021,"405"
1022,"406"
1023,"442"
1024,"425"
1025,"405"
1026,"442"
1027,"406"
1028,"458"
1029,"430"
1030,"467"
1031,"505"
1032,"465"
1033,"465"
1034,"487"
1035,"473"
1036,"481"
1037,"499"
1038,"544"
1039,"585"
1040,"598"
1041,"580"
1042,"618"
1043,"622"
1044,"675"
1045,"740"
1046,"686"
1047,"712"
1048,"747"
1049,"724"
1050,"712"
1051,"777"
1052,"718"
1053,"791"
1054,"770"
1055,"680"
1056,"668"
1057,"677"
1058,"579"
1059,"582"
1060,"544"
1061,"566"
1062,"522"
1063,"487"
1064,"490"
1065,"501"
1066,"462"
1067,"464"
1068,"427"
1069,"470"
1070,"428"
1071,"429"
1072,"416"
1073,"388"
1074,"404"
1075,"412"
1076,"424"
1077,"372"
1078,"358"
1079,"385"
1080,"378"
1081,"367"
1082,"379"
1083,"357"
1084,"368"
1085,"313"
1086,"355"
1087,"325"
1088,"343"
1089,"326"
1090,"313"
1091,"346"
1092,"317"
1093,"300"
1094,"338"
1095,"360"
1096,"320"
1097,"312"
1098,"316"
1099,"300"
1100,"288"
1101,"310"
1102,"298"
1103,"336"
1104,"292"
1105,"279"
1106,"270"
1107,"314"
1108,"273"
1109,"290"
1110,"288"
1111,"307"
1112,"279"
1113,"268"
1114,"268"
1115,"316"
1116,"294"
1117,"310"
1118,"302"
1119,"301"
1120,"298"
1121,"260"
1122,"321"
1123,"336"
1124,"335"
1125,"379"
1126,"323"
1127,"362"
1128,"352"
1129,"366"
1130,"364"
1131,"330"
1132,"355"
1133,"335"
1134,"309"
1135,"296"
1136,"300"
1137,"284"
1138,"278"
1139,"239"
1140,"251"
1141,"266"
1142,"271"
1143,"278"
1144,"246"
1145,"269"
1146,"289"
1147,"261"
1148,"276"
1149,"250"
1150,"253"
1151,"271"
1152,"284"
1153,"251"
1154,"258"
1155,"250"
1156,"226"
1157,"286"
1158,"262"
1159,"252"
1160,"239"
1161,"239"
1162,"212"
1163,"263"
1164,"241"
1165,"253"
1166,"249"
1167,"238"
1168,"236"
1169,"218"
1170,"234"
1171,"241"
1172,"262"
1173,"254"
1174,"243"
1175,"246"
1176,"225"
1177,"248"
1178,"268"
1179,"285"
1180,"277"
1181,"281"
1182,"273"
1183,"292"
1184,"251"
1185,"262"
1186,"286"
1187,"281"
1188,"261"
1189,"244"
1190,"248"
1191,"233"
1192,"259"
1193,"250"
1194,"223"
1195,"227"
1196,"223"
1197,"241"
1198,"200"
1199,"216"
1200,"241"
1201,"225"
1202,"215"
1203,"203"
1204,"231"
1205,"216"
1206,"223"
1207,"226"
1208,"223"
1209,"219"
1210,"197"
1211,"218"
1212,"218"
1213,"232"
1214,"208"
1215,"191"
1216,"234"
1217,"227"
1218,"231"
1219,"222"
1220,"222"
1221,"213"
1222,"230"
1223,"227"
1224,"213"
1225,"203"
1226,"198"
1227,"214"
1228,"192"
1229,"219"
1230,"216"
1231,"211"
1232,"205"
1233,"201"
1234,"210"
1235,"199"
1236,"217"
1237,"224"
1238,"225"
1239,"208"
1240,"207"
1241,"217"
1242,"190"
1243,"205"
1244,"186"
1245,"214"
1246,"182"
1247,"209"
1248,"189"
1249,"262"
1250,"197"
1251,"205"
1252,"181"
1253,"201"
1254,"200"
1255,"201"
1256,"216"
1257,"206"
1258,"236"
1259,"207"
1260,"207"
1261,"210"
1262,"192"
1263,"221"
1264,"184"
1265,"188"
1266,"195"
1267,"200"
1268,"198"
1269,"182"
1270,"189"
1271,"200"
1272,"184"
1273,"173"
1274,"167"
1275,"194"
1276,"177"
1277,"178"
1278,"183"
1279,"175"
1280,"173"
1281,"187"
1282,"188"
1283,"178"
1284,"193"
1285,"177"
1286,"196"
1287,"196"
1288,"196"
1289,"177"
1290,"178"
1291,"169"
1292,"181"
1293,"175"
1294,"169"
1295,"174"
1296,"176"
1297,"197"
1298,"187"
1299,"175"
1300,"193"
1301,"161"
1302,"167"
1303,"176"
1304,"172"
1305,"185"
1306,"186"
1307,"172"
1308,"174"
1309,"156"
1310,"149"
1311,"148"
1312,"147"
1313,"154"
1314,"180"
1315,"181"
1316,"142"
1317,"169"
1318,"158"
1319,"184"
1320,"155"
1321,"151"
1322,"162"
1323,"147"
1324,"165"
1325,"174"
1326,"151"
1327,"143"
1328,"165"
1329,"143"
1330,"165"
1331,"168"
1332,"158"
1333,"164"
1334,"142"
1335,"173"
1336,"160"
1337,"154"
1338,"156"
1339,"156"
1340,"162"
1341,"141"
1342,"147"
1343,"162"
1344,"132"
1345,"153"
1346,"178"
1347,"154"
1348,"156"
1349,"145"
1350,"154"
1351,"160"
1352,"160"
1353,"181"
1354,"151"
1355,"153"
1356,"131"
1357,"151"
1358,"149"
1359,"131"
1360,"173"
1361,"152"
1362,"169"
1363,"160"
1364,"136"
1365,"134"
1366,"124"
1367,"146"
1368,"143"
1369,"130"
1370,"132"
1371,"140"
1372,"146"
1373,"140"
1374,"147"
1375,"144"
1376,"140"
1377,"119"
1378,"146"
1379,"113"
1380,"120"
1381,"149"
1382,"132"
1383,"138"
1384,"145"
1385,"142"
1386,"136"
1387,"120"
1388,"131"
1389,"130"
1390,"146"
1391,"123"
1392,"125"
1393,"136"
1394,"135"
1395,"123"
1396,"143"
1397,"119"
1398,"116"
1399,"143"
1400,"141"
1401,"121"
1402,"117"
1403,"118"
1404,"114"
1405,"113"
1406,"135"
1407,"146"
1408,"132"
1409,"133"
1410,"115"
1411,"137"
1412,"132"
1413,"120"
1414,"120"
1415,"113"
1416,"139"
1417,"112"
1418,"122"
1419,"109"
1420,"133"
1421,"131"
1422,"99"
1423,"131"
1424,"104"
1425,"123"
1426,"121"
1427,"110"
1428,"122"
1429,"123"
1430,"108"
1431,"119"
1432,"116"
1433,"107"
1434,"119"
1435,"113"
1436,"113"
1437,"126"
1438,"122"
1439,"108"
1440,"108"
1441,"110"
1442,"117"
1443,"119"
1444,"124"
1445,"107"
1446,"123"
1447,"119"
1448,"93"
1449,"104"
1450,"119"
1451,"114"
1452,"116"
1453,"88"
1454,"109"
1455,"87"
1456,"93"
1457,"90"
1458,"116"
1459,"122"
1460,"104"
1461,"102"
1462,"87"
1463,"108"
1464,"104"
1465,"103"
1466,"99"
1467,"83"
1468,"90"
1469,"83"
1470,"87"
1471,"76"
1472,"103"
1473,"100"
1474,"93"
1475,"102"
1476,"77"
1477,"100"
1478,"111"
1479,"112"
1480,"96"
1481,"91"
1482,"112"
1483,"89"
1484,"98"
1485,"94"
1486,"90"
1487,"94"
1488,"96"
1489,"91"
1490,"90"
1491,"105"
1492,"89"
1493,"83"
1494,"83"
1495,"83"
1496,"102"
1497,"76"
1498,"73"
1499,"89"
1500,"86"
1501,"102"
1502,"79"
1503,"68"
1504,"88"
1505,"83"
1506,"89"
1507,"82"
1508,"75"
1509,"84"
1510,"72"
1511,"82"
1512,"74"
1513,"82"
1514,"68"
1515,"73"
1516,"78"
1517,"107"
1518,"80"
1519,"76"
1520,"86"
1521,"72"
1522,"57"
1523,"64"
1524,"63"
1525,"72"
1526,"85"
1527,"59"
1528,"78"
1529,"79"
1530,"75"
1531,"71"
1532,"67"
1533,"77"
1534,"70"
1535,"67"
1536,"64"
1537,"59"
1538,"83"
1539,"61"
1540,"68"
1541,"79"
1542,"72"
1543,"68"
1544,"73"
1545,"74"
1546,"69"
1547,"60"
1548,"73"
1549,"54"
1550,"67"
1551,"66"
1552,"83"
1553,"71"
1554,"72"
1555,"63"
1556,"62"
1557,"51"
1558,"58"
1559,"65"
1560,"57"
1561,"66"
1562,"69"
1563,"61"
1564,"70"
1565,"60"
1566,"65"
1567,"74"
1568,"61"
1569,"68"
1570,"58"
1571,"67"
1572,"49"
1573,"58"
1574,"61"
1575,"52"
1576,"51"
1577,"45"
1578,"59"
1579,"47"
1580,"63"
1581,"48"
1582,"57"
1583,"60"
1584,"52"
1585,"52"
1586,"64"
1587,"59"
1588,"61"
1589,"62"
1590,"41"
1591,"57"
1592,"44"
1593,"50"
1594,"60"
1595,"45"
1596,"60"
1597,"53"
1598,"67"
1599,"69"
1600,"63"
1601,"56"
1602,"63"
1603,"42"
1604,"47"
1605,"46"
1606,"52"
1607,"37"
1608,"48"
1609,"50"
1610,"45"
1611,"32"
1612,"38"
1613,"32"
1614,"38"
1615,"45"
1616,"31"
1617,"64"
1618,"32"
1619,"45"
1620,"40"
1621,"36"
1622,"38"
1623,"23"
1624,"47"
1625,"43"
1626,"41"
1627,"45"
1628,"54"
1629,"24"
1630,"25"
1631,"33"
1632,"33"
1633,"30"
1634,"42"
1635,"36"
1636,"27"
1637,"36"
1638,"34"
1639,"36"
1640,"22"
1641,"27"
1642,"32"
1643,"32"
1644,"46"
1645,"35"
1646,"33"
1647,"42"
1648,"36"
1649,"31"
1650,"23"
1651,"31"
1652,"27"
1653,"29"
1654,"26"
1655,"31"
1656,"35"
1657,"23"
1658,"15"
1659,"34"
1660,"27"
1661,"28"
1662,"21"
1663,"23"
1664,"29"
1665,"30"
1666,"28"
1667,"23"
1668,"20"
1669,"22"
1670,"25"
1671,"30"
1672,"24"
1673,"23"
1674,"23"
1675,"21"
1676,"22"
1677,"21"
1678,"27"
1679,"21"
1680,"27"
1681,"22"
1682,"13"
1683,"11"
1684,"21"
1685,"21"
1686,"18"
1687,"14"
1688,"11"
1689,"19"
1690,"9"
1691,"18"
1692,"20"
1693,"15"
1694,"16"
1695,"20"
1696,"17"
1697,"14"
1698,"10"
1699,"15"
1700,"28"
1701,"14"
1702,"14"
1703,"15"
1704,"9"
1705,"23"
1706,"15"
1707,"15"
1708,"5"
1709,"12"
1710,"13"
1711,"13"
1712,"13"
1713,"12"
1714,"11"
1715,"10"
1716,"10"
1717,"7"
1718,"18"
1719,"10"
1720,"8"
1721,"14"
1722,"9"
1723,"11"
1724,"13"
1725,"9"
1726,"13"
1727,"4"
1728,"3"
1729,"3"
1730,"10"
1731,"12"
1732,"8"
1733,"7"
1734,"3"
1735,"6"
1736,"6"
1737,"8"
1738,"5"
1739,"5"
1740,"5"
1741,"5"
1742,"4"
1743,"5"
1744,"5"
1745,"5"
1746,"3"
1747,"4"
1748,"5"
1749,"5"
1750,"2"
1751,"8"
1752,"2"
1753,"3"
1754,"8"
1755,"6"
1756,"8"
1757,"4"
1758,"2"
1759,"6"
1760,"2"
1761,"1"
1762,"1"
1763,"2"
1764,"6"
1765,"2"
1766,"3"
1767,"2"
1768,"4"
1769,"3"
1770,"6"
1771,"3"
1772,"5"
1773,"6"
1774,"1"
1775,"4"
1776,"7"
1777,"2"
1778,"3"
1779,"2"
1780,"5"
1781,"2"
1782,"4"
1783,"0"
1784,"7"
1785,"5"
1786,"1"
1787,"3"
1788,"4"
1789,"3"
1790,"1"
1791,"3"
1792,"3"
1793,"5"
1794,"4"
1795,"3"
1796,"3"
1797,"0"
1798,"2"
1799,"5"
1800,"5"
1801,"3"
1802,"3"
1803,"0"
1804,"2"
1805,"2"
1806,"4"
1807,"0"
1808,"0"
1809,"3"
1810,"3"
1811,"4"
1812,"1"
1813,"4"
1814,"4"
1815,"0"
1816,"2"
1817,"0"
1818,"2"
1819,"4"
1820,"0"
1821,"2"
1822,"3"
1823,"3"
1824,"3"
1825,"1"
1826,"3"
1827,"6"
1828,"0"
1829,"1"
1830,"2"
1831,"1"
1832,"2"
1833,"2"
1834,"0"
1835,"1"
1836,"0"
1837,"1"
1838,"0"
1839,"0"
1840,"0"
1841,"4"
1842,"2"
1843,"3"
1844,"3"
1845,"3"
1846,"1"
1847,"1"
1848,"5"
1849,"1"
1850,"1"
1851,"1"
1852,"5"
1853,"1"
1854,"0"
1855,"3"
1856,"2"
1857,"2"
1858,"0"
1859,"3"
1860,"0"
1861,"0"
1862,"1"
1863,"0"
1864,"0"
1865,"1"
1866,"0"
1867,"0"
1868,"1"
1869,"2"
1870,"1"
1871,"2"
1872,"1"
1873,"1"
1874,"0"
1875,"0"
1876,"0"
1877,"1"
1878,"0"
1879,"0"
1880,"0"
1881,"0"
1882,"0"
1883,"0"
1884,"0"
1885,"1"
1886,"2"
1887,"1"
1888,"0"
1889,"0"
1890,"1"
1891,"0"
1892,"2"
1893,"1"
1894,"2"
1895,"0"
1896,"0"
1897,"2"
1898,"1"
1899,"0"
1900,"1"
1901,"0"
1902,"1"
1903,"0"
1904,"1"
1905,"0"
1906,"0"
1907,"1"
1908,"0"
1909,"0"
1910,"1"
1911,"0"
1912,"0"
1913,"0"
1914,"0"
1915,"0"
1916,"0"
1917,"1"
1918,"0"
1919,"1"
1920,"1"
1921,"0"
1922,"0"
1923,"1"
1924,"0"
1925,"0"
1926,"0"
1927,"0"
1928,"1"
1929,"1"
1930,"0"
1931,"0"
1932,"1"
1933,"0"
1934,"0"
1935,"1"
1936,"0"
1937,"0"
1938,"2"
1939,"0"
1940,"0"
1941,"0"
1942,"1"
1943,"0"
1944,"0"
1945,"0"
1946,"0"
1947,"1"
1948,"0"
1949,"0"
1950,"0"
1951,"0"
1952,"1"
1953,"0"
1954,"0"
1955,"1"
1956,"0"
1957,"0"
1958,"1"
1959,"0"
1960,"0"
1961,"0"
1962,"0"
1963,"0"
1964,"0"
1965,"2"
1966,"0"
1967,"1"
1968,"1"
1969,"0"
1970,"3"
1971,"0"
1972,"0"
1973,"1"
1974,"0"
1975,"0"
1976,"0"
1977,"2"
1978,"0"
1979,"0"
1980,"0"
1981,"1"
1982,"1"
1983,"0"
1984,"0"
1985,"0"
1986,"0"
1987,"0"
1988,"1"
1989,"0"
1990,"0"
1991,"1"
1992,"0"
1993,"0"
1994,"0"
1995,"0"
1996,"0"
1997,"0"
1998,"0"
1999,"0"
2000,"0"
2001,"0"
2002,"0"
2003,"0"
2004,"0"
2005,"0"
2006,"1"
2007,"0"
2008,"0"
2009,"0"
2010,"0"
2011,"0"
2012,"1"
2013,"0"
2014,"0"
2015,"0"
2016,"0"
2017,"0"
2018,"0"
2019,"0"
2020,"0"
2021,"0"
2022,"0"
2023,"0"
2024,"0"
2025,"0"
2026,"0"
2027,"0"
2028,"0"
2029,"0"
2030,"0"
2031,"0"
2032,"0"
2033,"0"
2034,"1"
2035,"0"
2036,"0"
2037,"0"
2038,"0"
2039,"1"
2040,"1"
2041,"0"
2042,"0"
2043,"0"
2044,"0"
2045,"2"
2046,"0"
2047,"0"


