Area (µm^2);Equivalent circular diameter (µm);Class;;3-D diameter (µm);;;;;;;;;
340128,7653;658,0770428;Plagioclase;;1066,834318;;;;;;;;;
1327594,915;1300,133203;Plagioclase;;2107,69656;;;;;;;;;
742628,1789;972,3906439;Plagioclase;;1576,380336;;;;;;;;;
1403159,886;1336,622106;Plagioclase;;2166,850142;;;;;;;;;
1110742,179;1189,218595;Plagioclase;;1927,88857;;;;;;;;;
1192029,988;1231,965795;Plagioclase;;1997,187721;;;;;;;;;
1014691,104;1136,637514;Plagioclase;;1842,647333;;;;;;;;;
839764,3815;1034,031537;Plagioclase;;1676,308787;;;;;;;;;
2386582,726;1743,1843;Plagioclase;;2825,943945;;;;;;;;;
6464699,735;2868,991347;Plagioclase;;4651,033586;;;;;;;;;
2787444,08;1883,90128;Plagioclase;;3054,06572;;;;;;;;;
2250893,39;1692,904745;Plagioclase;;2744,4338;;;;;;;;;
1999240,541;1595,466112;Plagioclase;;2586,47224;;;;;;;;;
8039261,406;3199,360175;Plagioclase;;5186,607358;;;;;;;;;
2536420,191;1797,072756;Plagioclase;;2913,304619;;;;;;;;;
2740949,471;1868,123459;Plagioclase;;3028,48768;;;;;;;;;
1,79E+07;4776,959875;Plagioclase;;7744,115661;;;;;;;;;
2626361,375;1828,657202;Plagioclase;;2964,507395;;;;;;;;;
4625933,675;2426,916085;Plagioclase;;3934,368166;;;;;;;;;
4569313,512;2412,017963;Plagioclase;;3910,21624;;;;;;;;;
1,39E+07;4209,985051;Plagioclase;;6824,970697;;;;;;;;;
2173165,075;1663,418081;Plagioclase;;2696,631821;;;;;;;;;
4343517,112;2351,667015;Plagioclase;;3812,378968;;;;;;;;;
1745258,469;1490,681756;Plagioclase;;2416,60224;;;;;;;;;
4685007,47;2442,36295;Plagioclase;;3959,409679;;;;;;;;;
3697624,26;2169,783729;Plagioclase;;3517,52089;;;;;;;;;
293489,0118;611,2951953;Plagioclase;;990,9944438;;;;;;;;;
209740,6578;516,7689035;Plagioclase;;837,7541916;;;;;;;;;
347966,5661;665,6160998;Quartz;;1079,056177;;;;;;;;;
726973,312;962,0868822;Quartz;;1559,676507;;;;;;;;;
1252036,856;1262,593694;Quartz;;2046,8398;;;;;;;;;
778389,0094;995,5278339;Quartz;;1613,888936;;;;;;;;;
1466940,509;1366,662601;Quartz;;2215,549959;;;;;;;;;
522886,3766;815,9409366;Quartz;;1322,753624;;;;;;;;;
