Area (µm^2);Equivalent circular diameter (µm);Class;;3-D diameter (µm);;;;;;;;;
129627,827;406,260108;Others;;658,6040802;;;;;;;;;
151199,0585;438,7626014;Others;;711,2951379;;;;;;;;;
39942,37334;225,513213;Others;;365,5882507;;;;;;;;;
109819,0638;373,9331155;Others;;606,1975338;;;;;;;;;
66932,33144;291,9261743;Others;;473,2528882;;;;;;;;;
137486,3628;418,393444;Others;;678,2739035;;;;;;;;;
389166,8581;703,9194793;Others;;1141,151277;;;;;;;;;
227800,7757;538,5582197;Others;;873,0777004;;;;;;;;;
203879,5862;509,4973518;Others;;825,965996;;;;;;;;;
133878,4862;412,8672702;Others;;669,315208;;;;;;;;;
146554,4358;431,9709517;Others;;700,2849299;;;;;;;;;
124734,3851;398,518195;Others;;646,0533635;;;;;;;;;
134383,036;413,644528;Others;;670,5752509;;;;;;;;;
145932,3881;431,0532303;Others;;698,7971761;;;;;;;;;
818946,5188;1021,134219;Plagioclase;;1655,400443;;;;;;;;;
548521,653;835,7029734;Plagioclase;;1354,790631;;;;;;;;;
1104120,826;1185,668714;Plagioclase;;1922,13372;;;;;;;;;
405982,8807;718,9669382;Plagioclase;;1165,545299;;;;;;;;;
262704,5628;578,3475062;Plagioclase;;937,5816621;;;;;;;;;
650184,9805;909,8578068;Plagioclase;;1475,005919;;;;;;;;;
147867,6476;433,9019892;Plagioclase;;703,4154101;;;;;;;;;
369371,9183;685,7834448;Plagioclase;;1111,750246;;;;;;;;;
320969,6964;639,2740493;Plagioclase;;1036,352054;;;;;;;;;
1257386,466;1265,288177;Plagioclase;;2051,207932;;;;;;;;;
87086,6766;332,9897903;Plagioclase;;539,8227152;;;;;;;;;
911106,3399;1077,059247;Plagioclase;;1746,062684;;;;;;;;;
673283,6847;925,8787244;Plagioclase;;1500,978052;;;;;;;;;
140672,6293;423,2138401;Plagioclase;;686,0884354;;;;;;;;;
951629,2911;1100,750674;Plagioclase;;1784,469778;;;;;;;;;
350164,468;667,714945;Plagioclase;;1082,458697;;;;;;;;;
1967011,559;1582,553917;Plagioclase;;2565,539777;;;;;;;;;
7132910,275;3013,619656;Plagioclase;;4885,49617;;;;;;;;;
2078931,761;1626,953635;Plagioclase;;2637,517888;;;;;;;;;
1753918,755;1494,375695;Plagioclase;;2422,590627;;;;;;;;;
5874065,453;2734,79294;Plagioclase;;4433,479323;;;;;;;;;
2087322,494;1630,233585;Plagioclase;;2642,835143;;;;;;;;;
2778479,682;1880,869534;Plagioclase;;3049,15084;;;;;;;;;
212761,0449;520,4764893;Plagioclase;;843,7647033;;;;;;;;;
459969,7086;765,2787873;Plagioclase;;1240,623241;;;;;;;;;
158228,1974;448,8456283;Plagioclase;;727,6411253;;;;;;;;;
211364,8934;518,7659787;Plagioclase;;840,9917279;;;;;;;;;
144121,5381;428,370449;Plagioclase;;694,4480149;;;;;;;;;
219893,8584;529,1290544;Plagioclase;;857,7917134;;;;;;;;;
379248,6533;694,8916338;Plagioclase;;1126,515885;;;;;;;;;
916601,0945;1080,302162;Plagioclase;;1751,319899;;;;;;;;;
788673,5312;1002,082994;Plagioclase;;1624,515762;;;;;;;;;
944475,7427;1096,60561;Plagioclase;;1777,750055;;;;;;;;;
939720,5336;1093,841554;Plagioclase;;1773,269135;;;;;;;;;
1383109,215;1327,037809;Plagioclase;;2151,312666;;;;;;;;;
704496,6555;947,0971444;Plagioclase;;1535,376059;;;;;;;;;
658105,7211;915,3831049;Plagioclase;;1483,963195;;;;;;;;;
821586,7657;1022,77894;Plagioclase;;1658,066764;;;;;;;;;
240117,32;552,9257339;Plagioclase;;896,3694372;;;;;;;;;
861460,0226;1047,303665;Plagioclase;;1697,824752;;;;;;;;;
1350050,837;1311,082802;Plagioclase;;2125,447381;;;;;;;;;
828056,0616;1026,7978;Plagioclase;;1664,581896;;;;;;;;;
1006058,464;1131,792128;Plagioclase;;1834,792288;;;;;;;;;
458421,501;763,9897795;Plagioclase;;1238,53358;;;;;;;;;
866761,2512;1050,521157;Plagioclase;;1703,040753;;;;;;;;;
1313875,308;1293,39785;Plagioclase;;2096,777617;;;;;;;;;
364001,5733;680,7798451;Plagioclase;;1103,638715;;;;;;;;;
350371,8172;667,9126088;Plagioclase;;1082,779138;;;;;;;;;
434569,4279;743,8487618;Plagioclase;;1205,882192;;;;;;;;;
171222,0825;466,9119043;Plagioclase;;756,9290688;;;;;;;;;
601001,7432;874,7680755;Plagioclase;;1418,120589;;;;;;;;;
647095,477;907,6935334;Plagioclase;;1471,497331;;;;;;;;;
2206506,831;1676,129993;Plagioclase;;2717,239597;;;;;;;;;
2022802,325;1604,840151;Plagioclase;;2601,668859;;;;;;;;;
2829003,778;1897,893433;Plagioclase;;3076,748944;;;;;;;;;
1904329,887;1557,134586;Plagioclase;;2524,331509;;;;;;;;;
2500355,248;1784,250873;Plagioclase;;2892,518566;;;;;;;;;
2244320,419;1690,431161;Plagioclase;;2740,423777;;;;;;;;;
3127185,794;1995,408884;Plagioclase;;3234,83504;;;;;;;;;
