Bruker AXS Handheld Inc. S1PXRF Spectrum 
Label,"L3-2C 1phi"
420,"517"
421,"563"
422,"491"
423,"547"
424,"510"
425,"527"
426,"566"
427,"539"
428,"549"
429,"562"
430,"598"
431,"497"
432,"588"
433,"524"
434,"523"
435,"521"
436,"480"
437,"527"
438,"522"
439,"500"
440,"497"
441,"520"
442,"525"
443,"552"
444,"557"
445,"545"
446,"553"
447,"551"
448,"495"
449,"529"
450,"500"
451,"539"
452,"545"
453,"522"
454,"526"
455,"603"
456,"526"
457,"550"
458,"561"
459,"563"
460,"575"
461,"555"
462,"555"
463,"566"
464,"553"
465,"521"
466,"560"
467,"569"
468,"562"
469,"507"
470,"511"
471,"567"
472,"528"
473,"559"
474,"536"
475,"514"
476,"514"
477,"537"
478,"513"
479,"515"
480,"520"
481,"484"
482,"547"
483,"595"
484,"565"
485,"575"
486,"559"
487,"557"
488,"528"
489,"498"
490,"553"
491,"555"
492,"533"
493,"542"
494,"515"
495,"526"
496,"549"
497,"516"
498,"531"
499,"500"
500,"524"
501,"574"
502,"526"
503,"535"
504,"531"
505,"547"
506,"551"
507,"556"
508,"572"
509,"495"
510,"543"
511,"534"
512,"535"
513,"540"
514,"529"
515,"553"
516,"504"
517,"610"
518,"522"
519,"539"
520,"543"
521,"571"
522,"551"
523,"551"
524,"542"
525,"515"
526,"577"
527,"527"
528,"486"
529,"576"
530,"562"
531,"509"
532,"479"
533,"460"
534,"494"
535,"510"
536,"538"
537,"495"
538,"527"
539,"529"
540,"546"
541,"505"
542,"495"
543,"499"
544,"531"
545,"518"
546,"566"
547,"522"
548,"531"
549,"465"
550,"519"
551,"490"
552,"483"
553,"551"
554,"523"
555,"492"
556,"513"
557,"519"
558,"481"
559,"525"
560,"501"
561,"527"
562,"522"
563,"516"
564,"519"
565,"514"
566,"478"
567,"527"
568,"511"
569,"556"
570,"532"
571,"545"
572,"538"
573,"538"
574,"502"
575,"524"
576,"551"
577,"522"
578,"531"
579,"552"
580,"517"
581,"549"
582,"540"
583,"517"
584,"532"
585,"493"
586,"563"
587,"539"
588,"567"
589,"523"
590,"556"
591,"549"
592,"564"
593,"515"
594,"511"
595,"507"
596,"503"
597,"538"
598,"528"
599,"563"
600,"589"
601,"528"
602,"526"
603,"536"
604,"520"
605,"531"
606,"553"
607,"540"
608,"554"
609,"545"
610,"570"
611,"550"
612,"518"
613,"531"
614,"526"
615,"509"
616,"493"
617,"551"
618,"550"
619,"569"
620,"512"
621,"543"
622,"583"
623,"603"
624,"568"
625,"541"
626,"579"
627,"596"
628,"529"
629,"520"
630,"582"
631,"509"
632,"544"
633,"590"
634,"542"
635,"538"
636,"537"
637,"557"
638,"537"
639,"537"
640,"572"
641,"505"
642,"536"
643,"566"
644,"565"
645,"513"
646,"549"
647,"551"
648,"543"
649,"547"
650,"562"
651,"532"
652,"554"
653,"611"
654,"643"
655,"688"
656,"771"
657,"865"
658,"975"
659,"1075"
660,"1217"
661,"1335"
662,"1415"
663,"1400"
664,"1585"
665,"1494"
666,"1374"
667,"1270"
668,"1167"
669,"1027"
670,"898"
671,"790"
672,"718"
673,"651"
674,"594"
675,"572"
676,"520"
677,"520"
678,"532"
679,"508"
680,"494"
681,"515"
682,"487"
683,"483"
684,"506"
685,"496"
686,"523"
687,"511"
688,"542"
689,"528"
690,"528"
691,"539"
692,"483"
693,"540"
694,"607"
695,"631"
696,"626"
697,"623"
698,"645"
699,"690"
700,"692"
701,"765"
702,"729"
703,"706"
704,"702"
705,"658"
706,"697"
707,"629"
708,"610"
709,"595"
710,"533"
711,"527"
712,"541"
713,"513"
714,"511"
715,"444"
716,"501"
717,"461"
718,"490"
719,"514"
720,"472"
721,"485"
722,"508"
723,"480"
724,"454"
725,"508"
726,"530"
727,"516"
728,"487"
729,"483"
730,"482"
731,"489"
732,"490"
733,"484"
734,"514"
735,"496"
736,"560"
737,"553"
738,"582"
739,"598"
740,"636"
741,"622"
742,"615"
743,"608"
744,"602"
745,"590"
746,"571"
747,"569"
748,"556"
749,"554"
750,"543"
751,"520"
752,"514"
753,"497"
754,"511"
755,"461"
756,"495"
757,"492"
758,"485"
759,"467"
760,"468"
761,"418"
762,"444"
763,"448"
764,"487"
765,"486"
766,"457"
767,"431"
768,"464"
769,"444"
770,"463"
771,"462"
772,"441"
773,"487"
774,"499"
775,"523"
776,"512"
777,"536"
778,"583"
779,"561"
780,"587"
781,"553"
782,"554"
783,"590"
784,"578"
785,"550"
786,"586"
787,"516"
788,"505"
789,"506"
790,"496"
791,"510"
792,"472"
793,"507"
794,"459"
795,"482"
796,"463"
797,"454"
798,"474"
799,"495"
800,"465"
801,"443"
802,"464"
803,"412"
804,"449"
805,"464"
806,"463"
807,"430"
808,"448"
809,"429"
810,"417"
811,"469"
812,"436"
813,"412"
814,"440"
815,"440"
816,"460"
817,"433"
818,"439"
819,"440"
820,"459"
821,"449"
822,"442"
823,"451"
824,"437"
825,"407"
826,"443"
827,"430"
828,"499"
829,"422"
830,"434"
831,"440"
832,"429"
833,"492"
834,"456"
835,"465"
836,"416"
837,"438"
838,"401"
839,"488"
840,"470"
841,"415"
842,"420"
843,"449"
844,"437"
845,"417"
846,"440"
847,"429"
848,"433"
849,"415"
850,"413"
851,"463"
852,"441"
853,"431"
854,"446"
855,"447"
856,"480"
857,"462"
858,"432"
859,"461"
860,"463"
861,"440"
862,"469"
863,"446"
864,"470"
865,"494"
866,"485"
867,"484"
868,"464"
869,"521"
870,"494"
871,"524"
872,"501"
873,"477"
874,"505"
875,"483"
876,"515"
877,"497"
878,"528"
879,"456"
880,"500"
881,"475"
882,"514"
883,"518"
884,"485"
885,"477"
886,"491"
887,"489"
888,"487"
889,"472"
890,"455"
891,"499"
892,"490"
893,"520"
894,"525"
895,"546"
896,"527"
897,"553"
898,"540"
899,"584"
900,"587"
901,"538"
902,"569"
903,"593"
904,"632"
905,"556"
906,"648"
907,"627"
908,"653"
909,"639"
910,"633"
911,"650"
912,"702"
913,"720"
914,"748"
915,"742"
916,"800"
917,"802"
918,"822"
919,"893"
920,"886"
921,"993"
922,"1034"
923,"1021"
924,"1029"
925,"1119"
926,"1191"
927,"1237"
928,"1354"
929,"1277"
930,"1311"
931,"1454"
932,"1391"
933,"1578"
934,"1504"
935,"1523"
936,"1585"
937,"1580"
938,"1591"
939,"1550"
940,"1566"
941,"1567"
942,"1550"
943,"1533"
944,"1557"
945,"1361"
946,"1444"
947,"1371"
948,"1398"
949,"1361"
950,"1265"
951,"1219"
952,"1200"
953,"1081"
954,"1083"
955,"1025"
956,"1031"
957,"877"
958,"966"
959,"910"
960,"807"
961,"802"
962,"809"
963,"705"
964,"715"
965,"714"
966,"670"
967,"636"
968,"622"
969,"612"
970,"593"
971,"568"
972,"571"
973,"512"
974,"551"
975,"516"
976,"502"
977,"498"
978,"496"
979,"487"
980,"497"
981,"473"
982,"475"
983,"464"
984,"446"
985,"470"
986,"466"
987,"490"
988,"502"
989,"523"
990,"546"
991,"600"
992,"634"
993,"703"
994,"754"
995,"779"
996,"832"
997,"850"
998,"889"
999,"941"
1000,"982"
1001,"1008"
1002,"1018"
1003,"915"
1004,"943"
1005,"908"
1006,"821"
1007,"773"
1008,"689"
1009,"608"
1010,"581"
1011,"473"
1012,"475"
1013,"431"
1014,"418"
1015,"414"
1016,"410"
1017,"382"
1018,"359"
1019,"401"
1020,"417"
1021,"395"
1022,"376"
1023,"371"
1024,"403"
1025,"365"
1026,"406"
1027,"389"
1028,"395"
1029,"405"
1030,"433"
1031,"415"
1032,"448"
1033,"486"
1034,"475"
1035,"470"
1036,"499"
1037,"511"
1038,"541"
1039,"546"
1040,"594"
1041,"583"
1042,"621"
1043,"642"
1044,"664"
1045,"659"
1046,"661"
1047,"660"
1048,"705"
1049,"711"
1050,"739"
1051,"712"
1052,"674"
1053,"749"
1054,"607"
1055,"634"
1056,"618"
1057,"584"
1058,"543"
1059,"547"
1060,"541"
1061,"475"
1062,"446"
1063,"465"
1064,"413"
1065,"447"
1066,"436"
1067,"396"
1068,"423"
1069,"396"
1070,"380"
1071,"400"
1072,"369"
1073,"393"
1074,"392"
1075,"364"
1076,"339"
1077,"348"
1078,"359"
1079,"356"
1080,"350"
1081,"347"
1082,"317"
1083,"359"
1084,"296"
1085,"307"
1086,"342"
1087,"293"
1088,"307"
1089,"318"
1090,"294"
1091,"310"
1092,"321"
1093,"272"
1094,"262"
1095,"241"
1096,"310"
1097,"303"
1098,"288"
1099,"252"
1100,"287"
1101,"267"
1102,"288"
1103,"239"
1104,"321"
1105,"265"
1106,"280"
1107,"263"
1108,"272"
1109,"276"
1110,"257"
1111,"280"
1112,"262"
1113,"255"
1114,"264"
1115,"245"
1116,"263"
1117,"278"
1118,"248"
1119,"292"
1120,"324"
1121,"323"
1122,"321"
1123,"340"
1124,"340"
1125,"349"
1126,"388"
1127,"348"
1128,"344"
1129,"307"
1130,"327"
1131,"349"
1132,"283"
1133,"293"
1134,"286"
1135,"276"
1136,"280"
1137,"276"
1138,"240"
1139,"246"
1140,"248"
1141,"262"
1142,"255"
1143,"243"
1144,"254"
1145,"266"
1146,"259"
1147,"241"
1148,"267"
1149,"263"
1150,"268"
1151,"248"
1152,"231"
1153,"217"
1154,"240"
1155,"226"
1156,"211"
1157,"250"
1158,"233"
1159,"241"
1160,"228"
1161,"233"
1162,"247"
1163,"208"
1164,"213"
1165,"234"
1166,"229"
1167,"229"
1168,"219"
1169,"238"
1170,"218"
1171,"245"
1172,"212"
1173,"259"
1174,"201"
1175,"220"
1176,"219"
1177,"247"
1178,"257"
1179,"229"
1180,"235"
1181,"243"
1182,"250"
1183,"235"
1184,"237"
1185,"256"
1186,"238"
1187,"247"
1188,"200"
1189,"227"
1190,"202"
1191,"229"
1192,"226"
1193,"213"
1194,"217"
1195,"202"
1196,"210"
1197,"208"
1198,"209"
1199,"208"
1200,"194"
1201,"213"
1202,"199"
1203,"235"
1204,"208"
1205,"217"
1206,"228"
1207,"198"
1208,"213"
1209,"193"
1210,"211"
1211,"224"
1212,"195"
1213,"156"
1214,"182"
1215,"186"
1216,"164"
1217,"166"
1218,"183"
1219,"206"
1220,"187"
1221,"177"
1222,"210"
1223,"177"
1224,"183"
1225,"187"
1226,"189"
1227,"202"
1228,"191"
1229,"168"
1230,"187"
1231,"180"
1232,"190"
1233,"181"
1234,"184"
1235,"184"
1236,"173"
1237,"186"
1238,"185"
1239,"189"
1240,"178"
1241,"202"
1242,"194"
1243,"199"
1244,"169"
1245,"197"
1246,"205"
1247,"197"
1248,"201"
1249,"185"
1250,"181"
1251,"194"
1252,"187"
1253,"196"
1254,"204"
1255,"162"
1256,"178"
1257,"200"
1258,"163"
1259,"199"
1260,"202"
1261,"186"
1262,"181"
1263,"163"
1264,"155"
1265,"187"
1266,"154"
1267,"184"
1268,"177"
1269,"164"
1270,"173"
1271,"183"
1272,"200"
1273,"146"
1274,"140"
1275,"182"
1276,"145"
1277,"160"
1278,"171"
1279,"154"
1280,"184"
1281,"177"
1282,"144"
1283,"160"
1284,"161"
1285,"168"
1286,"174"
1287,"169"
1288,"153"
1289,"174"
1290,"177"
1291,"171"
1292,"160"
1293,"164"
1294,"155"
1295,"157"
1296,"162"
1297,"150"
1298,"160"
1299,"164"
1300,"139"
1301,"176"
1302,"162"
1303,"179"
1304,"164"
1305,"187"
1306,"161"
1307,"143"
1308,"162"
1309,"164"
1310,"153"
1311,"173"
1312,"159"
1313,"161"
1314,"142"
1315,"160"
1316,"136"
1317,"164"
1318,"154"
1319,"151"
1320,"149"
1321,"150"
1322,"143"
1323,"163"
1324,"168"
1325,"146"
1326,"146"
1327,"154"
1328,"138"
1329,"165"
1330,"144"
1331,"140"
1332,"155"
1333,"127"
1334,"142"
1335,"140"
1336,"140"
1337,"139"
1338,"149"
1339,"145"
1340,"132"
1341,"137"
1342,"162"
1343,"134"
1344,"139"
1345,"124"
1346,"130"
1347,"141"
1348,"148"
1349,"146"
1350,"134"
1351,"129"
1352,"121"
1353,"140"
1354,"154"
1355,"131"
1356,"135"
1357,"144"
1358,"120"
1359,"137"
1360,"128"
1361,"131"
1362,"143"
1363,"127"
1364,"119"
1365,"146"
1366,"127"
1367,"144"
1368,"143"
1369,"141"
1370,"118"
1371,"112"
1372,"135"
1373,"122"
1374,"134"
1375,"124"
1376,"116"
1377,"126"
1378,"110"
1379,"119"
1380,"121"
1381,"132"
1382,"126"
1383,"125"
1384,"127"
1385,"119"
1386,"111"
1387,"108"
1388,"116"
1389,"115"
1390,"127"
1391,"112"
1392,"126"
1393,"136"
1394,"114"
1395,"115"
1396,"130"
1397,"118"
1398,"116"
1399,"125"
1400,"112"
1401,"98"
1402,"120"
1403,"106"
1404,"100"
1405,"108"
1406,"98"
1407,"119"
1408,"130"
1409,"111"
1410,"114"
1411,"105"
1412,"102"
1413,"109"
1414,"100"
1415,"127"
1416,"121"
1417,"107"
1418,"92"
1419,"107"
1420,"104"
1421,"103"
1422,"140"
1423,"113"
1424,"79"
1425,"118"
1426,"109"
1427,"98"
1428,"92"
1429,"118"
1430,"109"
1431,"89"
1432,"105"
1433,"113"
1434,"105"
1435,"112"
1436,"101"
1437,"102"
1438,"96"
1439,"103"
1440,"86"
1441,"95"
1442,"117"
1443,"100"
1444,"101"
1445,"96"
1446,"73"
1447,"100"
1448,"111"
1449,"93"
1450,"94"
1451,"79"
1452,"90"
1453,"95"
1454,"92"
1455,"89"
1456,"85"
1457,"80"
1458,"89"
1459,"86"
1460,"89"
1461,"86"
1462,"84"
1463,"110"
1464,"73"
1465,"91"
1466,"103"
1467,"102"
1468,"95"
1469,"87"
1470,"78"
1471,"74"
1472,"87"
1473,"96"
1474,"84"
1475,"77"
1476,"76"
1477,"94"
1478,"96"
1479,"83"
1480,"81"
1481,"100"
1482,"78"
1483,"100"
1484,"82"
1485,"87"
1486,"89"
1487,"84"
1488,"77"
1489,"75"
1490,"85"
1491,"75"
1492,"99"
1493,"71"
1494,"77"
1495,"80"
1496,"73"
1497,"92"
1498,"84"
1499,"83"
1500,"79"
1501,"71"
1502,"71"
1503,"65"
1504,"70"
1505,"85"
1506,"83"
1507,"74"
1508,"81"
1509,"73"
1510,"79"
1511,"69"
1512,"80"
1513,"64"
1514,"59"
1515,"83"
1516,"79"
1517,"66"
1518,"77"
1519,"88"
1520,"65"
1521,"60"
1522,"77"
1523,"70"
1524,"60"
1525,"85"
1526,"74"
1527,"59"
1528,"67"
1529,"65"
1530,"65"
1531,"62"
1532,"56"
1533,"68"
1534,"62"
1535,"62"
1536,"68"
1537,"73"
1538,"46"
1539,"62"
1540,"68"
1541,"62"
1542,"73"
1543,"58"
1544,"54"
1545,"61"
1546,"54"
1547,"56"
1548,"51"
1549,"60"
1550,"63"
1551,"63"
1552,"60"
1553,"59"
1554,"60"
1555,"50"
1556,"57"
1557,"52"
1558,"50"
1559,"69"
1560,"39"
1561,"49"
1562,"56"
1563,"50"
1564,"54"
1565,"52"
1566,"55"
1567,"41"
1568,"58"
1569,"48"
1570,"62"
1571,"56"
1572,"57"
1573,"58"
1574,"69"
1575,"50"
1576,"49"
1577,"48"
1578,"51"
1579,"55"
1580,"53"
1581,"37"
1582,"55"
1583,"60"
1584,"49"
1585,"31"
1586,"53"
1587,"45"
1588,"58"
1589,"44"
1590,"53"
1591,"33"
1592,"45"
1593,"44"
1594,"42"
1595,"46"
1596,"42"
1597,"39"
1598,"37"
1599,"42"
1600,"52"
1601,"42"
1602,"42"
1603,"45"
1604,"39"
1605,"42"
1606,"49"
1607,"36"
1608,"40"
1609,"33"
1610,"28"
1611,"44"
1612,"30"
1613,"30"
1614,"43"
1615,"30"
1616,"36"
1617,"29"
1618,"43"
1619,"43"
1620,"36"
1621,"39"
1622,"31"
1623,"35"
1624,"31"
1625,"35"
1626,"35"
1627,"30"
1628,"35"
1629,"36"
1630,"29"
1631,"27"
1632,"32"
1633,"30"
1634,"35"
1635,"31"
1636,"46"
1637,"29"
1638,"27"
1639,"29"
1640,"29"
1641,"29"
1642,"29"
1643,"30"
1644,"28"
1645,"27"
1646,"37"
1647,"33"
1648,"24"
1649,"16"
1650,"26"
1651,"25"
1652,"24"
1653,"19"
1654,"17"
1655,"22"
1656,"33"
1657,"24"
1658,"22"
1659,"12"
1660,"15"
1661,"33"
1662,"18"
1663,"25"
1664,"24"
1665,"26"
1666,"19"
1667,"21"
1668,"24"
1669,"28"
1670,"18"
1671,"24"
1672,"11"
1673,"17"
1674,"25"
1675,"25"
1676,"21"
1677,"18"
1678,"18"
1679,"15"
1680,"19"
1681,"12"
1682,"18"
1683,"14"
1684,"18"
1685,"16"
1686,"13"
1687,"16"
1688,"12"
1689,"16"
1690,"19"
1691,"21"
1692,"13"
1693,"13"
1694,"13"
1695,"13"
1696,"8"
1697,"10"
1698,"13"
1699,"10"
1700,"12"
1701,"23"
1702,"16"
1703,"13"
1704,"8"
1705,"12"
1706,"12"
1707,"6"
1708,"14"
1709,"16"
1710,"9"
1711,"17"
1712,"9"
1713,"15"
1714,"8"
1715,"8"
1716,"14"
1717,"9"
1718,"3"
1719,"11"
1720,"9"
1721,"11"
1722,"12"
1723,"6"
1724,"10"
1725,"14"
1726,"4"
1727,"7"
1728,"6"
1729,"5"
1730,"9"
1731,"5"
1732,"5"
1733,"6"
1734,"10"
1735,"11"
1736,"5"
1737,"5"
1738,"8"
1739,"2"
1740,"1"
1741,"9"
1742,"8"
1743,"4"
1744,"3"
1745,"7"
1746,"6"
1747,"3"
1748,"2"
1749,"6"
1750,"4"
1751,"4"
1752,"8"
1753,"6"
1754,"1"
1755,"3"
1756,"4"
1757,"3"
1758,"3"
1759,"3"
1760,"4"
1761,"9"
1762,"4"
1763,"5"
1764,"3"
1765,"3"
1766,"3"
1767,"4"
1768,"3"
1769,"3"
1770,"4"
1771,"0"
1772,"6"
1773,"2"
1774,"5"
1775,"1"
1776,"3"
1777,"4"
1778,"5"
1779,"3"
1780,"3"
1781,"3"
1782,"3"
1783,"2"
1784,"6"
1785,"3"
1786,"3"
1787,"3"
1788,"3"
1789,"2"
1790,"1"
1791,"2"
1792,"2"
1793,"2"
1794,"1"
1795,"2"
1796,"1"
1797,"3"
1798,"1"
1799,"5"
1800,"4"
1801,"3"
1802,"1"
1803,"3"
1804,"3"
1805,"3"
1806,"2"
1807,"4"
1808,"3"
1809,"2"
1810,"1"
1811,"3"
1812,"1"
1813,"2"
1814,"2"
1815,"2"
1816,"2"
1817,"0"
1818,"3"
1819,"2"
1820,"0"
1821,"3"
1822,"0"
1823,"1"
1824,"1"
1825,"1"
1826,"1"
1827,"3"
1828,"1"
1829,"2"
1830,"1"
1831,"1"
1832,"1"
1833,"4"
1834,"2"
1835,"0"
1836,"1"
1837,"2"
1838,"2"
1839,"1"
1840,"1"
1841,"0"
1842,"2"
1843,"1"
1844,"0"
1845,"1"
1846,"0"
1847,"2"
1848,"0"
1849,"1"
1850,"1"
1851,"0"
1852,"2"
1853,"2"
1854,"1"
1855,"1"
1856,"0"
1857,"2"
1858,"0"
1859,"2"
1860,"0"
1861,"0"
1862,"2"
1863,"2"
1864,"0"
1865,"1"
1866,"2"
1867,"1"
1868,"0"
1869,"0"
1870,"1"
1871,"0"
1872,"0"
1873,"2"
1874,"1"
1875,"0"
1876,"3"
1877,"0"
1878,"0"
1879,"0"
1880,"1"
1881,"1"
1882,"1"
1883,"2"
1884,"0"
1885,"5"
1886,"2"
1887,"1"
1888,"0"
1889,"0"
1890,"0"
1891,"1"
1892,"1"
1893,"0"
1894,"0"
1895,"0"
1896,"0"
1897,"0"
1898,"0"
1899,"0"
1900,"0"
1901,"0"
1902,"0"
1903,"0"
1904,"2"
1905,"0"
1906,"1"
1907,"0"
1908,"0"
1909,"0"
1910,"2"
1911,"0"
1912,"0"
1913,"0"
1914,"1"
1915,"1"
1916,"0"
1917,"1"
1918,"1"
1919,"0"
1920,"0"
1921,"0"
1922,"0"
1923,"2"
1924,"0"
1925,"0"
1926,"0"
1927,"0"
1928,"3"
1929,"1"
1930,"0"
1931,"1"
1932,"0"
1933,"0"
1934,"0"
1935,"0"
1936,"0"
1937,"1"
1938,"1"
1939,"0"
1940,"2"
1941,"0"
1942,"0"
1943,"0"
1944,"0"
1945,"0"
1946,"0"
1947,"0"
1948,"0"
1949,"0"
1950,"0"
1951,"0"
1952,"1"
1953,"0"
1954,"1"
1955,"1"
1956,"0"
1957,"0"
1958,"0"
1959,"0"
1960,"0"
1961,"0"
1962,"0"
1963,"0"
1964,"0"
1965,"0"
1966,"0"
1967,"0"
1968,"0"
1969,"2"
1970,"0"
1971,"0"
1972,"0"
1973,"0"
1974,"2"
1975,"0"
1976,"2"
1977,"0"
1978,"0"
1979,"0"
1980,"0"
1981,"0"
1982,"0"
1983,"0"
1984,"0"
1985,"0"
1986,"1"
1987,"0"
1988,"0"
1989,"0"
1990,"0"
1991,"0"
1992,"0"
1993,"0"
1994,"0"
1995,"1"
1996,"0"
1997,"0"
1998,"0"
1999,"0"
2000,"0"
2001,"0"
2002,"0"
2003,"0"
2004,"0"
2005,"0"
2006,"0"
2007,"0"
2008,"0"
2009,"0"
2010,"0"
2011,"0"
2012,"0"
2013,"0"
2014,"1"
2015,"0"
2016,"0"
2017,"0"
2018,"0"
2019,"0"
2020,"0"
2021,"0"
2022,"0"
2023,"0"
2024,"0"
2025,"0"
2026,"0"
2027,"0"
2028,"0"
2029,"0"
2030,"0"
2031,"0"
2032,"0"
2033,"0"
2034,"0"
2035,"0"
2036,"1"
2037,"0"
2038,"0"
2039,"0"
2040,"0"
2041,"0"
2042,"0"
2043,"0"
2044,"0"
2045,"0"
2046,"0"
2047,"0"


