Bruker AXS Handheld Inc. S1PXRF Spectrum 
Label,"L2-3 5phi"
539,"524"
540,"487"
541,"462"
542,"513"
543,"491"
544,"483"
545,"499"
546,"482"
547,"494"
548,"510"
549,"463"
550,"517"
551,"475"
552,"467"
553,"497"
554,"545"
555,"465"
556,"491"
557,"474"
558,"489"
559,"480"
560,"444"
561,"469"
562,"506"
563,"502"
564,"488"
565,"471"
566,"494"
567,"470"
568,"497"
569,"488"
570,"556"
571,"482"
572,"476"
573,"482"
574,"502"
575,"500"
576,"498"
577,"469"
578,"489"
579,"487"
580,"537"
581,"469"
582,"515"
583,"498"
584,"501"
585,"475"
586,"499"
587,"478"
588,"473"
589,"473"
590,"506"
591,"453"
592,"505"
593,"494"
594,"479"
595,"425"
596,"458"
597,"446"
598,"436"
599,"481"
600,"451"
601,"499"
602,"502"
603,"482"
604,"498"
605,"517"
606,"445"
607,"459"
608,"491"
609,"523"
610,"506"
611,"491"
612,"465"
613,"468"
614,"490"
615,"513"
616,"415"
617,"462"
618,"464"
619,"483"
620,"503"
621,"506"
622,"500"
623,"486"
624,"525"
625,"487"
626,"534"
627,"502"
628,"517"
629,"501"
630,"461"
631,"520"
632,"520"
633,"507"
634,"507"
635,"540"
636,"528"
637,"485"
638,"517"
639,"542"
640,"543"
641,"570"
642,"543"
643,"518"
644,"504"
645,"475"
646,"556"
647,"574"
648,"521"
649,"499"
650,"494"
651,"500"
652,"530"
653,"498"
654,"563"
655,"608"
656,"641"
657,"696"
658,"778"
659,"806"
660,"866"
661,"933"
662,"985"
663,"1087"
664,"1071"
665,"1085"
666,"967"
667,"969"
668,"837"
669,"772"
670,"710"
671,"688"
672,"547"
673,"497"
674,"533"
675,"547"
676,"560"
677,"471"
678,"483"
679,"476"
680,"468"
681,"482"
682,"453"
683,"459"
684,"446"
685,"458"
686,"471"
687,"427"
688,"442"
689,"438"
690,"426"
691,"448"
692,"408"
693,"461"
694,"486"
695,"511"
696,"547"
697,"543"
698,"565"
699,"596"
700,"633"
701,"591"
702,"592"
703,"612"
704,"599"
705,"603"
706,"551"
707,"499"
708,"498"
709,"472"
710,"433"
711,"424"
712,"460"
713,"420"
714,"425"
715,"471"
716,"416"
717,"424"
718,"416"
719,"406"
720,"419"
721,"416"
722,"431"
723,"418"
724,"410"
725,"405"
726,"417"
727,"434"
728,"408"
729,"429"
730,"408"
731,"437"
732,"435"
733,"434"
734,"439"
735,"443"
736,"483"
737,"512"
738,"579"
739,"582"
740,"612"
741,"593"
742,"596"
743,"600"
744,"582"
745,"539"
746,"545"
747,"549"
748,"504"
749,"486"
750,"447"
751,"454"
752,"408"
753,"426"
754,"425"
755,"436"
756,"432"
757,"398"
758,"436"
759,"424"
760,"409"
761,"411"
762,"391"
763,"431"
764,"451"
765,"422"
766,"416"
767,"476"
768,"454"
769,"457"
770,"550"
771,"572"
772,"723"
773,"811"
774,"969"
775,"1137"
776,"1342"
777,"1530"
778,"1742"
779,"1765"
780,"1884"
781,"1998"
782,"2017"
783,"1945"
784,"1833"
785,"1567"
786,"1462"
787,"1269"
788,"1066"
789,"887"
790,"791"
791,"689"
792,"561"
793,"514"
794,"482"
795,"401"
796,"408"
797,"416"
798,"408"
799,"418"
800,"417"
801,"457"
802,"402"
803,"426"
804,"382"
805,"444"
806,"390"
807,"442"
808,"424"
809,"384"
810,"404"
811,"357"
812,"380"
813,"437"
814,"370"
815,"417"
816,"412"
817,"430"
818,"398"
819,"428"
820,"406"
821,"377"
822,"409"
823,"411"
824,"437"
825,"413"
826,"394"
827,"399"
828,"401"
829,"397"
830,"396"
831,"376"
832,"362"
833,"394"
834,"354"
835,"372"
836,"312"
837,"375"
838,"349"
839,"390"
840,"365"
841,"375"
842,"373"
843,"381"
844,"385"
845,"349"
846,"373"
847,"385"
848,"394"
849,"362"
850,"343"
851,"357"
852,"368"
853,"363"
854,"379"
855,"358"
856,"359"
857,"390"
858,"362"
859,"381"
860,"374"
861,"380"
862,"333"
863,"361"
864,"370"
865,"363"
866,"403"
867,"362"
868,"426"
869,"451"
870,"425"
871,"533"
872,"521"
873,"582"
874,"608"
875,"588"
876,"620"
877,"670"
878,"598"
879,"607"
880,"542"
881,"576"
882,"559"
883,"470"
884,"475"
885,"485"
886,"435"
887,"445"
888,"405"
889,"427"
890,"459"
891,"444"
892,"471"
893,"435"
894,"449"
895,"462"
896,"457"
897,"423"
898,"447"
899,"460"
900,"442"
901,"429"
902,"458"
903,"456"
904,"451"
905,"474"
906,"472"
907,"496"
908,"528"
909,"532"
910,"495"
911,"556"
912,"541"
913,"565"
914,"585"
915,"656"
916,"619"
917,"610"
918,"683"
919,"758"
920,"728"
921,"781"
922,"829"
923,"881"
924,"887"
925,"917"
926,"923"
927,"1018"
928,"1032"
929,"1072"
930,"1125"
931,"1083"
932,"1130"
933,"1160"
934,"1166"
935,"1177"
936,"1229"
937,"1191"
938,"1144"
939,"1164"
940,"1199"
941,"1182"
942,"1175"
943,"1139"
944,"1147"
945,"1120"
946,"1071"
947,"1093"
948,"1031"
949,"971"
950,"941"
951,"853"
952,"887"
953,"846"
954,"760"
955,"805"
956,"720"
957,"782"
958,"719"
959,"636"
960,"619"
961,"589"
962,"587"
963,"573"
964,"529"
965,"554"
966,"492"
967,"464"
968,"472"
969,"428"
970,"426"
971,"418"
972,"415"
973,"433"
974,"393"
975,"354"
976,"388"
977,"350"
978,"343"
979,"358"
980,"343"
981,"330"
982,"354"
983,"337"
984,"350"
985,"355"
986,"358"
987,"376"
988,"377"
989,"397"
990,"428"
991,"472"
992,"484"
993,"557"
994,"572"
995,"598"
996,"625"
997,"664"
998,"745"
999,"721"
1000,"730"
1001,"740"
1002,"756"
1003,"706"
1004,"705"
1005,"639"
1006,"648"
1007,"595"
1008,"520"
1009,"480"
1010,"452"
1011,"387"
1012,"340"
1013,"348"
1014,"359"
1015,"304"
1016,"291"
1017,"312"
1018,"278"
1019,"291"
1020,"287"
1021,"295"
1022,"272"
1023,"314"
1024,"311"
1025,"298"
1026,"309"
1027,"305"
1028,"339"
1029,"315"
1030,"336"
1031,"317"
1032,"328"
1033,"364"
1034,"357"
1035,"370"
1036,"383"
1037,"413"
1038,"413"
1039,"429"
1040,"477"
1041,"460"
1042,"466"
1043,"481"
1044,"505"
1045,"511"
1046,"559"
1047,"530"
1048,"565"
1049,"527"
1050,"579"
1051,"536"
1052,"530"
1053,"512"
1054,"495"
1055,"449"
1056,"433"
1057,"420"
1058,"413"
1059,"387"
1060,"420"
1061,"335"
1062,"359"
1063,"335"
1064,"326"
1065,"318"
1066,"287"
1067,"281"
1068,"314"
1069,"299"
1070,"266"
1071,"274"
1072,"282"
1073,"259"
1074,"256"
1075,"255"
1076,"277"
1077,"259"
1078,"254"
1079,"252"
1080,"220"
1081,"230"
1082,"257"
1083,"252"
1084,"256"
1085,"228"
1086,"245"
1087,"223"
1088,"230"
1089,"242"
1090,"248"
1091,"220"
1092,"217"
1093,"230"
1094,"205"
1095,"203"
1096,"217"
1097,"181"
1098,"198"
1099,"201"
1100,"188"
1101,"198"
1102,"192"
1103,"193"
1104,"189"
1105,"216"
1106,"202"
1107,"185"
1108,"183"
1109,"194"
1110,"208"
1111,"204"
1112,"190"
1113,"180"
1114,"238"
1115,"184"
1116,"201"
1117,"182"
1118,"185"
1119,"197"
1120,"203"
1121,"245"
1122,"238"
1123,"241"
1124,"245"
1125,"234"
1126,"235"
1127,"259"
1128,"231"
1129,"225"
1130,"219"
1131,"216"
1132,"235"
1133,"221"
1134,"187"
1135,"197"
1136,"211"
1137,"196"
1138,"168"
1139,"185"
1140,"186"
1141,"181"
1142,"189"
1143,"158"
1144,"175"
1145,"191"
1146,"170"
1147,"195"
1148,"153"
1149,"196"
1150,"197"
1151,"169"
1152,"201"
1153,"189"
1154,"172"
1155,"195"
1156,"146"
1157,"152"
1158,"172"
1159,"167"
1160,"157"
1161,"167"
1162,"164"
1163,"154"
1164,"138"
1165,"147"
1166,"149"
1167,"196"
1168,"167"
1169,"167"
1170,"148"
1171,"165"
1172,"160"
1173,"146"
1174,"159"
1175,"155"
1176,"161"
1177,"187"
1178,"179"
1179,"161"
1180,"228"
1181,"165"
1182,"182"
1183,"162"
1184,"188"
1185,"177"
1186,"181"
1187,"194"
1188,"183"
1189,"159"
1190,"180"
1191,"147"
1192,"173"
1193,"164"
1194,"136"
1195,"143"
1196,"142"
1197,"144"
1198,"150"
1199,"155"
1200,"146"
1201,"138"
1202,"142"
1203,"135"
1204,"168"
1205,"144"
1206,"136"
1207,"162"
1208,"148"
1209,"140"
1210,"134"
1211,"143"
1212,"138"
1213,"152"
1214,"125"
1215,"123"
1216,"156"
1217,"137"
1218,"124"
1219,"142"
1220,"129"
1221,"130"
1222,"141"
1223,"116"
1224,"126"
1225,"141"
1226,"140"
1227,"129"
1228,"100"
1229,"114"
1230,"136"
1231,"133"
1232,"134"
1233,"136"
1234,"156"
1235,"126"
1236,"130"
1237,"137"
1238,"121"
1239,"116"
1240,"145"
1241,"125"
1242,"144"
1243,"132"
1244,"147"
1245,"153"
1246,"131"
1247,"143"
1248,"129"
1249,"152"
1250,"155"
1251,"135"
1252,"122"
1253,"157"
1254,"147"
1255,"140"
1256,"125"
1257,"143"
1258,"147"
1259,"142"
1260,"128"
1261,"122"
1262,"146"
1263,"128"
1264,"131"
1265,"115"
1266,"127"
1267,"121"
1268,"127"
1269,"125"
1270,"94"
1271,"103"
1272,"120"
1273,"121"
1274,"118"
1275,"120"
1276,"118"
1277,"107"
1278,"123"
1279,"130"
1280,"105"
1281,"123"
1282,"106"
1283,"134"
1284,"107"
1285,"121"
1286,"119"
1287,"128"
1288,"129"
1289,"112"
1290,"96"
1291,"110"
1292,"126"
1293,"120"
1294,"119"
1295,"109"
1296,"105"
1297,"114"
1298,"106"
1299,"128"
1300,"111"
1301,"113"
1302,"129"
1303,"104"
1304,"102"
1305,"117"
1306,"116"
1307,"130"
1308,"111"
1309,"106"
1310,"118"
1311,"108"
1312,"104"
1313,"111"
1314,"99"
1315,"97"
1316,"111"
1317,"106"
1318,"101"
1319,"111"
1320,"86"
1321,"104"
1322,"103"
1323,"111"
1324,"99"
1325,"91"
1326,"113"
1327,"108"
1328,"98"
1329,"92"
1330,"103"
1331,"103"
1332,"88"
1333,"90"
1334,"88"
1335,"112"
1336,"96"
1337,"96"
1338,"93"
1339,"87"
1340,"94"
1341,"114"
1342,"83"
1343,"98"
1344,"97"
1345,"92"
1346,"97"
1347,"94"
1348,"94"
1349,"92"
1350,"98"
1351,"94"
1352,"81"
1353,"90"
1354,"89"
1355,"83"
1356,"84"
1357,"97"
1358,"85"
1359,"98"
1360,"80"
1361,"98"
1362,"101"
1363,"87"
1364,"73"
1365,"94"
1366,"96"
1367,"95"
1368,"76"
1369,"88"
1370,"83"
1371,"86"
1372,"83"
1373,"94"
1374,"84"
1375,"86"
1376,"106"
1377,"86"
1378,"82"
1379,"81"
1380,"79"
1381,"103"
1382,"82"
1383,"86"
1384,"88"
1385,"86"
1386,"84"
1387,"75"
1388,"91"
1389,"74"
1390,"78"
1391,"71"
1392,"94"
1393,"73"
1394,"86"
1395,"66"
1396,"78"
1397,"77"
1398,"75"
1399,"65"
1400,"79"
1401,"76"
1402,"73"
1403,"67"
1404,"68"
1405,"93"
1406,"82"
1407,"75"
1408,"79"
1409,"75"
1410,"82"
1411,"80"
1412,"74"
1413,"78"
1414,"81"
1415,"83"
1416,"67"
1417,"74"
1418,"78"
1419,"75"
1420,"60"
1421,"65"
1422,"77"
1423,"78"
1424,"70"
1425,"65"
1426,"64"
1427,"58"
1428,"82"
1429,"81"
1430,"77"
1431,"73"
1432,"89"
1433,"67"
1434,"67"
1435,"74"
1436,"65"
1437,"78"
1438,"54"
1439,"65"
1440,"71"
1441,"77"
1442,"79"
1443,"59"
1444,"60"
1445,"70"
1446,"60"
1447,"63"
1448,"59"
1449,"67"
1450,"63"
1451,"60"
1452,"55"
1453,"53"
1454,"79"
1455,"59"
1456,"62"
1457,"66"
1458,"69"
1459,"69"
1460,"63"
1461,"58"
1462,"48"
1463,"54"
1464,"58"
1465,"72"
1466,"54"
1467,"51"
1468,"49"
1469,"68"
1470,"65"
1471,"54"
1472,"70"
1473,"57"
1474,"72"
1475,"52"
1476,"70"
1477,"49"
1478,"44"
1479,"61"
1480,"45"
1481,"63"
1482,"63"
1483,"67"
1484,"54"
1485,"54"
1486,"53"
1487,"47"
1488,"59"
1489,"49"
1490,"54"
1491,"61"
1492,"49"
1493,"47"
1494,"61"
1495,"46"
1496,"62"
1497,"46"
1498,"48"
1499,"41"
1500,"49"
1501,"44"
1502,"56"
1503,"53"
1504,"43"
1505,"36"
1506,"43"
1507,"48"
1508,"48"
1509,"45"
1510,"52"
1511,"54"
1512,"54"
1513,"54"
1514,"57"
1515,"47"
1516,"51"
1517,"55"
1518,"53"
1519,"60"
1520,"52"
1521,"50"
1522,"42"
1523,"41"
1524,"44"
1525,"53"
1526,"36"
1527,"39"
1528,"31"
1529,"42"
1530,"50"
1531,"59"
1532,"39"
1533,"41"
1534,"39"
1535,"49"
1536,"30"
1537,"45"
1538,"41"
1539,"44"
1540,"32"
1541,"41"
1542,"40"
1543,"49"
1544,"41"
1545,"40"
1546,"40"
1547,"46"
1548,"40"
1549,"38"
1550,"45"
1551,"43"
1552,"31"
1553,"35"
1554,"30"
1555,"39"
1556,"41"
1557,"37"
1558,"43"
1559,"37"
1560,"41"
1561,"41"
1562,"31"
1563,"37"
1564,"45"
1565,"20"
1566,"40"
1567,"34"
1568,"29"
1569,"26"
1570,"31"
1571,"45"
1572,"38"
1573,"47"
1574,"37"
1575,"27"
1576,"40"
1577,"25"
1578,"29"
1579,"34"
1580,"34"
1581,"27"
1582,"23"
1583,"37"
1584,"21"
1585,"35"
1586,"36"
1587,"28"
1588,"35"
1589,"20"
1590,"26"
1591,"25"
1592,"21"
1593,"38"
1594,"35"
1595,"32"
1596,"32"
1597,"26"
1598,"28"
1599,"25"
1600,"28"
1601,"26"
1602,"25"
1603,"34"
1604,"25"
1605,"28"
1606,"31"
1607,"22"
1608,"27"
1609,"24"
1610,"22"
1611,"20"
1612,"28"
1613,"26"
1614,"14"
1615,"26"
1616,"23"
1617,"29"
1618,"23"
1619,"24"
1620,"31"
1621,"23"
1622,"23"
1623,"22"
1624,"27"
1625,"28"
1626,"13"
1627,"22"
1628,"19"
1629,"29"
1630,"23"
1631,"23"
1632,"27"
1633,"14"
1634,"14"
1635,"24"
1636,"26"
1637,"17"
1638,"18"
1639,"17"
1640,"31"
1641,"16"
1642,"29"
1643,"21"
1644,"20"
1645,"17"
1646,"17"
1647,"19"
1648,"16"
1649,"20"
1650,"24"
1651,"20"
1652,"14"
1653,"14"
1654,"25"
1655,"16"
1656,"15"
1657,"13"
1658,"12"
1659,"15"
1660,"14"
1661,"16"
1662,"16"
1663,"20"
1664,"22"
1665,"22"
1666,"17"
1667,"7"
1668,"17"
1669,"13"
1670,"23"
1671,"11"
1672,"14"
1673,"10"
1674,"12"
1675,"16"
1676,"14"
1677,"19"
1678,"8"
1679,"16"
1680,"7"
1681,"10"
1682,"8"
1683,"13"
1684,"7"
1685,"9"
1686,"9"
1687,"11"
1688,"14"
1689,"12"
1690,"19"
1691,"14"
1692,"6"
1693,"9"
1694,"15"
1695,"7"
1696,"11"
1697,"2"
1698,"3"
1699,"4"
1700,"9"
1701,"9"
1702,"10"
1703,"6"
1704,"7"
1705,"7"
1706,"9"
1707,"11"
1708,"12"
1709,"6"
1710,"7"
1711,"9"
1712,"4"
1713,"8"
1714,"5"
1715,"3"
1716,"3"
1717,"7"
1718,"5"
1719,"5"
1720,"2"
1721,"7"
1722,"3"
1723,"3"
1724,"4"
1725,"4"
1726,"4"
1727,"5"
1728,"7"
1729,"4"
1730,"4"
1731,"5"
1732,"7"
1733,"2"
1734,"2"
1735,"3"
1736,"5"
1737,"2"
1738,"6"
1739,"5"
1740,"2"
1741,"6"
1742,"3"
1743,"2"
1744,"2"
1745,"5"
1746,"3"
1747,"5"
1748,"3"
1749,"2"
1750,"1"
1751,"2"
1752,"2"
1753,"3"
1754,"1"
1755,"2"
1756,"1"
1757,"3"
1758,"1"
1759,"0"
1760,"1"
1761,"3"
1762,"3"
1763,"4"
1764,"5"
1765,"1"
1766,"2"
1767,"2"
1768,"1"
1769,"5"
1770,"6"
1771,"1"
1772,"1"
1773,"4"
1774,"1"
1775,"1"
1776,"1"
1777,"0"
1778,"3"
1779,"3"
1780,"2"
1781,"3"
1782,"2"
1783,"1"
1784,"0"
1785,"0"
1786,"1"
1787,"1"
1788,"2"
1789,"2"
1790,"2"
1791,"1"
1792,"3"
1793,"1"
1794,"0"
1795,"0"
1796,"0"
1797,"0"
1798,"1"
1799,"1"
1800,"2"
1801,"1"
1802,"2"
1803,"2"
1804,"0"
1805,"0"
1806,"0"
1807,"1"
1808,"1"
1809,"0"
1810,"1"
1811,"3"
1812,"3"
1813,"0"
1814,"0"
1815,"1"
1816,"1"
1817,"0"
1818,"4"
1819,"0"
1820,"1"
1821,"2"
1822,"0"
1823,"0"
1824,"1"
1825,"0"
1826,"1"
1827,"1"
1828,"4"
1829,"2"
1830,"1"
1831,"2"
1832,"0"
1833,"1"
1834,"0"
1835,"0"
1836,"1"
1837,"1"
1838,"0"
1839,"0"
1840,"1"
1841,"1"
1842,"0"
1843,"1"
1844,"1"
1845,"0"
1846,"1"
1847,"3"
1848,"0"
1849,"1"
1850,"1"
1851,"1"
1852,"3"
1853,"0"
1854,"1"
1855,"1"
1856,"1"
1857,"0"
1858,"0"
1859,"1"
1860,"0"
1861,"1"
1862,"1"
1863,"0"
1864,"1"
1865,"0"
1866,"1"
1867,"2"
1868,"0"
1869,"0"
1870,"0"
1871,"0"
1872,"0"
1873,"0"
1874,"1"
1875,"1"
1876,"4"
1877,"1"
1878,"0"
1879,"0"
1880,"0"
1881,"1"
1882,"0"
1883,"0"
1884,"0"
1885,"1"
1886,"3"
1887,"1"
1888,"0"
1889,"0"
1890,"0"
1891,"0"
1892,"0"
1893,"2"
1894,"2"
1895,"0"
1896,"0"
1897,"0"
1898,"0"
1899,"0"
1900,"0"
1901,"0"
1902,"0"
1903,"0"
1904,"1"
1905,"0"
1906,"0"
1907,"0"
1908,"0"
1909,"0"
1910,"1"
1911,"0"
1912,"2"
1913,"0"
1914,"0"
1915,"0"
1916,"0"
1917,"0"
1918,"0"
1919,"0"
1920,"0"
1921,"0"
1922,"0"
1923,"1"
1924,"0"
1925,"0"
1926,"0"
1927,"0"
1928,"0"
1929,"1"
1930,"0"
1931,"0"
1932,"1"
1933,"0"
1934,"0"
1935,"0"
1936,"1"
1937,"0"
1938,"1"
1939,"0"
1940,"1"
1941,"2"
1942,"0"
1943,"1"
1944,"0"
1945,"0"
1946,"0"
1947,"0"
1948,"0"
1949,"0"
1950,"0"
1951,"0"
1952,"0"
1953,"0"
1954,"0"
1955,"0"
1956,"0"
1957,"0"
1958,"0"
1959,"0"
1960,"0"
1961,"0"
1962,"1"
1963,"0"
1964,"0"
1965,"0"
1966,"0"
1967,"0"
1968,"0"
1969,"0"
1970,"0"
1971,"0"
1972,"0"
1973,"0"
1974,"0"
1975,"0"
1976,"0"
1977,"0"
1978,"0"
1979,"0"
1980,"0"
1981,"0"
1982,"0"
1983,"0"
1984,"0"
1985,"0"
1986,"0"
1987,"1"
1988,"0"
1989,"0"
1990,"0"
1991,"0"
1992,"0"
1993,"0"
1994,"0"
1995,"0"
1996,"0"
1997,"0"
1998,"0"
1999,"0"
2000,"0"
2001,"1"
2002,"0"
2003,"0"
2004,"0"
2005,"0"
2006,"0"
2007,"0"
2008,"0"
2009,"0"
2010,"0"
2011,"0"
2012,"0"
2013,"1"
2014,"1"
2015,"1"
2016,"0"
2017,"0"
2018,"1"
2019,"0"
2020,"0"
2021,"0"
2022,"0"
2023,"0"
2024,"0"
2025,"0"
2026,"0"
2027,"0"
2028,"0"
2029,"0"
2030,"0"
2031,"1"
2032,"1"
2033,"0"
2034,"0"
2035,"0"
2036,"0"
2037,"0"
2038,"0"
2039,"0"
2040,"0"
2041,"0"
2042,"0"
2043,"0"
2044,"0"
2045,"0"
2046,"0"
2047,"0"


