Bruker AXS Handheld Inc. S1PXRF Spectrum 
Label,"0phi bag"
643,"602"
644,"669"
645,"638"
646,"638"
647,"600"
648,"654"
649,"686"
650,"645"
651,"663"
652,"656"
653,"677"
654,"725"
655,"870"
656,"978"
657,"1105"
658,"1180"
659,"1397"
660,"1585"
661,"1727"
662,"1840"
663,"1961"
664,"1911"
665,"1809"
666,"1743"
667,"1576"
668,"1423"
669,"1228"
670,"1090"
671,"957"
672,"852"
673,"748"
674,"691"
675,"674"
676,"650"
677,"572"
678,"647"
679,"625"
680,"628"
681,"619"
682,"573"
683,"626"
684,"612"
685,"658"
686,"610"
687,"594"
688,"623"
689,"717"
690,"613"
691,"688"
692,"634"
693,"691"
694,"704"
695,"805"
696,"824"
697,"841"
698,"885"
699,"994"
700,"978"
701,"998"
702,"1041"
703,"1056"
704,"984"
705,"946"
706,"904"
707,"819"
708,"743"
709,"693"
710,"633"
711,"624"
712,"617"
713,"588"
714,"583"
715,"548"
716,"625"
717,"607"
718,"590"
719,"568"
720,"591"
721,"567"
722,"629"
723,"552"
724,"604"
725,"541"
726,"585"
727,"606"
728,"587"
729,"602"
730,"583"
731,"581"
732,"631"
733,"600"
734,"689"
735,"637"
736,"682"
737,"666"
738,"766"
739,"698"
740,"834"
741,"767"
742,"777"
743,"789"
744,"823"
745,"778"
746,"691"
747,"648"
748,"637"
749,"630"
750,"644"
751,"623"
752,"625"
753,"600"
754,"584"
755,"598"
756,"607"
757,"584"
758,"584"
759,"553"
760,"572"
761,"579"
762,"592"
763,"570"
764,"531"
765,"534"
766,"568"
767,"601"
768,"563"
769,"589"
770,"566"
771,"563"
772,"609"
773,"638"
774,"635"
775,"672"
776,"697"
777,"673"
778,"711"
779,"731"
780,"780"
781,"779"
782,"824"
783,"794"
784,"768"
785,"749"
786,"740"
787,"711"
788,"663"
789,"626"
790,"626"
791,"565"
792,"610"
793,"552"
794,"543"
795,"562"
796,"528"
797,"524"
798,"520"
799,"560"
800,"537"
801,"515"
802,"493"
803,"499"
804,"544"
805,"560"
806,"539"
807,"539"
808,"524"
809,"541"
810,"499"
811,"532"
812,"522"
813,"534"
814,"524"
815,"534"
816,"526"
817,"556"
818,"551"
819,"578"
820,"590"
821,"604"
822,"534"
823,"554"
824,"540"
825,"540"
826,"511"
827,"587"
828,"547"
829,"572"
830,"564"
831,"540"
832,"562"
833,"531"
834,"524"
835,"515"
836,"506"
837,"482"
838,"534"
839,"535"
840,"530"
841,"495"
842,"537"
843,"517"
844,"531"
845,"481"
846,"512"
847,"560"
848,"548"
849,"522"
850,"515"
851,"542"
852,"513"
853,"507"
854,"551"
855,"556"
856,"499"
857,"532"
858,"554"
859,"552"
860,"528"
861,"514"
862,"571"
863,"550"
864,"590"
865,"523"
866,"541"
867,"516"
868,"544"
869,"524"
870,"548"
871,"604"
872,"573"
873,"615"
874,"518"
875,"600"
876,"599"
877,"600"
878,"587"
879,"594"
880,"545"
881,"545"
882,"608"
883,"557"
884,"581"
885,"596"
886,"591"
887,"558"
888,"612"
889,"607"
890,"552"
891,"580"
892,"551"
893,"591"
894,"643"
895,"595"
896,"613"
897,"602"
898,"623"
899,"619"
900,"652"
901,"626"
902,"699"
903,"677"
904,"735"
905,"693"
906,"691"
907,"712"
908,"707"
909,"712"
910,"683"
911,"754"
912,"793"
913,"804"
914,"819"
915,"888"
916,"859"
917,"944"
918,"941"
919,"930"
920,"948"
921,"1036"
922,"1083"
923,"1073"
924,"1186"
925,"1247"
926,"1256"
927,"1305"
928,"1341"
929,"1475"
930,"1475"
931,"1563"
932,"1595"
933,"1658"
934,"1682"
935,"1683"
936,"1699"
937,"1844"
938,"1851"
939,"1864"
940,"1934"
941,"1862"
942,"1986"
943,"1833"
944,"1878"
945,"1862"
946,"1851"
947,"1837"
948,"1825"
949,"1701"
950,"1794"
951,"1629"
952,"1613"
953,"1516"
954,"1507"
955,"1463"
956,"1407"
957,"1274"
958,"1317"
959,"1142"
960,"1135"
961,"1105"
962,"1072"
963,"1018"
964,"983"
965,"916"
966,"906"
967,"824"
968,"875"
969,"781"
970,"746"
971,"752"
972,"701"
973,"682"
974,"650"
975,"657"
976,"661"
977,"656"
978,"621"
979,"569"
980,"546"
981,"583"
982,"571"
983,"555"
984,"533"
985,"564"
986,"571"
987,"617"
988,"625"
989,"697"
990,"667"
991,"736"
992,"846"
993,"829"
994,"933"
995,"1034"
996,"1054"
997,"1120"
998,"1146"
999,"1175"
1000,"1255"
1001,"1235"
1002,"1194"
1003,"1175"
1004,"1145"
1005,"1044"
1006,"976"
1007,"921"
1008,"841"
1009,"741"
1010,"695"
1011,"618"
1012,"532"
1013,"499"
1014,"506"
1015,"468"
1016,"505"
1017,"425"
1018,"450"
1019,"433"
1020,"427"
1021,"475"
1022,"479"
1023,"494"
1024,"442"
1025,"457"
1026,"496"
1027,"502"
1028,"453"
1029,"495"
1030,"455"
1031,"509"
1032,"528"
1033,"523"
1034,"502"
1035,"622"
1036,"620"
1037,"634"
1038,"651"
1039,"662"
1040,"672"
1041,"699"
1042,"759"
1043,"761"
1044,"809"
1045,"803"
1046,"804"
1047,"873"
1048,"890"
1049,"906"
1050,"851"
1051,"844"
1052,"797"
1053,"813"
1054,"778"
1055,"835"
1056,"724"
1057,"732"
1058,"688"
1059,"634"
1060,"669"
1061,"614"
1062,"594"
1063,"595"
1064,"577"
1065,"580"
1066,"537"
1067,"552"
1068,"480"
1069,"499"
1070,"546"
1071,"487"
1072,"501"
1073,"472"
1074,"429"
1075,"501"
1076,"472"
1077,"467"
1078,"434"
1079,"416"
1080,"473"
1081,"445"
1082,"423"
1083,"397"
1084,"396"
1085,"413"
1086,"391"
1087,"401"
1088,"381"
1089,"406"
1090,"415"
1091,"376"
1092,"381"
1093,"360"
1094,"334"
1095,"399"
1096,"335"
1097,"398"
1098,"348"
1099,"334"
1100,"359"
1101,"321"
1102,"326"
1103,"365"
1104,"341"
1105,"369"
1106,"358"
1107,"350"
1108,"330"
1109,"340"
1110,"342"
1111,"337"
1112,"305"
1113,"354"
1114,"305"
1115,"344"
1116,"332"
1117,"338"
1118,"369"
1119,"405"
1120,"370"
1121,"414"
1122,"375"
1123,"431"
1124,"416"
1125,"427"
1126,"453"
1127,"429"
1128,"459"
1129,"439"
1130,"413"
1131,"392"
1132,"380"
1133,"358"
1134,"373"
1135,"346"
1136,"351"
1137,"292"
1138,"309"
1139,"320"
1140,"281"
1141,"337"
1142,"280"
1143,"319"
1144,"298"
1145,"338"
1146,"304"
1147,"333"
1148,"327"
1149,"302"
1150,"322"
1151,"333"
1152,"284"
1153,"289"
1154,"288"
1155,"289"
1156,"291"
1157,"310"
1158,"309"
1159,"301"
1160,"269"
1161,"290"
1162,"283"
1163,"278"
1164,"313"
1165,"288"
1166,"273"
1167,"258"
1168,"282"
1169,"273"
1170,"296"
1171,"301"
1172,"270"
1173,"284"
1174,"267"
1175,"284"
1176,"322"
1177,"280"
1178,"299"
1179,"332"
1180,"326"
1181,"353"
1182,"313"
1183,"330"
1184,"324"
1185,"318"
1186,"296"
1187,"287"
1188,"272"
1189,"288"
1190,"283"
1191,"280"
1192,"241"
1193,"258"
1194,"238"
1195,"247"
1196,"275"
1197,"245"
1198,"273"
1199,"251"
1200,"232"
1201,"266"
1202,"252"
1203,"253"
1204,"273"
1205,"259"
1206,"230"
1207,"266"
1208,"258"
1209,"248"
1210,"252"
1211,"229"
1212,"231"
1213,"279"
1214,"231"
1215,"258"
1216,"278"
1217,"244"
1218,"241"
1219,"224"
1220,"243"
1221,"270"
1222,"217"
1223,"231"
1224,"247"
1225,"244"
1226,"242"
1227,"247"
1228,"224"
1229,"246"
1230,"227"
1231,"244"
1232,"227"
1233,"228"
1234,"236"
1235,"217"
1236,"229"
1237,"228"
1238,"205"
1239,"219"
1240,"236"
1241,"262"
1242,"238"
1243,"230"
1244,"235"
1245,"257"
1246,"237"
1247,"235"
1248,"227"
1249,"245"
1250,"249"
1251,"261"
1252,"221"
1253,"239"
1254,"249"
1255,"256"
1256,"233"
1257,"215"
1258,"247"
1259,"227"
1260,"216"
1261,"243"
1262,"196"
1263,"232"
1264,"221"
1265,"215"
1266,"225"
1267,"212"
1268,"241"
1269,"206"
1270,"197"
1271,"219"
1272,"205"
1273,"234"
1274,"210"
1275,"205"
1276,"203"
1277,"210"
1278,"238"
1279,"233"
1280,"215"
1281,"188"
1282,"200"
1283,"215"
1284,"212"
1285,"206"
1286,"213"
1287,"220"
1288,"212"
1289,"187"
1290,"183"
1291,"197"
1292,"211"
1293,"192"
1294,"206"
1295,"185"
1296,"206"
1297,"177"
1298,"207"
1299,"208"
1300,"195"
1301,"208"
1302,"198"
1303,"181"
1304,"203"
1305,"211"
1306,"183"
1307,"206"
1308,"175"
1309,"204"
1310,"224"
1311,"206"
1312,"201"
1313,"199"
1314,"212"
1315,"170"
1316,"234"
1317,"171"
1318,"166"
1319,"195"
1320,"196"
1321,"167"
1322,"171"
1323,"189"
1324,"181"
1325,"191"
1326,"179"
1327,"175"
1328,"219"
1329,"194"
1330,"187"
1331,"188"
1332,"205"
1333,"160"
1334,"174"
1335,"184"
1336,"173"
1337,"184"
1338,"186"
1339,"191"
1340,"152"
1341,"193"
1342,"195"
1343,"150"
1344,"191"
1345,"194"
1346,"165"
1347,"173"
1348,"169"
1349,"168"
1350,"178"
1351,"192"
1352,"192"
1353,"166"
1354,"182"
1355,"150"
1356,"182"
1357,"193"
1358,"180"
1359,"151"
1360,"180"
1361,"166"
1362,"145"
1363,"155"
1364,"159"
1365,"172"
1366,"169"
1367,"183"
1368,"165"
1369,"155"
1370,"159"
1371,"157"
1372,"175"
1373,"165"
1374,"170"
1375,"168"
1376,"137"
1377,"158"
1378,"161"
1379,"151"
1380,"161"
1381,"142"
1382,"150"
1383,"168"
1384,"160"
1385,"183"
1386,"167"
1387,"154"
1388,"139"
1389,"124"
1390,"150"
1391,"163"
1392,"126"
1393,"132"
1394,"168"
1395,"152"
1396,"155"
1397,"142"
1398,"175"
1399,"140"
1400,"129"
1401,"144"
1402,"160"
1403,"163"
1404,"157"
1405,"156"
1406,"151"
1407,"149"
1408,"150"
1409,"138"
1410,"150"
1411,"145"
1412,"140"
1413,"151"
1414,"158"
1415,"159"
1416,"148"
1417,"144"
1418,"155"
1419,"136"
1420,"145"
1421,"125"
1422,"132"
1423,"154"
1424,"136"
1425,"124"
1426,"137"
1427,"154"
1428,"144"
1429,"148"
1430,"137"
1431,"128"
1432,"130"
1433,"133"
1434,"157"
1435,"139"
1436,"135"
1437,"135"
1438,"141"
1439,"131"
1440,"135"
1441,"126"
1442,"94"
1443,"142"
1444,"124"
1445,"137"
1446,"107"
1447,"110"
1448,"138"
1449,"124"
1450,"103"
1451,"128"
1452,"110"
1453,"128"
1454,"133"
1455,"132"
1456,"131"
1457,"132"
1458,"133"
1459,"119"
1460,"113"
1461,"125"
1462,"134"
1463,"117"
1464,"126"
1465,"140"
1466,"100"
1467,"111"
1468,"122"
1469,"108"
1470,"121"
1471,"115"
1472,"114"
1473,"110"
1474,"112"
1475,"92"
1476,"121"
1477,"107"
1478,"103"
1479,"99"
1480,"121"
1481,"112"
1482,"87"
1483,"117"
1484,"115"
1485,"119"
1486,"105"
1487,"115"
1488,"105"
1489,"109"
1490,"102"
1491,"95"
1492,"123"
1493,"120"
1494,"95"
1495,"107"
1496,"106"
1497,"94"
1498,"97"
1499,"111"
1500,"96"
1501,"113"
1502,"103"
1503,"97"
1504,"101"
1505,"85"
1506,"89"
1507,"100"
1508,"95"
1509,"85"
1510,"100"
1511,"105"
1512,"114"
1513,"90"
1514,"94"
1515,"100"
1516,"107"
1517,"87"
1518,"84"
1519,"92"
1520,"86"
1521,"108"
1522,"88"
1523,"97"
1524,"104"
1525,"91"
1526,"95"
1527,"102"
1528,"84"
1529,"78"
1530,"75"
1531,"87"
1532,"93"
1533,"85"
1534,"84"
1535,"96"
1536,"85"
1537,"90"
1538,"81"
1539,"72"
1540,"83"
1541,"82"
1542,"83"
1543,"91"
1544,"65"
1545,"74"
1546,"86"
1547,"70"
1548,"77"
1549,"84"
1550,"74"
1551,"71"
1552,"97"
1553,"75"
1554,"79"
1555,"68"
1556,"64"
1557,"61"
1558,"71"
1559,"67"
1560,"79"
1561,"86"
1562,"74"
1563,"78"
1564,"77"
1565,"54"
1566,"74"
1567,"86"
1568,"72"
1569,"80"
1570,"58"
1571,"68"
1572,"67"
1573,"63"
1574,"62"
1575,"84"
1576,"79"
1577,"68"
1578,"81"
1579,"69"
1580,"60"
1581,"73"
1582,"69"
1583,"69"
1584,"57"
1585,"62"
1586,"58"
1587,"55"
1588,"62"
1589,"77"
1590,"56"
1591,"63"
1592,"47"
1593,"68"
1594,"67"
1595,"68"
1596,"51"
1597,"67"
1598,"67"
1599,"61"
1600,"63"
1601,"49"
1602,"61"
1603,"59"
1604,"60"
1605,"53"
1606,"59"
1607,"74"
1608,"46"
1609,"47"
1610,"56"
1611,"43"
1612,"54"
1613,"60"
1614,"53"
1615,"41"
1616,"46"
1617,"53"
1618,"48"
1619,"60"
1620,"51"
1621,"43"
1622,"53"
1623,"44"
1624,"51"
1625,"46"
1626,"42"
1627,"46"
1628,"48"
1629,"46"
1630,"48"
1631,"45"
1632,"45"
1633,"47"
1634,"42"
1635,"58"
1636,"43"
1637,"37"
1638,"36"
1639,"39"
1640,"43"
1641,"48"
1642,"38"
1643,"32"
1644,"45"
1645,"35"
1646,"42"
1647,"51"
1648,"32"
1649,"27"
1650,"30"
1651,"35"
1652,"40"
1653,"28"
1654,"34"
1655,"31"
1656,"35"
1657,"36"
1658,"30"
1659,"29"
1660,"26"
1661,"40"
1662,"31"
1663,"25"
1664,"37"
1665,"28"
1666,"28"
1667,"27"
1668,"23"
1669,"33"
1670,"34"
1671,"28"
1672,"23"
1673,"22"
1674,"39"
1675,"26"
1676,"28"
1677,"20"
1678,"33"
1679,"23"
1680,"20"
1681,"28"
1682,"21"
1683,"19"
1684,"29"
1685,"23"
1686,"15"
1687,"26"
1688,"18"
1689,"17"
1690,"16"
1691,"27"
1692,"13"
1693,"17"
1694,"17"
1695,"19"
1696,"19"
1697,"24"
1698,"20"
1699,"21"
1700,"20"
1701,"19"
1702,"25"
1703,"16"
1704,"19"
1705,"15"
1706,"13"
1707,"14"
1708,"21"
1709,"23"
1710,"17"
1711,"11"
1712,"15"
1713,"11"
1714,"19"
1715,"18"
1716,"9"
1717,"13"
1718,"14"
1719,"9"
1720,"10"
1721,"13"
1722,"16"
1723,"16"
1724,"10"
1725,"12"
1726,"12"
1727,"8"
1728,"9"
1729,"7"
1730,"10"
1731,"15"
1732,"10"
1733,"7"
1734,"5"
1735,"8"
1736,"7"
1737,"12"
1738,"15"
1739,"8"
1740,"13"
1741,"5"
1742,"10"
1743,"8"
1744,"5"
1745,"7"
1746,"9"
1747,"11"
1748,"3"
1749,"5"
1750,"5"
1751,"9"
1752,"4"
1753,"4"
1754,"5"
1755,"3"
1756,"3"
1757,"12"
1758,"3"
1759,"5"
1760,"7"
1761,"6"
1762,"4"
1763,"4"
1764,"7"
1765,"3"
1766,"8"
1767,"6"
1768,"5"
1769,"4"
1770,"4"
1771,"6"
1772,"2"
1773,"5"
1774,"2"
1775,"6"
1776,"4"
1777,"4"
1778,"1"
1779,"5"
1780,"4"
1781,"2"
1782,"0"
1783,"1"
1784,"1"
1785,"3"
1786,"4"
1787,"4"
1788,"4"
1789,"3"
1790,"2"
1791,"0"
1792,"2"
1793,"3"
1794,"8"
1795,"0"
1796,"4"
1797,"2"
1798,"4"
1799,"2"
1800,"1"
1801,"6"
1802,"5"
1803,"5"
1804,"1"
1805,"2"
1806,"4"
1807,"4"
1808,"2"
1809,"2"
1810,"0"
1811,"4"
1812,"3"
1813,"3"
1814,"1"
1815,"4"
1816,"1"
1817,"0"
1818,"1"
1819,"2"
1820,"2"
1821,"0"
1822,"1"
1823,"1"
1824,"2"
1825,"1"
1826,"2"
1827,"3"
1828,"4"
1829,"3"
1830,"3"
1831,"3"
1832,"1"
1833,"3"
1834,"4"
1835,"0"
1836,"1"
1837,"2"
1838,"0"
1839,"2"
1840,"3"
1841,"0"
1842,"0"
1843,"2"
1844,"1"
1845,"0"
1846,"1"
1847,"2"
1848,"3"
1849,"1"
1850,"3"
1851,"3"
1852,"0"
1853,"1"
1854,"0"
1855,"1"
1856,"0"
1857,"0"
1858,"1"
1859,"1"
1860,"1"
1861,"1"
1862,"2"
1863,"0"
1864,"1"
1865,"2"
1866,"1"
1867,"1"
1868,"2"
1869,"1"
1870,"2"
1871,"2"
1872,"1"
1873,"0"
1874,"1"
1875,"0"
1876,"0"
1877,"2"
1878,"2"
1879,"3"
1880,"1"
1881,"0"
1882,"0"
1883,"1"
1884,"0"
1885,"0"
1886,"2"
1887,"1"
1888,"2"
1889,"0"
1890,"0"
1891,"0"
1892,"2"
1893,"0"
1894,"1"
1895,"1"
1896,"0"
1897,"0"
1898,"2"
1899,"1"
1900,"3"
1901,"0"
1902,"2"
1903,"1"
1904,"2"
1905,"1"
1906,"1"
1907,"1"
1908,"2"
1909,"1"
1910,"1"
1911,"5"
1912,"0"
1913,"0"
1914,"1"
1915,"0"
1916,"0"
1917,"0"
1918,"0"
1919,"0"
1920,"0"
1921,"0"
1922,"2"
1923,"1"
1924,"1"
1925,"2"
1926,"0"
1927,"0"
1928,"0"
1929,"0"
1930,"0"
1931,"0"
1932,"1"
1933,"2"
1934,"0"
1935,"1"
1936,"1"
1937,"1"
1938,"0"
1939,"0"
1940,"1"
1941,"0"
1942,"0"
1943,"1"
1944,"0"
1945,"0"
1946,"0"
1947,"1"
1948,"0"
1949,"0"
1950,"0"
1951,"0"
1952,"1"
1953,"1"
1954,"0"
1955,"1"
1956,"0"
1957,"0"
1958,"0"
1959,"0"
1960,"0"
1961,"0"
1962,"0"
1963,"0"
1964,"0"
1965,"0"
1966,"0"
1967,"0"
1968,"0"
1969,"0"
1970,"0"
1971,"0"
1972,"0"
1973,"0"
1974,"0"
1975,"0"
1976,"0"
1977,"0"
1978,"0"
1979,"0"
1980,"0"
1981,"0"
1982,"0"
1983,"0"
1984,"0"
1985,"0"
1986,"1"
1987,"0"
1988,"0"
1989,"0"
1990,"0"
1991,"0"
1992,"0"
1993,"0"
1994,"0"
1995,"1"
1996,"2"
1997,"0"
1998,"0"
1999,"0"
2000,"0"
2001,"0"
2002,"0"
2003,"0"
2004,"0"
2005,"1"
2006,"0"
2007,"1"
2008,"0"
2009,"0"
2010,"0"
2011,"1"
2012,"0"
2013,"0"
2014,"0"
2015,"0"
2016,"0"
2017,"0"
2018,"0"
2019,"0"
2020,"1"
2021,"1"
2022,"0"
2023,"0"
2024,"0"
2025,"0"
2026,"0"
2027,"0"
2028,"0"
2029,"0"
2030,"1"
2031,"0"
2032,"0"
2033,"0"
2034,"0"
2035,"0"
2036,"0"
2037,"0"
2038,"0"
2039,"0"
2040,"0"
2041,"1"
2042,"0"
2043,"0"
2044,"0"
2045,"0"
2046,"0"
2047,"0"


